block,policy,workload,requests,e2e_mean_reduction_pct,paired_request_reduction_median_pct,paired_request_reduction_p10_pct,paired_request_reduction_p90_pct,output_text_exact_fraction,output_prefix_32char_exact_fraction
0,pp_chunk512,heterogeneous_bursty,48,-3.7196603590780253,-3.432918931979645,-13.901127995082922,2.020681219639984,0.2916666666666667,0.9791666666666666
0,pp_chunk512,heterogeneous_steady,48,6.365833707058677,6.606276159987168,3.1860971521668016,8.356151946580193,0.22916666666666666,1
0,greedy,heterogeneous_bursty,48,-0.9677912420005264,-0.8471041282671732,-2.269196618708378,0.3082133720939529,0.3125,0.9791666666666666
0,greedy,heterogeneous_steady,48,-9.529887441604124,-7.0507348687745885,-22.92516415576922,-0.3458483963920692,0.22916666666666666,1
0,alp,heterogeneous_bursty,48,-19.243292284196567,-19.376104749896648,-34.6456382831222,-12.20224809934686,0.22916666666666666,0.9791666666666666
0,alp,heterogeneous_steady,48,-24.32886377018384,-23.532840722760305,-50.95799536832482,-11.748347606055324,0.25,1
0,pp_chunk128,heterogeneous_bursty,48,-43.40256788283232,-43.39321462928651,-112.21553532041783,-10.307916968775416,0.2708333333333333,0.9791666666666666
0,pp_chunk128,heterogeneous_steady,48,-9.164497409222916,-9.075785022943293,-21.909147922501806,-4.20484337501115,0.2916666666666667,1
1,alp,heterogeneous_bursty,48,-18.7146906683775,-18.581665585018737,-36.26143105151178,-9.623532487684084,0.2708333333333333,0.9791666666666666
1,alp,heterogeneous_steady,48,-21.54126124461131,-21.571586414374643,-41.95182965500808,-11.19105583311403,0.1875,0.9791666666666666
1,pp_chunk128,heterogeneous_bursty,48,-87.07459923722472,-89.1314109871071,-175.99966846185058,-34.55660590604058,0.22916666666666666,0.9791666666666666
1,pp_chunk128,heterogeneous_steady,48,-11.745338254082615,-11.184945551959146,-26.591913320246263,-6.810154041223608,0.20833333333333334,1
1,pp_chunk512,heterogeneous_bursty,48,-44.02143721699419,-44.24313195512619,-76.68034316810916,-21.855172271779374,0.25,0.9791666666666666
1,pp_chunk512,heterogeneous_steady,48,-8.502083741125443,-8.271896257456536,-12.568014559640694,-3.985110653762205,0.3125,1
1,greedy,heterogeneous_bursty,48,-15.322976471804207,-15.446039656477927,-17.378851764964768,-13.6012268983588,0.375,0.9791666666666666
1,greedy,heterogeneous_steady,48,-77.13323212006702,-77.50423181530527,-86.51685417158315,-72.06065088367694,0.25,0.9791666666666666
2,pp_chunk128,heterogeneous_steady,48,-12.632931251559665,-12.672965015852755,-28.313787996006145,-6.914252526892006,0.25,1
2,pp_chunk128,heterogeneous_bursty,48,-48.599015142369105,-50.44467210865905,-123.82557316391659,-13.732850548847292,0.2708333333333333,0.9791666666666666
2,alp,heterogeneous_steady,48,-20.545627037542413,-21.588340909386027,-33.534003532676245,-13.781646681248255,0.2916666666666667,1
2,alp,heterogeneous_bursty,48,-74.08274815946608,-75.87943624991168,-89.48830802510936,-64.01694964355464,0.25,0.9791666666666666
2,pp_chunk512,heterogeneous_steady,48,-61.07853825203671,-64.97426376190575,-70.30873847177645,-52.24974669224416,0.2708333333333333,1
2,pp_chunk512,heterogeneous_bursty,48,-105.95241061067098,-92.69691791579046,-146.71512855211878,-77.25557187059682,0.25,0.9791666666666666
2,greedy,heterogeneous_steady,48,-6.3112447859918985,-3.066090274090727,-23.809807182896904,1.053252718138954,0.16666666666666666,1
2,greedy,heterogeneous_bursty,48,-12.762234991064547,-14.947349052610692,-17.099436232468854,-5.959153017859568,0.3333333333333333,0.9791666666666666
