request_id,repeat,wave,layer,source_group,category,variant,vision_tokens,load_r0,load_r1,load_r2,load_r3,share_r0,share_r1,share_r2,share_r3
astronaut,0,0,0,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,474.0,599.0,477.0,498.0,0.2314453125,0.29248046875,0.23291015625,0.2431640625
astronaut,0,0,1,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,462.0,493.0,503.0,590.0,0.2255859375,0.24072265625,0.24560546875,0.2880859375
astronaut,0,0,2,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,530.0,507.0,495.0,516.0,0.2587890625,0.24755859375,0.24169921875,0.251953125
astronaut,0,0,3,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,455.0,531.0,474.0,588.0,0.22216796875,0.25927734375,0.2314453125,0.287109375
astronaut,0,0,4,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,571.0,519.0,470.0,488.0,0.27880859375,0.25341796875,0.2294921875,0.23828125
astronaut,0,0,5,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,573.0,495.0,447.0,533.0,0.27978515625,0.24169921875,0.21826171875,0.26025390625
astronaut,0,0,6,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,769.0,352.0,502.0,425.0,0.37548828125,0.171875,0.2451171875,0.20751953125
astronaut,0,0,7,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,574.0,429.0,459.0,586.0,0.2802734375,0.20947265625,0.22412109375,0.2861328125
astronaut,0,0,8,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,473.0,591.0,572.0,412.0,0.23095703125,0.28857421875,0.279296875,0.201171875
astronaut,0,0,9,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,605.0,569.0,439.0,435.0,0.29541015625,0.27783203125,0.21435546875,0.21240234375
astronaut,0,0,10,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,582.0,523.0,457.0,486.0,0.2841796875,0.25537109375,0.22314453125,0.2373046875
astronaut,0,0,11,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,387.0,660.0,572.0,429.0,0.18896484375,0.322265625,0.279296875,0.20947265625
astronaut,0,0,12,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,574.0,434.0,558.0,482.0,0.2802734375,0.2119140625,0.2724609375,0.2353515625
astronaut,0,0,13,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,597.0,483.0,451.0,517.0,0.29150390625,0.23583984375,0.22021484375,0.25244140625
astronaut,0,0,14,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,443.0,658.0,486.0,461.0,0.21630859375,0.3212890625,0.2373046875,0.22509765625
astronaut,0,0,15,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,419.0,500.0,434.0,695.0,0.20458984375,0.244140625,0.2119140625,0.33935546875
astronaut,0,0,16,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,645.0,377.0,447.0,579.0,0.31494140625,0.18408203125,0.21826171875,0.28271484375
astronaut,0,0,17,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,435.0,688.0,454.0,471.0,0.21240234375,0.3359375,0.2216796875,0.22998046875
astronaut,0,0,18,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,590.0,293.0,567.0,598.0,0.2880859375,0.14306640625,0.27685546875,0.2919921875
astronaut,0,0,19,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,664.0,415.0,369.0,600.0,0.32421875,0.20263671875,0.18017578125,0.29296875
astronaut,0,0,20,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,607.0,486.0,468.0,487.0,0.29638671875,0.2373046875,0.228515625,0.23779296875
astronaut,0,0,21,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,648.0,545.0,522.0,333.0,0.31640625,0.26611328125,0.2548828125,0.16259765625
astronaut,0,0,22,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,533.0,412.0,516.0,587.0,0.26025390625,0.201171875,0.251953125,0.28662109375
astronaut,0,0,23,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,388.0,659.0,487.0,514.0,0.189453125,0.32177734375,0.23779296875,0.2509765625
astronaut,0,0,24,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,508.0,471.0,531.0,538.0,0.248046875,0.22998046875,0.25927734375,0.2626953125
astronaut,0,0,25,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,449.0,441.0,495.0,663.0,0.21923828125,0.21533203125,0.24169921875,0.32373046875
astronaut,0,0,26,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,476.0,501.0,542.0,529.0,0.232421875,0.24462890625,0.2646484375,0.25830078125
astronaut,0,0,27,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,367.0,602.0,451.0,628.0,0.17919921875,0.2939453125,0.22021484375,0.306640625
astronaut,0,0,28,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,600.0,446.0,485.0,517.0,0.29296875,0.2177734375,0.23681640625,0.25244140625
astronaut,0,0,29,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,389.0,581.0,595.0,483.0,0.18994140625,0.28369140625,0.29052734375,0.23583984375
astronaut,0,0,30,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,595.0,342.0,475.0,636.0,0.29052734375,0.1669921875,0.23193359375,0.310546875
astronaut,0,0,31,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,651.0,523.0,381.0,493.0,0.31787109375,0.25537109375,0.18603515625,0.24072265625
astronaut,0,0,32,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,588.0,455.0,453.0,552.0,0.287109375,0.22216796875,0.22119140625,0.26953125
astronaut,0,0,33,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,645.0,401.0,485.0,517.0,0.31494140625,0.19580078125,0.23681640625,0.25244140625
astronaut,0,0,34,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,549.0,475.0,535.0,489.0,0.26806640625,0.23193359375,0.26123046875,0.23876953125
astronaut,0,0,35,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,481.0,622.0,390.0,555.0,0.23486328125,0.3037109375,0.1904296875,0.27099609375
astronaut,0,0,36,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,506.0,475.0,452.0,615.0,0.2470703125,0.23193359375,0.220703125,0.30029296875
astronaut,0,0,37,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,578.0,452.0,501.0,517.0,0.2822265625,0.220703125,0.24462890625,0.25244140625
astronaut,0,0,38,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,500.0,514.0,524.0,510.0,0.244140625,0.2509765625,0.255859375,0.2490234375
astronaut,0,0,39,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,415.0,597.0,468.0,568.0,0.20263671875,0.29150390625,0.228515625,0.27734375
astronaut,0,0,40,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,636.0,467.0,469.0,476.0,0.310546875,0.22802734375,0.22900390625,0.232421875
astronaut,0,0,41,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,424.0,550.0,587.0,487.0,0.20703125,0.2685546875,0.28662109375,0.23779296875
astronaut,0,0,42,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,446.0,541.0,639.0,422.0,0.2177734375,0.26416015625,0.31201171875,0.2060546875
astronaut,0,0,43,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,428.0,536.0,558.0,526.0,0.208984375,0.26171875,0.2724609375,0.2568359375
astronaut,0,0,44,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,443.0,642.0,536.0,427.0,0.21630859375,0.3134765625,0.26171875,0.20849609375
astronaut,0,0,45,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,633.0,475.0,408.0,532.0,0.30908203125,0.23193359375,0.19921875,0.259765625
astronaut,0,0,46,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,502.0,455.0,551.0,540.0,0.2451171875,0.22216796875,0.26904296875,0.263671875
astronaut,0,0,47,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,natural,canonical,256,625.0,541.0,376.0,506.0,0.30517578125,0.26416015625,0.18359375,0.2470703125
camera,0,1,0,b0793d2adda0fa6ae899c03989482bff9a42d3d5690fc7e3648f2795d730c23a,natural,canonical,256,474.0,466.0,550.0,558.0,0.2314453125,0.2275390625,0.2685546875,0.2724609375
camera,0,1,1,b0793d2adda0fa6ae899c03989482bff9a42d3d5690fc7e3648f2795d730c23a,natural,canonical,256,459.0,613.0,472.0,504.0,0.22412109375,0.29931640625,0.23046875,0.24609375
camera,0,1,2,b0793d2adda0fa6ae899c03989482bff9a42d3d5690fc7e3648f2795d730c23a,natural,canonical,256,512.0,629.0,494.0,413.0,0.25,0.30712890625,0.2412109375,0.20166015625
camera,0,1,3,b0793d2adda0fa6ae899c03989482bff9a42d3d5690fc7e3648f2795d730c23a,natural,canonical,256,450.0,503.0,444.0,651.0,0.2197265625,0.24560546875,0.216796875,0.31787109375
