block,repeat,batch,dp_rank,matched_pair,role,family,request_id,actual_tokens,expected_tokens,vision_tokens,e2e_s,ttft_s,tpot_s,processor_s,engine_e2e_s
b0,r0,b1,0,short_00,vision,four_real_charts_short,four_real_charts_short_00,1733,1733,1700,9.646918471902609,6.75909386575222,0.09315563245646415,0.1765983677469194,9.47032010415569
b0,r0,b4,0,short_00,vision,four_real_charts_short,four_real_charts_short_00,1733,1733,1700,3.4993816297501326,0.4508581720292568,0.09833946637809277,0.18568658968433738,3.313695040065795
b0,r0,b4,0,short_01,vision,four_real_charts_short,four_real_charts_short_01,1821,1821,1788,3.50662829214707,0.5047689639031887,0.09683417187883489,0.11595787620171905,3.390670415945351
b0,r0,b4,0,short_02,vision,four_real_charts_short,four_real_charts_short_02,1909,1909,1876,3.47891369368881,0.5568514298647642,0.09426007302658211,0.14082749700173736,3.3380861966870725
b0,r0,b4,0,short_03,vision,four_real_charts_short,four_real_charts_short_03,1909,1909,1876,3.44093784596771,0.5623305011540651,0.09285830144560145,0.1353130671195686,3.3056247788481414
b0,r0,b4,0,long_00,text,matched_natural_text_long,matched_natural_text_long_00,3785,3785,0,3.2689082119613886,0.32104379730299115,0.09509240047285153,0.03484196029603481,3.2340662516653538
b0,r0,b4,0,long_01,text,matched_natural_text_long,matched_natural_text_long_01,3873,3873,0,3.2327800430357456,0.2849156283773482,0.09509240047285153,0.019770699087530375,3.2130093439482152
b0,r0,b4,0,long_02,text,matched_natural_text_long,matched_natural_text_long_02,3961,3961,0,3.313721939921379,0.42025989573448896,0.09333748529635129,0.01461575971916318,3.299106180202216
b0,r0,b4,0,long_03,text,matched_natural_text_long,matched_natural_text_long_03,3961,3961,0,3.298524090088904,0.4050620459020138,0.09333748529635129,0.010959876235574484,3.2875642138533294
b0,r0,b1,0,short_00,text,matched_natural_text_short,matched_natural_text_short_00,1733,1733,0,3.058221015147865,0.1875236970372498,0.0926031392938908,0.013027483131736517,3.0451935320161283
b0,r0,b1,0,long_00,text,matched_natural_text_long,matched_natural_text_long_00,3785,3785,0,3.103377708699554,0.19256051909178495,0.09389732869702481,0.026390148792415857,3.0769875599071383
b0,r0,b4,0,short_00,text,matched_natural_text_short,matched_natural_text_short_00,1733,1733,0,3.118962569627911,0.24937366973608732,0.09256738386747818,0.01367288688197732,3.1052896827459335
