block,family,batch,requests,mean_e2e_s,zero_entire_ttft_fixed_timeline_bound_pct,processor_share_pct
b0,four_real_charts_long,b1,4,3.290030262665823,11.835134628011783,4.791318704190289
b0,four_real_charts_long,b4,16,3.576323225221131,16.54543420160575,3.0751520042157567
b0,four_real_charts_short,b1,4,6.42828956246376,55.182186062129084,2.4838061140183965
b0,four_real_charts_short,b4,16,3.58666813315358,16.96494589040812,3.400482373305825
b0,matched_natural_text_long,b1,4,3.0824989008251578,6.254037019962725,0.890432472034889
b0,matched_natural_text_long,b4,16,3.233500043716049,10.196891727573576,0.5962127046067485
b0,matched_natural_text_short,b1,4,3.0634800255065784,5.962414118909487,0.4663280718767702
b0,matched_natural_text_short,b4,16,3.0707362249377184,7.188958850860819,0.3722573848597435
b1,four_real_charts_long,b1,4,4.723269236506894,10.619705942312208,3.3176058870922502
b1,four_real_charts_long,b4,16,5.042525544733508,14.629997918470364,2.32623915285323
b1,four_real_charts_short,b1,4,4.700568886008114,10.264060989568472,3.210504414192361
b1,four_real_charts_short,b4,16,5.021347554837121,14.714734928668372,2.534785594292621
b1,matched_natural_text_long,b1,4,4.525672189076431,6.201802066550957,0.775020900996983
b1,matched_natural_text_long,b4,16,4.591419507196406,8.44109040293633,0.48469054693345154
b1,matched_natural_text_short,b1,4,4.519042075611651,6.029618981958449,0.37641086268783425
b1,matched_natural_text_short,b4,16,4.434963005944155,5.896893797532346,0.30314456506696696
b2,four_real_charts_long,b1,4,3.2828951955307275,13.454498875015172,5.310801604808904
b2,four_real_charts_long,b4,16,3.433901774144033,16.395604131610998,3.7904493162410047
b2,four_real_charts_short,b1,4,3.265287463320419,13.46540441909297,5.261432425538048
b2,four_real_charts_short,b4,16,3.332535880996147,14.112276232759978,3.6777966041108043
b2,matched_natural_text_long,b1,4,3.035012897453271,6.5147734179430925,1.5081291605936413
b2,matched_natural_text_long,b4,16,3.1976758991368115,11.239036834731289,0.6739653603218692
b2,matched_natural_text_short,b1,4,3.0112360409693792,6.0289773722608135,0.6908491297831505
b2,matched_natural_text_short,b4,16,3.0297825216548517,8.017912662322495,0.5164776412603261
