case_id,ranks,wall_ms,critical_wall_ms,dispatch_ms,expert_ms,combine_ms,layout_ms,iterations,condition
B_steady_0,4,2.07366406917572,2.0893120765686035,0.2033599950373172,0.9892799854278564,0.1866558790206909,0.0272959992289543,3,steady
B_steady_1,4,2.0094399452209477,2.030240058898926,0.2089279945939779,0.9438400268554688,0.1887040138244629,0.027488000690937,3,steady
B_steady_2,4,2.0122880935668945,2.025631904602051,0.203936006873846,0.9603840708732604,0.1952320337295532,0.0272640008479356,3,steady
B_steady_3,4,2.0387200117111206,2.0477120876312256,0.1975039932876825,0.9837440252304076,0.1872960329055786,0.0280639994889497,3,steady
B_steady_4,4,1.9993919730186465,2.023808002471924,0.2021119939163327,1.0123519897460938,0.195072054862976,0.026528000831604,3,steady
B_after_A_0,4,2.044000029563904,2.060512065887451,0.3026559976860881,0.9497919678688048,0.2384638786315918,0.0268479995429515,3,alternating
B_after_A_1,4,2.1126880645751958,2.119999885559082,0.2218560073524713,0.989855945110321,0.1986880302429199,0.0284800007939338,3,alternating
B_after_A_2,4,2.1289600133895874,2.1391680240631104,0.2231679959222674,0.9950079917907716,0.2355201244354248,0.0279680006206035,3,alternating
B_after_A_3,4,2.113759994506836,2.12825608253479,0.2157439962029457,1.016223967075348,0.240928053855896,0.0261760000139474,3,alternating
B_after_A_4,4,0.8793759942054749,0.8896639943122864,0.2124160025268793,0.4702080190181732,0.0823360085487365,0.0257280003279447,3,alternating
B_after_S_0,4,2.4927679300308228,2.5952959060668945,0.4990079766139388,1.114016056060791,0.4495360851287842,0.04364800080657,3,similar
B_after_S_1,4,2.724448084831238,2.76531195640564,0.214560005813837,0.9724479913711548,0.2800319194793701,0.0293760001659393,3,similar
B_after_S_2,4,7.764240026473999,7.7784318923950195,0.2319679968059063,3.1775355339050293,1.1200318336486816,0.0297919996082782,3,similar
B_after_S_3,4,2.168895959854126,2.1921920776367188,0.2111359992995858,1.0586239695549011,0.1933439970016479,0.0267520006746053,3,similar
B_after_S_4,4,0.8838079869747162,0.893887996673584,0.1942720049992203,0.4683839678764343,0.1047999858856201,0.0266880001872777,3,similar
B_after_D_0,4,3.022256016731262,3.4466559886932373,0.7579840049147606,1.469823956489563,0.7947838306427002,0.0295679997652769,3,disjoint
B_after_D_1,4,2.1008639335632324,2.12009596824646,0.2175679942592978,1.0556480288505554,0.1847360134124755,0.0277440007776021,3,disjoint
B_after_D_2,4,2.058047890663147,2.0653440952301025,0.1914560059085488,1.0379520058631897,0.168416142463684,0.0290559995919466,3,disjoint
B_after_D_3,4,2.0854880809783936,2.114207983016968,0.2244159942492842,0.9607680439949036,0.2459199428558349,0.0273599997162818,3,disjoint
B_after_D_4,4,0.8577439785003662,0.8711040019989014,0.202976007014513,0.4629440009593963,0.1093760132789611,0.0270399991422891,3,disjoint
