family,restart_pairs,median_observer_overhead_pct,min_observer_overhead_pct,max_observer_overhead_pct,clean_mean_e2e_median_s,clean_ttft_median_s,zero_entire_ttft_fixed_timeline_bound_pct,bound_scope
long_text_plus_image,3,2.537688016656947,1.9298158822093958,10.784592195386455,3.1756500179270426,0.31058641172085816,9.750546890874528,"prefill-only fixed timeline, not native online queue or total scheduling oracle"
single_real_image,3,5.322470447218608,0.3214854328250638,9.8788971563865,3.1846979937354964,0.3068918781534124,9.729080686872491,"prefill-only fixed timeline, not native online queue or total scheduling oracle"
text_only_no_image_control,3,6.544174162088323,-4.81993049405477,10.32107344956572,3.0379233649000525,0.1847501306955774,6.081461199125926,"prefill-only fixed timeline, not native online queue or total scheduling oracle"
two_real_images,3,3.4059277779398656,-0.7025961502357236,6.67109307843845,3.2558369232484927,0.3800911952633984,11.524422311971145,"prefill-only fixed timeline, not native online queue or total scheduling oracle"
