method,dataset,batch_cap_per_dp,run,policy,observations,unique_questions,accuracy_percent,quality_delta_pp,quality_ci_low_pp,quality_ci_high_pp,paired_e2e_reduction_percent,e2e_ci_low_percent,e2e_ci_high_percent,e2e_ms_p50,e2e_ms_mean,e2e_ms_p90,e2e_ms_p99,ttft_ms_p50,tpot_ms_p50,itl_ms_p99,output_tokens_mean,throughput_tokens_s,vanilla_accuracy_percent,vanilla_e2e_ms_p50,timing_ci_unit
SERE,chartqa,1,ep_clean_renderer_chartqa_b1_run0_20260908,sere_s2_r05_official,384,128,70.3125,-19.53125,-26.5625,-12.5,-14.808167874424349,-15.218548068183821,-14.193478407329806,857.3840989265591,1012.5986999907278,1729.4197609182447,4059.8359125619754,363.4526690002531,122.7394366171211,156.96809410117567,6.4765625,9.494450844999493,89.84375,680.708070518449,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,1,ep_clean_renderer_chartqa_b1_run0_20260908,sere_s2_r07_official,384,128,87.5,-2.34375,-5.46875,0.78125,-11.87484273998467,-12.371002453899738,-11.216695643352503,761.6322063840926,776.5366840103525,1088.2024932652712,1722.0904514519498,336.13987802527845,123.01747736055404,158.2680974621326,4.609375,9.844520578056448,89.84375,680.708070518449,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,1,ep_clean_renderer_chartqa_b1_run0_20260908,sere_s4_r05_official,384,128,89.84375,0.0,-2.34375,2.34375,-13.50986140276228,-14.030599962570722,-13.005748852299547,769.8804175015539,799.9719607068982,1124.3183883838356,1850.9959360305224,363.4640050586313,123.53064899798483,157.92210905812675,4.6953125,9.567002812235518,89.84375,680.708070518449,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,1,ep_clean_renderer_chartqa_b1_run0_20260908,vanilla,384,128,89.84375,0.0,0.0,0.0,0.0,0.0,0.0,680.708070518449,699.0105234229608,980.7183696422726,1485.2579825790601,345.2750432770699,105.1204133047057,139.0516586136073,4.640625,11.076263678443873,89.84375,680.708070518449,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,1,ep_clean_renderer_chartqa_b1_run1_modes_cached_20260908,modes_official_target70_metadata_cached,384,128,86.71875,-3.125,-7.03125,0.0,-5.018955133515557,-5.701797662458219,-4.3936643780035025,832.8590895980597,846.3227456632012,1235.5050547979772,1762.4429961154242,364.772220607847,127.40528263384476,199.36521908268332,4.6171875,9.162439106736421,89.84375,808.4155134856701,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,1,ep_clean_renderer_chartqa_b1_run1_modes_cached_20260908,modes_official_target85_metadata_cached,384,128,84.375,-5.46875,-10.15625,-0.78125,-5.539064599428123,-6.00049635656886,-5.160804618251835,854.2029480449855,849.8359327531944,1245.3859102912247,1807.617352749221,363.3226954843849,129.67225548345596,200.88842073921114,4.640625,8.95687477446197,89.84375,808.4155134856701,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,1,ep_clean_renderer_chartqa_b1_run1_modes_cached_20260908,vanilla,384,128,89.84375,0.0,0.0,0.0,0.0,0.0,0.0,808.4155134856701,804.7131438409755,1164.0333347488195,1682.9763452569025,354.44672545418143,119.43711363710463,186.9255820987746,4.640625,9.554453130533606,89.84375,808.4155134856701,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,4,ep_clean_renderer_chartqa_b4_run0_20260908,sere_s2_r05_official,384,128,87.5,-0.78125,-4.6875,2.864583333333333,-12.028248563818224,-12.99818909946364,-10.50692063549743,900.3438046202064,968.5649853029948,1307.0597576443106,2959.729041527026,393.54663947597146,148.5495480010286,241.81088854093082,4.963541666666667,22.951455105945488,88.28125,797.4738515913486,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,4,ep_clean_renderer_chartqa_b4_run0_20260908,sere_s2_r07_official,384,128,90.625,2.34375,0.0,5.46875,-12.303708190372943,-13.440465172209935,-10.638099267446522,906.5334100741893,952.9788058049841,1281.218696758151,2772.819906552322,399.0471940487623,152.34372337969643,268.15545186400414,4.7421875,23.633612242985272,88.28125,797.4738515913486,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,4,ep_clean_renderer_chartqa_b4_run0_20260908,sere_s4_r05_official,384,128,89.84375,1.5625,0.0,3.90625,-12.373133217797783,-13.349780488357599,-11.432382695837063,895.1854505576193,931.092723079928,1284.9216312170026,1967.4349343683577,396.5871245600283,148.90158797303837,240.0088058784604,4.6328125,24.866151522346726,88.28125,797.4738515913486,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,4,ep_clean_renderer_chartqa_b4_run0_20260908,vanilla,384,128,88.28125,0.0,0.0,0.0,0.0,0.0,0.0,797.4738515913486,829.0015472800102,1109.589623613283,1803.2274474343292,370.9673525299877,131.8063632740329,214.0533970668912,4.640625,28.179347693015483,88.28125,797.4738515913486,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,4,ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,modes_official_target70_metadata_cached,384,128,86.71875,-1.5625,-5.46875,2.34375,-5.17805113069384,-6.0571914250628325,-4.328464381310737,855.4011220112443,915.6769149825171,1327.9151584487408,2037.78555861209,395.72368701919913,135.3460001409985,268.63715797662735,4.614583333333333,25.348486594109342,88.28125,801.2827252969146,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,4,ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,modes_official_target85_metadata_cached,384,128,83.59375,-4.6875,-8.59375,-0.78125,-5.882158710438013,-7.109680011039221,-4.95355534172508,871.6324369888753,931.6470914503346,1358.1363639328629,1852.1708342665884,388.7925271410495,136.28472603159025,304.7227109782398,4.627604166666667,25.351228612182926,88.28125,801.2827252969146,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,4,ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,vanilla,384,128,88.28125,0.0,0.0,0.0,0.0,0.0,0.0,801.2827252969146,862.7034364872088,1265.6532184686512,1856.292282319633,374.2640365380794,125.01394523618121,270.45544516295195,4.640625,26.930662811116232,88.28125,801.2827252969146,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,16,ep_clean_renderer_chartqa_b16_run0_20260908,sere_s2_r05_official,384,128,89.0625,0.78125,-2.604166666666667,4.427083333333334,-7.598283799252014,-11.283754504801003,-3.2501053151050896,1535.9662249684334,1616.4018677324445,2015.66737270914,3393.996817031904,868.8761100638658,204.31747077964246,558.2780940458179,4.807291666666667,41.089918605543176,88.28125,1443.839366780594,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,16,ep_clean_renderer_chartqa_b16_run0_20260908,sere_s2_r07_official,384,128,89.32291666666666,1.0416666666666665,-1.3020833333333335,3.6458333333333335,-11.284851763517679,-20.78367748186221,-7.277695707777743,1637.2533650137484,1685.0680498537258,2099.7252773027867,4255.013663140127,926.1620461475104,209.77706788107753,571.1934389546514,4.7421875,42.54506053373861,88.28125,1443.839366780594,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,16,ep_clean_renderer_chartqa_b16_run0_20260908,sere_s4_r05_official,384,128,88.54166666666666,0.26041666666666663,-1.5625,2.34375,-8.995495427633626,-11.271835367244265,-5.268361527509291,1554.9839881714433,1613.7809897421296,2034.1561581473798,3071.062748990953,879.6313176862895,198.91965645365417,582.1692957542837,4.6328125,51.95438318014948,88.28125,1443.839366780594,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,chartqa,16,ep_clean_renderer_chartqa_b16_run0_20260908,vanilla,384,128,88.28125,0.0,0.0,0.0,0.0,0.0,0.0,1443.839366780594,1472.3971507349536,1829.4190453831106,2685.7901677209893,837.1359009761363,172.97327029518783,529.5460340566933,4.640625,57.457019449837574,88.28125,1443.839366780594,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
