context,request_id,layer,rank,iterations,warmups,M,g,route_changed,dispatch_p50_ms,dispatch_p99_ms,dispatch_max_ms,expert_p50_ms,expert_p99_ms,expert_max_ms,combine_p50_ms,combine_p99_ms,combine_max_ms
isolated,text_18_tui_main,45,0,100,20,2984,30,false,,,,0.23536,0.28544,0.382464,,,
controlled,text_18_tui_main,45,all,100,20,variable,variable,false,0.365504,1.004000,2.392544,0.480512,0.579872,0.744704,0.101440,0.613728,0.676576
