condition,cosine,relative_l2,restart
image1024_c2_layer0,0.999996418676665,0.002676310194464533,1
image1024_c2_layer1,0.9999964000263278,0.0026832714417512394,1
image1024_c2_layer10,0.9999962756677266,0.002729229639490851,1
image1024_c2_layer11,0.9999964547800854,0.002662785622469936,1
image1024_c2_layer12,0.9999960949958809,0.002794749511281482,1
image1024_c2_layer13,0.9999965892677037,0.0026117928150978156,1
image1024_c2_layer14,0.9999964317331682,0.0026717160995868333,1
image1024_c2_layer15,0.9999964367377577,0.002669619740748833,1
image1024_c2_layer16,0.9999959931223326,0.0028309061069144146,1
image1024_c2_layer17,0.999996156859498,0.0027724405053574743,1
image1024_c2_layer18,0.9999967490925971,0.0025498677618542866,1
image1024_c2_layer19,0.9999962647109564,0.002733335138710357,1
image1024_c2_layer2,0.9999960436389794,0.0028129567511894324,1
image1024_c2_layer20,0.9999960407671606,0.0028139774327159226,1
image1024_c2_layer21,0.9999962783071367,0.0027282840985667052,1
image1024_c2_layer22,0.9999961216469554,0.0027850942748959707,1
image1024_c2_layer23,0.9999961806904676,0.0027638034828616773,1
image1024_c2_layer24,0.9999962189592189,0.0027499384054765824,1
image1024_c2_layer25,0.9999963375504024,0.0027065455305172043,1
image1024_c2_layer26,0.9999963528074903,0.002701033969618544,1
image1024_c2_layer27,0.9999965347744932,0.002632590174096122,1
image1024_c2_layer28,0.9999961996438672,0.002757137690553816,1
image1024_c2_layer29,0.9999961281634523,0.00278293006720997,1
image1024_c2_layer3,0.9999958719682637,0.0028735621828497146,1
image1024_c2_layer30,0.9999962746482172,0.0027296267376147316,1
image1024_c2_layer31,0.9999962744293125,0.0027296872921185517,1
image1024_c2_layer32,0.9999960318841351,0.0028173271019059434,1
image1024_c2_layer33,0.9999961189782663,0.0027860577429327815,1
image1024_c2_layer34,0.99999623400061,0.0027447573405302134,1
image1024_c2_layer35,0.99999632160219,0.0027123389773431057,1
image1024_c2_layer36,0.9999963131353031,0.002715539429832743,1
image1024_c2_layer37,0.9999963416347187,0.0027050031106246437,1
image1024_c2_layer38,0.9999962907225899,0.002723702473167142,1
image1024_c2_layer39,0.9999960139089237,0.002823503854254747,1
image1024_c2_layer4,0.9999960715790083,0.002803200632567575,1
image1024_c2_layer40,0.9999963935469478,0.0026857132826443755,1
image1024_c2_layer41,0.9999964708565804,0.002656804730174837,1
image1024_c2_layer42,0.9999964913422793,0.002649040160502152,1
image1024_c2_layer43,0.9999962854198019,0.002726102914500701,1
image1024_c2_layer44,0.9999961786346435,0.002764568251020931,1
image1024_c2_layer45,0.9999961651679817,0.0027694146773276263,1
image1024_c2_layer46,0.9999963540315961,0.002700394647112534,1
image1024_c2_layer47,0.9999962966135172,0.0027215363240797406,1
image1024_c2_layer5,0.999995851345266,0.0028808368526936977,1
image1024_c2_layer6,0.9999966994404229,0.0025692809001127775,1
image1024_c2_layer7,0.9999962487070364,0.002739088709890859,1
image1024_c2_layer8,0.9999964762729898,0.0026547107820447426,1
image1024_c2_layer9,0.9999967462202081,0.002550995430838648,1
image448_c2_layer0,0.999996564128656,0.0026214054570474384,1
image448_c2_layer1,0.9999962171343995,0.002750587318439161,1
image448_c2_layer10,0.9999962100601831,0.0027531560793339002,1
image448_c2_layer11,0.9999962251944198,0.002747653312028234,1
image448_c2_layer12,0.9999960735766342,0.002802303819588775,1
image448_c2_layer13,0.999996324581357,0.0027112823481340574,1
image448_c2_layer14,0.999996205876839,0.002754716356037984,1
image448_c2_layer15,0.9999962790072631,0.002727997821925475,1
image448_c2_layer16,0.9999963994023467,0.002683792986909498,1
image448_c2_layer17,0.9999961802019632,0.0027639825155433544,1
image448_c2_layer18,0.9999961228644954,0.0027846586628809756,1
image448_c2_layer19,0.9999960899403476,0.0027968119208658013,1
image448_c2_layer2,0.999996174349144,0.002766365631466865,1
image448_c2_layer20,0.9999963029263185,0.0027192642659808193,1
image448_c2_layer21,0.9999963332692606,0.002708043862478482,1
image448_c2_layer22,0.9999962358422883,0.0027438045574110282,1
image448_c2_layer23,0.9999961910092994,0.0027600704477641633,1
image448_c2_layer24,0.9999961620447021,0.0027705550157248516,1
image448_c2_layer25,0.9999960703327045,0.0028036996267566416,1
image448_c2_layer26,0.9999962002728775,0.0027567414079780342,1
image448_c2_layer27,0.9999960920879379,0.0027957102447365195,1
image448_c2_layer28,0.9999962488235519,0.0027391339027790984,1
image448_c2_layer29,0.9999962169705771,0.002750648510854367,1
image448_c2_layer3,0.9999963686729675,0.002694942639265922,1
image448_c2_layer30,0.9999962145179851,0.0027515658664192134,1
image448_c2_layer31,0.9999964649929707,0.0026589489436702153,1
image448_c2_layer32,0.9999964572842684,0.002661846911430169,1
image448_c2_layer33,0.9999961479417947,0.0027757172487096774,1
image448_c2_layer34,0.999995940910508,0.0028494818074544497,1
image448_c2_layer35,0.9999964245393816,0.002674256844409669,1
image448_c2_layer36,0.9999966065486274,0.0026051686976376045,1
image448_c2_layer37,0.9999960694525917,0.0028038018767604514,1
image448_c2_layer38,0.9999962503783755,0.0027385310850504244,1
image448_c2_layer39,0.9999963164788637,0.0027142358679285213,1
image448_c2_layer4,0.9999960869816461,0.002797728583619915,1
image448_c2_layer40,0.9999962234913571,0.002748390649569684,1
image448_c2_layer41,0.9999961440397739,0.0027771860726141244,1
image448_c2_layer42,0.9999959582488073,0.0028431690607242438,1
image448_c2_layer43,0.9999961407526343,0.0027783436103172186,1
image448_c2_layer44,0.9999964835613845,0.002651966054205605,1
image448_c2_layer45,0.9999963186182429,0.0027134399092569694,1
image448_c2_layer46,0.9999961152781314,0.002787730054567776,1
image448_c2_layer47,0.9999963252440455,0.0027110540692268036,1
image448_c2_layer5,0.9999959196053438,0.00285680966347537,1
image448_c2_layer6,0.9999964700060393,0.002657214717408274,1
image448_c2_layer7,0.9999963542997767,0.0027002707268625344,1
image448_c2_layer8,0.9999963861628794,0.002688558513090661,1
image448_c2_layer9,0.9999961580928293,0.002771966828210241,1
text2048_c2_layer0,0.99999640105606,0.0026828864496791353,1
text2048_c2_layer1,0.9999964840054724,0.0026519183251696443,1
text2048_c2_layer10,0.9999958873162574,0.0028679927670618986,1
text2048_c2_layer11,0.9999967643747485,0.002543881224709862,1
text2048_c2_layer12,0.9999962820178727,0.002726899443344727,1
text2048_c2_layer13,0.9999958195883252,0.0028915086934864654,1
text2048_c2_layer14,0.9999961508079004,0.002774595417542933,1
text2048_c2_layer15,0.9999960309492981,0.0028177239208545595,1
text2048_c2_layer16,0.9999961192058902,0.002786011369911987,1
text2048_c2_layer17,0.9999962243787056,0.0027480797335121044,1
text2048_c2_layer18,0.9999959196451772,0.0028566976509311432,1
text2048_c2_layer19,0.9999963305748163,0.002709119765325508,1
text2048_c2_layer2,0.9999968695385256,0.0025021847221035954,1
text2048_c2_layer20,0.9999962069019166,0.0027544725917446017,1
text2048_c2_layer21,0.9999962284774984,0.0027466883141595666,1
text2048_c2_layer22,0.999995843926234,0.002883104458571774,1
text2048_c2_layer23,0.9999961019776035,0.002792148296048065,1
text2048_c2_layer24,0.999996431646178,0.002671460981426417,1
text2048_c2_layer25,0.9999959946297875,0.0028303565705444953,1
text2048_c2_layer26,0.9999962191046299,0.002749940723612243,1
text2048_c2_layer27,0.999996003496267,0.002827188273893583,1
text2048_c2_layer28,0.9999966177538656,0.0026008616385296873,1
text2048_c2_layer29,0.9999961659968161,0.0027691557939631983,1
text2048_c2_layer3,0.9999961152460607,0.0027875891507280477,1
text2048_c2_layer30,0.9999962244207481,0.0027480415326331096,1
text2048_c2_layer31,0.9999960456945008,0.0028123381533549517,1
text2048_c2_layer32,0.9999964091426409,0.002679869947831148,1
text2048_c2_layer33,0.9999965294283609,0.002634716541315224,1
text2048_c2_layer34,0.9999960703483397,0.0028034527019569233,1
text2048_c2_layer35,0.9999963986539676,0.002683812288487143,1
text2048_c2_layer36,0.9999963126723257,0.0027156514785316036,1
text2048_c2_layer37,0.9999960647483118,0.0028054446750047303,1
text2048_c2_layer38,0.9999962086282348,0.002754151160242154,1
text2048_c2_layer39,0.999996296636066,0.0027215538008462537,1
text2048_c2_layer4,0.9999958288225862,0.0028885060937043883,1
text2048_c2_layer40,0.9999961357106467,0.00278004075841541,1
text2048_c2_layer41,0.9999963118317934,0.0027159604762787776,1
text2048_c2_layer42,0.9999963535366828,0.002700540430771608,1
text2048_c2_layer43,0.9999964076303067,0.002680496051883164,1
