Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
25.1,4062216639,42204,96251.9,928.0,703,58433269,771908.2,MEMORY_OPER,[CUDA memcpy Host-to-Device]
20.1,3252547639,12672,256672.0,68143.5,11424,98965955,1891745.0,CUDA_KERNEL,"void deep_ep::intranode::notify_dispatch<(int)4>(const int *, int *, const int *, int *, int, int, int, const bool *, int *, int *, int, int, void **, int **, int)"
16.6,2694563925,12688,212371.1,8192.0,4832,120497658,2222994.7,CUDA_KERNEL,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
13.7,2226159016,12672,175675.4,36831.5,5760,84393175,1398304.3,CUDA_KERNEL,"void deep_ep::intranode::cached_notify_combine<(int)4>(void **, int *, int, int, int, int **, int)"
7.3,1184932275,12912,91769.8,8928.0,4160,13458583,359228.1,CUDA_KERNEL,"void vllm::cross_device_reduce_1stage<__nv_bfloat16, (int)2>(vllm::RankData *, vllm::RankSignals, vllm::Signal *, T1 *, int, int)"
4.7,754115012,4,188528753.0,129244779.0,64320,495561134,236913114.0,CUDA_KERNEL,"void deep_ep::intranode::barrier<(int)4>(int **, int)"
2.1,335368176,23088,14525.6,10176.0,5888,194143,15508.0,CUDA_KERNEL,fused_moe_kernel
1.4,230645515,98888,2332.4,2272.0,1888,7040,146.1,MEMORY_OPER,[CUDA memcpy Device-to-Host]
1.4,227650205,12672,17964.8,15296.0,8064,391872,15251.5,CUDA_KERNEL,"void deep_ep::intranode::combine<__nv_bfloat16, (int)4, (int)768, (int)4096>(T1 *, float *, const T1 *, const float *, const T1 *, const T1 *, const int *, const int *, const int *, int *, int, int, int, int, void **, int, int, int)"
1.1,172427249,12672,13606.9,10528.0,6176,201375,10847.7,CUDA_KERNEL,"void deep_ep::intranode::dispatch<(int)4, (int)768, (int)8192>(int4 *, float *, int *, long *, float *, int *, int *, const int4 *, const float *, const long *, const float *, const bool *, const int *, int, int, int, int, int, int, int, int, void **, int, int, int)"
1.0,156188677,23808,6560.3,6592.0,6016,7872,280.9,CUDA_KERNEL,nvjet_tst_64x8_64x16_4x1_v_bz_TNT
0.4,68999747,11544,5977.1,5824.0,3872,37888,2453.0,CUDA_KERNEL,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::BFloat16, (int)4, (int)8>>(T3)"
0.4,65380922,25344,2579.7,2496.0,2176,6400,406.8,CUDA_KERNEL,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8>(T1 *, long, T1 *, const T1 *, float, int, int)"
0.4,65125472,12096,5384.1,5376.0,5056,5984,141.9,CUDA_KERNEL,nvjet_tst_64x8_64x16_2x1_v_bz_TNT
0.4,64588592,25344,2548.5,2400.0,2080,13056,965.3,CUDA_KERNEL,"void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)3>(T1 *, const T1 *, long, long, long, long, long, const T1 *, float, int, int)"
0.3,56696064,37716,1503.2,1376.0,1120,8448,594.5,MEMORY_OPER,[CUDA memcpy Device-to-Device]
0.3,55920090,25500,2192.9,2176.0,1728,7232,376.5,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,55250496,12672,4360.0,4352.0,4128,5888,276.8,CUDA_KERNEL,"void vllm::moe::topkGating<(int)8, (int)128, (int)4, (int)16, (int)32, long, __nv_bfloat16, (vllm::moe::ScoringFunc)0>(const T7 *, const bool *, float *, int, T6 *, int *, int, int, int, bool, const float *)"
0.3,54681022,12936,4227.0,4256.0,2944,5312,423.6,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.3,48714666,12672,3844.3,3808.0,3552,6400,305.5,CUDA_KERNEL,"void deep_ep::layout::get_dispatch_layout<(int)256, (int)4, (int)8>(const long *, int *, int *, int *, bool *, int, int, int, int)"
0.2,39293311,11544,3403.8,3360.0,3168,7200,386.0,CUDA_KERNEL,"void vllm::moe::moe_align_block_size_kernel<long>(const T1 *, int *, int *, int *, int *, int, int, int, int, unsigned long, int *, int, int, bool)"
0.2,38366813,11544,3323.5,2912.0,2720,30784,2105.8,CUDA_KERNEL,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float)"
0.2,33525122,11744,2854.7,2944.0,2080,4512,313.1,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.2,31042076,25476,1218.5,1248.0,1055,2848,160.6,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,23355544,11544,2023.2,2016.0,1600,2816,208.1,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(bool, long, long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,22102547,11544,1914.6,1888.0,1568,4640,419.5,CUDA_KERNEL,"void vllm::moe::count_and_sort_expert_tokens_kernel<long>(const T1 *, int *, int *, int *, unsigned long, int, int, int, bool)"
0.1,22087162,12672,1743.0,1728.0,1503,4288,335.9,CUDA_KERNEL,_triton_mrope_forward
0.1,19942034,11560,1725.1,1728.0,1503,2592,127.2,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,18931131,12480,1516.9,1472.0,1184,3168,270.4,CUDA_KERNEL,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
0.1,17880701,11544,1548.9,1536.0,1408,4512,112.7,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,17315644,11544,1500.0,1536.0,1344,2080,98.0,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
