Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.2,9343239832,178788,52258.8,7339.0,1846,120196668,717771.0,cudaMemcpyAsync
15.0,5784598555,783,7387737.6,5690772.0,49803,117739284,8226701.6,cuMemExportToShareableHandle
9.1,3502501465,274040,12781.0,6807.0,3491,64882087,386486.0,cudaLaunchKernel
5.6,2174938062,3404,638936.0,251047.0,57493,48516111,1412280.3,cuMemSetAccess
5.0,1949052023,63666,30613.7,2353.0,1762,84623821,627030.1,cudaEventSynchronize
3.5,1333135787,783,1702600.0,967267.0,30390,34490903,2895979.1,cuMemImportFromShareableHandle
3.4,1323145765,6768,195500.3,35993.5,94,33348424,1546507.5,cuMemRelease
3.1,1203289141,123080,9776.5,7276.0,1760,856951,7715.1,cudaStreamSynchronize
3.1,1180288022,20,59014401.1,46546558.0,41494553,94821401,21858135.5,cuMulticastBindMem
2.5,969788332,3404,284896.7,171999.0,53413,29560555,889862.9,cuMemUnmap
2.4,922723613,87088,10595.3,7889.0,3859,20529782,116197.6,cuLaunchKernelEx
2.1,821307406,20,41065370.3,57336894.5,678108,85384459,34133872.6,cudaIpcOpenMemHandle
2.1,810493550,2620,309348.7,70731.0,13162,33358588,1222686.3,cuMemCreate
2.0,776341221,349271,2222.7,1881.0,430,248629,1661.6,cudaEventQuery
2.0,755059546,32,23595610.8,39101.5,5385,495567073,97177671.7,cudaDeviceSynchronize
1.9,734503185,300023,2448.2,1931.0,1089,1521643,3692.6,cudaEventRecord
1.8,689304579,997,691378.7,258376.0,5383,16244150,1548228.5,cudaMalloc
1.6,624617260,63580,9824.1,7808.0,3961,19700357,147217.5,cudaLaunchKernelExC_v11060
1.3,493535303,139440,3539.4,2919.0,1735,3140239,18285.3,cudaEventRecordWithFlags_v11010
1.3,490139472,3404,143989.3,62206.5,1302,10029761,411104.4,cuMemMap
1.2,453872972,20,22693648.6,2181317.5,11301,59073687,25459699.2,cuMulticastAddDevice
1.0,399790089,273,1464432.6,124466.0,1873,336775170,20372850.8,cudaFree
1.0,375884973,512,734150.3,8241.5,1860,13741487,2049686.9,cudaStreamCreateWithPriority
0.8,305290557,56,5451617.1,3364496.5,1331547,19719676,4057291.3,cudaGetDeviceProperties_v2_v12000
0.7,251875672,216854,1161.5,822.0,276,733966,5005.0,cudaEventCreateWithFlags
0.5,181912358,215524,844.0,567.0,316,1136177,5327.0,cudaEventDestroy
0.4,140753782,215205,654.0,437.0,259,29768,593.5,cudaStreamIsCapturing_v10000
