PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
3647415,3647415,3,1,0,495928664.0,495928664.0,495928664,495928664,0.0,374341.0,374341.0,374341,374341,0.0,,,,,0.0,495561134.0,495561134.0,495561134,495561134,0.0,cudaLaunchKernelExC_v11060,"void deep_ep::intranode::barrier<(int)4>(int **, int)"
3647418,3647418,0,1,0,255216301.0,255216301.0,255216301,255216301,0.0,346056.0,346056.0,346056,346056,0.0,,,,,0.0,254876316.0,254876316.0,254876316,254876316,0.0,cudaLaunchKernelExC_v11060,"void deep_ep::intranode::barrier<(int)4>(int **, int)"
3647415,3647415,3,2,2,32452783.0,32452783.0,17371,64888195,45870599.6,32445637.5,32445637.5,9188,64882087,45872066.8,3609.5,3609.5,2652,4567,1354.1,3536.0,3536.0,3456,3616,113.1,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647419,3647419,1,2,2,32044092.5,32044092.5,19251,64068934,45289965.2,32037274.5,32037274.5,11150,64063399,45291779.6,3282.0,3282.0,2047,4517,1746.6,3536.0,3536.0,3488,3584,67.9,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647414,3647414,2,2,2,31937493.0,31937493.0,18686,63856300,45140009.8,31931372.0,31931372.0,11255,63851489,45141862.4,2745.0,2745.0,1515,3975,1739.5,3376.0,3376.0,3296,3456,113.1,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647418,3647418,0,2,2,31861070.0,31861070.0,18698,63703442,45031914.3,31854541.5,31854541.5,10773,63698310,45033889.3,3088.5,3088.5,1868,4309,1726.0,3440.0,3440.0,3264,3616,248.9,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647415,3647415,3,2,2,20273187.0,20273187.0,18919,40527455,28643860.5,20262348.5,20262348.5,6407,40518290,28646227.2,7926.5,7926.5,6349,9504,2230.9,2912.0,2912.0,2816,3008,135.8,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647418,3647418,0,2,2,20050924.0,20050924.0,20777,40081071,28326905.5,20040422.5,20040422.5,8720,40072125,28329105.4,7509.5,7509.5,5906,9113,2267.7,2992.0,2992.0,2944,3040,67.9,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647414,3647414,2,2,2,19767722.5,19767722.5,32012,39503433,27910509.5,19757626.5,19757626.5,20609,39494644,27912357.8,7184.0,7184.0,5973,8395,1712.6,2912.0,2912.0,2816,3008,135.8,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647415,3647415,3,2,1,17181759.5,17181759.5,14093,34349426,24278746.8,17177559.5,17177559.5,6650,34348469,24283333.1,5555.0,5555.0,5555,5555,0.0,2000.0,2000.0,1888,2112,158.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
