Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
93.3,4062216639,42204,96251.9,928.0,703,58433269,771908.2,[CUDA memcpy Host-to-Device]
5.3,230645515,98888,2332.4,2272.0,1888,7040,146.1,[CUDA memcpy Device-to-Host]
1.3,56696064,37716,1503.2,1376.0,1120,8448,594.5,[CUDA memcpy Device-to-Device]
0.0,2078876,1900,1094.1,992.0,704,22816,1140.8,[CUDA memset]
