median_prompt_tokens,median_tmoe_reduction_pct,median_wall_reduction_pct,n,volume
257.0,-17.168582229956733,-2548.2221846922803,6,small
1647.0,22.794895856229004,-869.1688065531272,6,medium
5932.0,36.695408603222894,-300.82842535650104,6,large
