active_experts,combine_ms,critical_rank,dispatch_ms,expert_backend,expert_load_cv,expert_max_mean_rank,expert_ms,full_moe_ms,iteration,layer,max_expert_load,mean_expert_load,mean_expert_rank_ms,mean_full_rank_ms,modality,prepare_finalize_backend,rank_count,rank_cv,rank_loads,rank_max_mean_load,request_id,topology,total_assignments_local_sum,volume,workload
128,0.01775999926030636,0,0.0031999999191612005,TritonExperts,0.6102341265393056,1.0179118574332373,0.7919679880142212,10.099871635437012,0,0,5212.0,1483.0,0.7780319899320602,10.099231958389282,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.03583242300731234,"[49460, 46400, 48712, 45252]",1.042228590694538,large_mixed,TP_ONLY,189824,large,mixed
128,0.018559999763965607,2,0.019519999623298645,TritonExperts,0.61386774141593,1.0172244821280902,0.7715200185775757,10.225536346435547,0,1,5220.0,1483.0,0.7584560066461563,10.22002387046814,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.05508558542001081,"[45556, 45820, 51944, 46504]",1.094571813890762,large_mixed,TP_ONLY,189824,large,mixed
128,0.018624000251293182,2,0.018783999606966972,TritonExperts,0.5862995101013384,1.0157789056330222,0.7622079849243164,10.202079772949219,0,2,4672.0,1483.0,0.7503679990768433,10.201104164123535,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.0966702286293139,"[44548, 51416, 52384, 41476]",1.1038435603506407,large_mixed,TP_ONLY,189824,large,mixed
128,0.018112000077962875,3,0.01820800080895424,TritonExperts,0.6023302107031031,1.005585601050144,0.7446079850196838,10.220992088317871,0,3,3944.0,1483.0,0.7404720038175583,10.201207876205444,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.07096750095060134,"[43448, 46400, 47216, 52760]",1.1117666891436278,large_mixed,TP_ONLY,189824,large,mixed
128,0.0180479995906353,3,0.019200000911951065,TritonExperts,0.6745128652885415,1.0201935348372444,0.7650880217552185,10.326720237731934,0,4,5196.0,1483.0,0.7499440014362335,10.324360132217407,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.08212113305281286,"[45744, 43212, 47112, 53756]",1.1327545515846258,large_mixed,TP_ONLY,189824,large,mixed
128,0.01772800087928772,0,0.019071999937295914,TritonExperts,0.6972436484698779,1.014776185087212,0.7537919878959656,10.4835844039917,0,5,4988.0,1483.0,0.7428160011768341,10.471792221069336,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.053041647290437206,"[51300, 47620, 44332, 46572]",1.0810013486176668,large_mixed,TP_ONLY,189824,large,mixed
128,0.017920000478625298,0,0.019039999693632126,TritonExperts,0.7841605817278152,1.024537364908171,0.7716159820556641,10.275199890136719,0,6,4616.0,1483.0,0.75313600897789,10.273335933685303,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.13243299581099974,"[51600, 36628, 51584, 50012]",1.0873229939312206,large_mixed,TP_ONLY,189824,large,mixed
127,0.018303999677300453,2,0.01894400082528591,TritonExperts,0.7773387304765228,1.0146866725781636,0.7594239711761475,10.152192115783691,0,7,5640.0,1494.6771653543308,0.748431995511055,10.150543928146362,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.04101383357345899,"[46432, 46496, 50816, 46080]",1.0708024275118004,large_mixed,TP_ONLY,189824,large,mixed
128,0.01865600049495697,0,0.01881599985063076,TritonExperts,0.7816139666797153,1.0093685811831712,0.7559040188789368,10.234911918640137,0,8,6352.0,1483.0,0.7488880008459091,10.22376799583435,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.06783381699519826,"[52408, 46544, 43444, 47428]",1.104349291975725,large_mixed,TP_ONLY,189824,large,mixed
128,0.017696000635623932,0,0.018592000007629395,TritonExperts,0.7587480183208576,1.0240591612452912,0.7664960026741028,10.233471870422363,0,9,5860.0,1483.0,0.7484880089759827,10.231048107147217,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.2833125874279637,"[70560, 37964, 38844, 42456]",1.4868509777478085,large_mixed,TP_ONLY,189824,large,mixed
128,0.018144000321626663,0,0.01926399953663349,TritonExperts,0.7569290111503647,1.016568643500016,0.756384015083313,10.346688270568848,0,10,6260.0,1483.0,0.7440560162067413,10.339928150177002,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.04259823806711241,"[50324, 45008, 46236, 48256]",1.0604349291975725,large_mixed,TP_ONLY,189824,large,mixed
128,0.018015999346971512,1,0.01833599992096424,TritonExperts,0.7320067305545929,1.0078038100006883,0.752128005027771,10.200032234191895,0,11,5692.0,1483.0,0.746303990483284,10.19216799736023,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.05044400088724552,"[46312, 50148, 44116, 49248]",1.0567262306136211,large_mixed,TP_ONLY,189824,large,mixed
128,0.017920000478625298,1,0.019487999379634857,TritonExperts,0.7141829886373136,1.021004433991026,0.7688000202178955,10.267104148864746,0,12,6044.0,1483.0,0.7529840171337128,10.263063907623291,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.06535726628196575,"[42636, 50796, 46972, 49420]",1.070380984490897,large_mixed,TP_ONLY,189824,large,mixed
128,0.017696000635623932,3,0.018848000094294548,TritonExperts,0.7261297263806017,1.0201061635680404,0.7720000147819519,10.316736221313477,0,13,4800.0,1483.0,0.7567839920520782,10.315952062606812,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.08319475242770916,"[50052, 43440, 43780, 52552]",1.1073836817262306,large_mixed,TP_ONLY,189824,large,mixed
128,0.01817600056529045,2,0.018688000738620758,TritonExperts,0.6508601627058415,1.0094730908432323,0.7519040107727051,10.236831665039062,0,14,4692.0,1483.0,0.7448479980230331,10.231328010559082,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.05174843234155028,"[43856, 49348, 50060, 46560]",1.0548718813216453,large_mixed,TP_ONLY,189824,large,mixed
128,0.017983999103307724,3,0.019007999449968338,TritonExperts,0.6819441289372077,1.0074610280769738,0.761568009853363,10.333248138427734,0,15,4772.0,1483.0,0.7559280097484589,10.331743955612183,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.12901449559183045,"[47576, 45664, 39768, 56816]",1.1972353337828725,large_mixed,TP_ONLY,189824,large,mixed
128,0.018783999606966972,1,0.019519999623298645,TritonExperts,0.6663887537908089,1.0065071376331778,0.7449280023574829,10.318719863891602,0,16,4404.0,1483.0,0.7401119917631149,10.308391809463501,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.07402859899911228,"[46568, 53052, 43344, 46860]",1.11791975724882,large_mixed,TP_ONLY,189824,large,mixed
128,0.01852799952030182,1,0.018848000094294548,TritonExperts,0.539130786411817,1.020738072763431,0.762719988822937,10.283040046691895,0,17,3928.0,1483.0,0.7472240030765533,10.2811758518219,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.07861178826626418,"[41972, 51452, 46136, 50264]",1.084204315576534,large_mixed,TP_ONLY,189824,large,mixed
