dataset,refineep_two_direction_control_us,projected_request_ms,incremental_gain_vs_o0_percent
gsm8k,25,4476.121805938,3.341813431
gsm8k,50,4524.946805938,2.287477520
gsm8k,75,4573.771805938,1.233141610
gsm8k,100,4609.930206555,0.452330545
gsm8k,125,4625.913497924,0.107184451
humaneval,25,5433.691218312,3.245403709
humaneval,50,5498.016218312,2.100005644
humaneval,75,5562.341218312,0.954607579
humaneval,100,5602.886311096,0.232644566
humaneval,125,5612.721326510,0.057518136
