case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,restarts,repeats_per_restart,timing_unit
control_m128_fanout1_local,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.009360000,0.041328000,0.006416000,0.039360000,0.091583997,0.099359997,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_fanout1_local,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.009392000,0.046928000,0.105744001,0.060464000,0.210880004,0.233183995,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_fanout1_local,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.032384001,0.067728002,0.111088000,0.053408001,0.252336003,0.267392009,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_fanout1_remote,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.010448000,0.051344000,0.003952000,0.045423999,0.105696000,0.146080002,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_fanout1_remote,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.009584000,0.050640000,0.115424000,0.060335999,0.222048000,0.298592001,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_fanout1_remote,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.035840001,0.075168002,0.116847999,0.059632001,0.264895990,0.355648011,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_mild_skew_fanout4,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.009296000,0.045168001,0.003616000,0.040208001,0.097408000,0.112351999,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_mild_skew_fanout4,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.009264000,0.049439998,0.105056003,0.055919999,0.208608001,0.231327996,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_mild_skew_fanout4,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.031888001,0.068608001,0.105680000,0.052480001,0.249599993,0.273920000,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_strong_skew_fanout2,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.009296000,0.048544001,0.003248000,0.046928000,0.107295997,0.119648002,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_strong_skew_fanout2,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.009248000,0.047456000,0.103168000,0.082704000,0.202047996,0.224191993,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_strong_skew_fanout2,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.032240000,0.066239998,0.103248000,0.080688000,0.244992003,0.262432009,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_uniform_fanout4,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.009216000,0.044848001,0.003648000,0.039039999,0.095440000,0.108000003,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_uniform_fanout4,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.009168000,0.048752001,0.104256000,0.055968000,0.207808003,0.222048000,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m128_uniform_fanout4,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.032384001,0.067600001,0.103439998,0.052096000,0.247248001,0.265087992,0.000000000,0.000000000,1024.000000000,1024.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_fanout1_local,controlled,-1,1,controlled,small,32,128,low_latency,0.009072000,0.038832000,0.006784000,0.036800001,0.088272002,0.103359997,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_fanout1_local,controlled,-1,1,controlled,small,32,128,normal_cached,0.009120000,0.045839999,0.102927998,0.047536001,0.201728001,0.216288000,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_fanout1_local,controlled,-1,1,controlled,small,32,128,normal_fresh,0.032080000,0.063391998,0.107471999,0.045808000,0.241407998,0.264416009,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_fanout1_remote,controlled,-1,1,controlled,small,32,128,low_latency,0.009168000,0.040447999,0.006512000,0.036896000,0.089264002,0.102399997,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_fanout1_remote,controlled,-1,1,controlled,small,32,128,normal_cached,0.009136000,0.045936000,0.103519998,0.050271999,0.199599996,0.220320001,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_fanout1_remote,controlled,-1,1,controlled,small,32,128,normal_fresh,0.031984001,0.064799998,0.104848001,0.046879999,0.241583996,0.261471987,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_mild_skew_fanout4,controlled,-1,1,controlled,small,32,128,low_latency,0.009152000,0.041007999,0.006832000,0.038640000,0.091488000,0.100160003,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
