start_kst,end_kst,physical_gpus,command,purpose,status
2026-09-14T17:23:33+09:00,2026-09-14T17:23:49+09:00,"4,5,6,7",benchmark_existing_paths.py --max-cases 1,DeepEP normal/LL smoke,PASS
2026-09-14T17:23:50+09:00,2026-09-14T17:26:10+09:00,"4,5,6,7",benchmark_existing_paths.py real replay,initial existing-path envelope,PASS
2026-09-14T17:26:11+09:00,2026-09-14T17:30:42+09:00,"4,5,6,7",nsys profile benchmark_existing_paths.py,very-small and large kernel trace,PASS_WITH_INIT_TAX
2026-09-14T17:34:45+09:00,2026-09-14T17:37:16+09:00,"4,5,6,7",benchmark_existing_paths.py restarts v3-v7,five independent real-route restarts,PASS
2026-09-14T17:43:19+09:00,2026-09-14T17:44:45+09:00,"4,5,6,7",benchmark_existing_paths.py --start-case 25,five independent controlled-route restarts,PASS
2026-09-14T17:45:18+09:00,running,"4,5,6,7",bash /home/esjung/vllm-ep/run_utilize.sh,post-measurement requested utilization,RUNNING
