dataset,wave,layer,phase,physical_dense_m,fresh_m,fresh_fraction,shape_class,token_expert_pairs,remote_assignments,remote_bytes_one_way_bf16,active_experts,rows_per_active_expert_mean,rows_per_active_expert_p50,rows_per_active_expert_p90,max_rows_per_expert,tiny_expert_fraction_le4,destination_fanout_mean,destination_fanout_max,rank0_load,rank1_load,rank2_load,rank3_load,rank_load_cv,critical_rank,source_trace_kind,epoch_status,normal_fresh_ms,normal_cached_ms,low_latency_ms,best_existing_ms,best_existing_path,payload_lower_bound_ms,o1_control_free_ms,o2_physical_lower_ms,o3_refineep_target_ms,normal_to_o0_saved_ms,o0_to_o3_saved_ms
gsm8k,0,13,middle,992,493,0.496975806,medium,3944,3025,24780800,128,30.812500000,12.000000000,80.600000000,307,0.320312500,3.139959432,4,764,1002,900,1278,0.191224215,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057987130,0.057987130,0.077987130,0.107987130,0.095968000,0.087036869
gsm8k,0,14,middle,992,493,0.496975806,medium,3944,3093,25337856,120,32.866666667,12.000000000,95.200000000,356,0.308333333,3.004056795,4,1234,1001,325,1384,0.411049024,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.059290642,0.059290642,0.079290642,0.109290642,0.095968000,0.085733357
gsm8k,0,15,middle,992,493,0.496975806,medium,3944,2983,24436736,112,35.214285714,15.000000000,88.800000000,412,0.303571429,3.306288032,4,1096,874,613,1361,0.279778274,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057182019,0.057182019,0.077182019,0.107182019,0.095968000,0.087841980
gsm8k,0,16,middle,992,493,0.496975806,medium,3944,2937,24059904,115,34.295652174,8.000000000,111.600000000,270,0.400000000,3.144016227,4,1097,926,1360,561,0.294127264,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.056300232,0.056300232,0.076300232,0.106300232,0.095968000,0.088723767
gsm8k,0,17,middle,992,493,0.496975806,medium,3944,2849,23339008,114,34.596491228,13.500000000,92.700000000,286,0.307017544,3.286004057,4,649,1332,556,1407,0.391297422,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.054613333,0.054613333,0.074613333,0.104613333,0.095968000,0.090410666
gsm8k,0,18,middle,992,493,0.496975806,medium,3944,2876,23560192,113,34.902654867,13.000000000,91.800000000,285,0.292035398,3.121703854,4,1124,1376,358,1086,0.384703660,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055130904,0.055130904,0.075130904,0.105130904,0.095968000,0.089893095
gsm8k,0,19,middle,992,493,0.496975806,medium,3944,2943,24109056,108,36.518518519,14.000000000,109.600000000,232,0.268518519,3.048681542,4,638,1834,986,486,0.529477820,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.056415247,0.056415247,0.076415247,0.106415247,0.095968000,0.088608752
gsm8k,0,20,middle,992,493,0.496975806,medium,3944,2914,23871488,118,33.423728814,11.000000000,109.900000000,210,0.347457627,3.217038540,4,706,1402,873,963,0.260924196,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055859338,0.055859338,0.075859338,0.105859338,0.095968000,0.089164661
gsm8k,0,21,middle,992,493,0.496975806,medium,3944,2995,24535040,111,35.531531532,14.000000000,103.000000000,246,0.297297297,3.113590264,4,1189,462,1107,1186,0.308634038,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057412051,0.057412051,0.077412051,0.107412051,0.095968000,0.087611948
gsm8k,0,22,middle,992,493,0.496975806,medium,3944,2891,23683072,115,34.295652174,20.000000000,96.200000000,248,0.234782609,3.202839757,4,1187,1221,1022,514,0.286726929,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055418444,0.055418444,0.075418444,0.105418444,0.095968000,0.089605555
gsm8k,0,23,middle,992,493,0.496975806,medium,3944,3122,25575424,118,33.423728814,15.000000000,87.400000000,408,0.296610169,3.243407708,4,1311,954,560,1119,0.280428256,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.059846552,0.059846552,0.079846552,0.109846552,0.095968000,0.085177447
gsm8k,0,24,middle,992,493,0.496975806,medium,3944,2900,23756800,110,35.854545455,14.500000000,105.200000000,272,0.200000000,3.223123732,4,944,1138,1175,687,0.196392203,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055590968,0.055590968,0.075590968,0.105590968,0.095968000,0.089433031
gsm8k,0,25,middle,992,493,0.496975806,medium,3944,3055,25026560,114,34.596491228,14.000000000,106.600000000,193,0.298245614,3.024340771,4,934,1045,827,1138,0.118459547,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.058562209,0.058562209,0.078562209,0.108562209,0.095968000,0.086461790
gsm8k,0,26,middle,992,493,0.496975806,medium,3944,2970,24330240,111,35.531531532,13.000000000,99.000000000,249,0.270270270,2.835699797,4,1255,440,1697,552,0.523161935,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.056932819,0.056932819,0.076932819,0.106932819,0.095968000,0.088091180
gsm8k,0,27,middle,992,493,0.496975806,medium,3944,2787,22831104,114,34.596491228,14.500000000,97.900000000,290,0.289473684,2.931034483,4,1075,1724,841,304,0.516822107,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.053424837,0.053424837,0.073424837,0.103424837,0.095968000,0.091599162
gsm8k,0,28,middle,992,493,0.496975806,medium,3944,3094,25346048,109,36.183486239,8.000000000,128.000000000,248,0.376146789,2.529411765,4,381,145,1827,1591,0.742967584,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.059309812,0.059309812,0.079309812,0.109309812,0.095968000,0.085714187
gsm8k,0,29,middle,992,493,0.496975806,medium,3944,3018,24723456,118,33.423728814,13.500000000,100.400000000,268,0.288135593,2.926977688,4,566,541,2021,816,0.615776118,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057852945,0.057852945,0.077852945,0.107852945,0.095968000,0.087171054
gsm8k,0,30,middle,992,493,0.496975806,medium,3944,2989,24485888,124,31.806451613,10.000000000,68.000000000,419,0.322580645,3.081135903,4,336,1169,1368,1071,0.395777350,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057297035,0.057297035,0.077297035,0.107297035,0.095968000,0.087726964
gsm8k,0,31,middle,992,493,0.496975806,medium,3944,2997,24551424,106,37.207547170,12.000000000,112.500000000,372,0.358490566,2.943204868,4,786,412,701,2045,0.635835101,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057450390,0.057450390,0.077450390,0.107450390,0.095968000,0.087573609
gsm8k,1,1,middle,992,441,0.444556452,medium,3528,2547,20865024,83,42.506024096,7.000000000,87.800000000,385,0.373493976,2.743764172,4,500,1410,1376,242,0.588681086,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.048824205,0.048824205,0.068824205,0.098824205,0.096379215,0.079531104
gsm8k,1,2,middle,992,441,0.444556452,medium,3528,2877,23568384,67,52.656716418,6.000000000,197.600000000,406,0.432835821,2.972789116,4,1855,150,576,947,0.712667335,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.055150074,0.055150074,0.075150074,0.105150074,0.096379215,0.073205236
gsm8k,1,3,middle,992,441,0.444556452,medium,3528,2672,21889024,102,34.588235294,5.000000000,81.800000000,377,0.480392157,2.789115646,4,252,269,1684,1323,0.719386192,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.051220367,0.051220367,0.071220367,0.101220367,0.096379215,0.077134942
gsm8k,1,4,middle,992,441,0.444556452,medium,3528,2459,20144128,109,32.366972477,10.000000000,91.200000000,349,0.311926606,2.832199546,4,560,1674,217,1077,0.623891389,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.047137307,0.047137307,0.067137307,0.097137307,0.096379215,0.081218003
gsm8k,1,5,middle,992,441,0.444556452,medium,3528,2582,21151744,110,32.072727273,10.000000000,77.200000000,268,0.336363636,3.331065760,4,761,1367,880,520,0.349876591,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049495130,0.049495130,0.069495130,0.099495130,0.096379215,0.078860179
