case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,repeats,timing_unit,restart
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,low_latency,0.009120000,0.041824000,0.006672000,0.036527999,0.090271998,0.109088004,0.000896853,0.000000000,208,208,True,30,critical-rank wall via same-GPU CUDA events,1
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,normal_cached,0.009120000,0.046496000,0.102527998,0.054864001,0.203759998,0.240255997,0.000000000,0.000896841,208,208,True,30,critical-rank wall via same-GPU CUDA events,1
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,normal_fresh,0.031344000,0.063519999,0.108959999,0.049984001,0.242416002,0.258208007,0.000000000,0.000896841,208,208,True,30,critical-rank wall via same-GPU CUDA events,1
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,low_latency,0.009104000,0.039168000,0.005520000,0.037103999,0.087344002,0.102880001,0.000000000,0.000000000,248,248,True,30,critical-rank wall via same-GPU CUDA events,1
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,normal_cached,0.009120000,0.045631999,0.102464002,0.054336000,0.202560000,0.218048006,0.000000000,0.000000000,248,248,True,30,critical-rank wall via same-GPU CUDA events,1
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,normal_fresh,0.031248000,0.062463999,0.104928002,0.052080002,0.240543999,0.258015990,0.000000000,0.000000000,248,248,True,30,critical-rank wall via same-GPU CUDA events,1
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,low_latency,0.009248000,0.040416000,0.005696000,0.037408000,0.089216001,0.109088004,0.000751054,0.000000000,264,264,True,30,critical-rank wall via same-GPU CUDA events,1
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,normal_cached,0.009184000,0.045872001,0.102224000,0.056831999,0.203167997,0.220320001,0.000000000,0.000751042,264,264,True,30,critical-rank wall via same-GPU CUDA events,1
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,normal_fresh,0.031312000,0.064096000,0.105888002,0.051808000,0.241792001,0.268896013,0.000000000,0.000751042,264,264,True,30,critical-rank wall via same-GPU CUDA events,1
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,low_latency,0.009056000,0.042640001,0.004672000,0.034543999,0.087791998,0.096383996,0.000648639,0.000000000,352,352,True,30,critical-rank wall via same-GPU CUDA events,1
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,normal_cached,0.008992000,0.046320001,0.104463998,0.056480000,0.203471996,0.223519996,0.000000000,0.000648637,352,352,True,30,critical-rank wall via same-GPU CUDA events,1
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,normal_fresh,0.031760000,0.065183997,0.105008002,0.050223999,0.241680004,0.262304008,0.000000000,0.000648637,352,352,True,30,critical-rank wall via same-GPU CUDA events,1
real_12_humaneval_w14_l1,humaneval,14,1,middle,medium-small,66,256,low_latency,0.009232000,0.044592001,0.003200000,0.037056001,0.091407999,0.104736000,0.000418206,0.000000000,528,528,True,30,critical-rank wall via same-GPU CUDA events,1
real_12_humaneval_w14_l1,humaneval,14,1,middle,medium-small,66,256,normal_cached,0.009168000,0.046304001,0.102432001,0.054800000,0.203263998,0.224736005,0.000000000,0.000418207,528,528,True,30,critical-rank wall via same-GPU CUDA events,1
real_12_humaneval_w14_l1,humaneval,14,1,middle,medium-small,66,256,normal_fresh,0.032159999,0.064415999,0.104736000,0.050368002,0.246431999,0.276160002,0.000000000,0.000418207,528,528,True,30,critical-rank wall via same-GPU CUDA events,1
