case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,restarts,repeats_per_restart,timing_unit
real_03_gsm8k_w59_l1,gsm8k,59,1,late,very-small,5,256,normal_cached,0.009584000,0.051455999,0.107632000,0.059103999,0.216512002,0.278400004,0.000000000,0.000000000,40.000000000,40.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_03_gsm8k_w59_l1,gsm8k,59,1,late,very-small,5,256,normal_fresh,0.033520000,0.066223998,0.110367998,0.052288001,0.251632005,0.346303999,0.000000000,0.000000000,40.000000000,40.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_04_gsm8k_w57_l1,gsm8k,57,1,late,very-small,8,256,low_latency,0.009360000,0.040368000,0.006992000,0.037583999,0.090863999,0.105279997,0.000000000,0.000000000,64.000000000,64.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_04_gsm8k_w57_l1,gsm8k,57,1,late,very-small,8,256,normal_cached,0.009216000,0.046319999,0.105248000,0.056208001,0.201983996,0.233664006,0.000000000,0.000000000,64.000000000,64.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_04_gsm8k_w57_l1,gsm8k,57,1,late,very-small,8,256,normal_fresh,0.032063998,0.064656001,0.108560003,0.049311999,0.243328005,0.292640001,0.000000000,0.000000000,64.000000000,64.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_05_gsm8k_w33_l1,gsm8k,33,1,late,small,9,256,low_latency,0.009280000,0.039983999,0.007008000,0.034496000,0.087664001,0.101631999,0.000402520,0.000000000,72.000000000,72.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_05_gsm8k_w33_l1,gsm8k,33,1,late,small,9,256,normal_cached,0.009136000,0.046367999,0.103008002,0.045871999,0.196880005,0.223232001,0.000000000,0.000402517,72.000000000,72.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_05_gsm8k_w33_l1,gsm8k,33,1,late,small,9,256,normal_fresh,0.031152001,0.063104000,0.105407998,0.044687999,0.238144003,0.267520010,0.000000000,0.000402517,72.000000000,72.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_06_gsm8k_w55_l1,gsm8k,55,1,late,small,15,256,low_latency,0.009360000,0.040944001,0.006528000,0.036527999,0.090319999,0.103744000,0.000000000,0.000000000,120.000000000,120.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_06_gsm8k_w55_l1,gsm8k,55,1,late,small,15,256,normal_cached,0.009184000,0.045440000,0.104208000,0.053695999,0.203327999,0.219551995,0.000000000,0.000000000,120.000000000,120.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_06_gsm8k_w55_l1,gsm8k,55,1,late,small,15,256,normal_fresh,0.032256000,0.064656001,0.107008003,0.049008001,0.245664001,0.270848006,0.000000000,0.000000000,120.000000000,120.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_07_humaneval_w22_l1,humaneval,22,1,late,small,22,256,low_latency,0.009328000,0.040752001,0.006752000,0.039680000,0.090848003,0.133120000,0.000837831,0.000000000,176.000000000,176.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_07_humaneval_w22_l1,humaneval,22,1,late,small,22,256,normal_cached,0.009264000,0.046464000,0.109664001,0.057616001,0.218800001,0.282911986,0.000000000,0.000837815,176.000000000,176.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_07_humaneval_w22_l1,humaneval,22,1,late,small,22,256,normal_fresh,0.033200001,0.073215999,0.114896003,0.062896000,0.264624000,0.367935985,0.000000000,0.000837815,176.000000000,176.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,low_latency,0.009280000,0.041824000,0.006672000,0.036527999,0.090271998,0.109088004,0.000896853,0.000000000,208.000000000,208.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,normal_cached,0.009216000,0.046496000,0.104127999,0.054864001,0.205391996,0.240255997,0.000000000,0.000896841,208.000000000,208.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,256,normal_fresh,0.032687999,0.064303998,0.108959999,0.049984001,0.242416002,0.264095992,0.000000000,0.000896841,208.000000000,208.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,low_latency,0.009232000,0.039407998,0.006480000,0.037136000,0.088448003,0.102880001,0.000000000,0.000000000,248.000000000,248.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,normal_cached,0.009120000,0.047248000,0.107120000,0.057136001,0.210448004,0.245728001,0.000000000,0.000000000,248.000000000,248.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,256,normal_fresh,0.032671999,0.063311998,0.108608000,0.052080002,0.249215998,0.274495989,0.000000000,0.000000000,248.000000000,248.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,low_latency,0.009616000,0.043056000,0.006640000,0.038927998,0.093392000,0.137695998,0.000751054,0.000000000,264.000000000,264.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,normal_cached,0.009488000,0.049168000,0.112608001,0.061279999,0.223552004,0.293119997,0.000000000,0.000751042,264.000000000,264.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,256,normal_fresh,0.032368001,0.068399999,0.110608000,0.052751999,0.261583999,0.343423992,0.000000000,0.000751042,264.000000000,264.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,low_latency,0.009232000,0.043248001,0.004672000,0.035776000,0.091440000,0.102399997,0.000648639,0.000000000,352.000000000,352.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,normal_cached,0.009152000,0.047232000,0.104463998,0.056480000,0.205199994,0.246528000,0.000000000,0.000648637,352.000000000,352.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,256,normal_fresh,0.032207999,0.065183997,0.106319997,0.050223999,0.245423995,0.270848006,0.000000000,0.000648637,352.000000000,352.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_12_humaneval_w14_l1,humaneval,14,1,middle,medium-small,66,256,low_latency,0.009248000,0.045504000,0.003504000,0.037056001,0.091407999,0.107359998,0.000418206,0.000000000,528.000000000,528.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_12_humaneval_w14_l1,humaneval,14,1,middle,medium-small,66,256,normal_cached,0.009184000,0.047456000,0.105488002,0.054943999,0.207248002,0.235584006,0.000000000,0.000418207,528.000000000,528.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_12_humaneval_w14_l1,humaneval,14,1,middle,medium-small,66,256,normal_fresh,0.032159999,0.065407999,0.109487999,0.051136000,0.249183998,0.276160002,0.000000000,0.000418207,528.000000000,528.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
