case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,repeats,timing_unit,restart
control_m128_fanout1_local,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.009424000,0.045376001,0.006416000,0.039360000,0.101808000,0.165472001,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_fanout1_local,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.010896000,0.082144000,0.136767998,0.130768005,0.294175997,0.372063994,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_fanout1_local,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.039888000,0.082111999,0.134240001,0.072688002,0.294175997,0.416768014,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_fanout1_remote,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.012752000,0.094671998,0.010928000,0.065808002,0.168303996,0.189664006,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_fanout1_remote,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.013056000,0.102192003,0.173551999,0.194367997,0.352464005,0.374783993,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_fanout1_remote,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.053471999,0.133887999,0.178704001,0.139855996,0.412799999,0.425056010,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_mild_skew_fanout4,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.008976000,0.044416001,0.003216000,0.038160000,0.093616001,0.102080002,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_mild_skew_fanout4,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.008960000,0.047791999,0.101631999,0.055919999,0.202560000,0.226336002,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_mild_skew_fanout4,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.031744000,0.066447999,0.102639999,0.051360000,0.244255997,0.273920000,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_strong_skew_fanout2,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.008896000,0.049184000,0.003232000,0.044272000,0.102832001,0.112544000,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_strong_skew_fanout2,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.008848000,0.045728000,0.100992002,0.080976002,0.200000003,0.223232001,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_strong_skew_fanout2,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.031632001,0.064191997,0.101519998,0.080688000,0.237696007,0.262432009,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_uniform_fanout4,controlled,-1,1,controlled,medium-small,128,128,low_latency,0.009040000,0.044848001,0.003648000,0.039007999,0.095120002,0.112191997,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_uniform_fanout4,controlled,-1,1,controlled,medium-small,128,128,normal_cached,0.009024000,0.048432000,0.100304000,0.055776000,0.201168001,0.218528003,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m128_uniform_fanout4,controlled,-1,1,controlled,medium-small,128,128,normal_fresh,0.031504001,0.067295998,0.102304000,0.051824000,0.244848005,0.265087992,0.000000000,0.000000000,1024,1024,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_fanout1_local,controlled,-1,1,controlled,small,32,128,low_latency,0.008944000,0.038832000,0.006432000,0.035824001,0.087328002,0.103359997,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_fanout1_local,controlled,-1,1,controlled,small,32,128,normal_cached,0.008800000,0.045359999,0.101744000,0.046032000,0.193760000,0.208192006,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_fanout1_local,controlled,-1,1,controlled,small,32,128,normal_fresh,0.031711999,0.062656000,0.104479998,0.044911999,0.236288004,0.257728010,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_fanout1_remote,controlled,-1,1,controlled,small,32,128,low_latency,0.008864000,0.039983999,0.005840000,0.036304001,0.087391999,0.097631998,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_fanout1_remote,controlled,-1,1,controlled,small,32,128,normal_cached,0.008896000,0.045568001,0.102112003,0.050271999,0.199599996,0.217920005,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_fanout1_remote,controlled,-1,1,controlled,small,32,128,normal_fresh,0.031872001,0.062592002,0.102431998,0.045823999,0.238191999,0.257279992,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_mild_skew_fanout4,controlled,-1,1,controlled,small,32,128,low_latency,0.008880000,0.039792001,0.006288000,0.035968000,0.087568000,0.094048001,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_mild_skew_fanout4,controlled,-1,1,controlled,small,32,128,normal_cached,0.009024000,0.047728000,0.104848001,0.058288001,0.209600002,0.221376002,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_mild_skew_fanout4,controlled,-1,1,controlled,small,32,128,normal_fresh,0.031776000,0.062864002,0.104160000,0.050528001,0.242527999,0.260672003,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_strong_skew_fanout2,controlled,-1,1,controlled,small,32,128,low_latency,0.009040000,0.039983999,0.006176000,0.038543999,0.090416003,0.106399998,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_strong_skew_fanout2,controlled,-1,1,controlled,small,32,128,normal_cached,0.008944000,0.045952000,0.101312000,0.082576003,0.199375995,0.219871998,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
control_m32_strong_skew_fanout2,controlled,-1,1,controlled,small,32,128,normal_fresh,0.031504001,0.061263999,0.101375997,0.078991998,0.236608006,0.256191999,0.000000000,0.000000000,256,256,True,30,critical-rank wall via same-GPU CUDA events,1
