case_id,family,N,perm_index,perm,S,I,total_assignments,total_incidence,traffic_entropy,max_peer_fraction
pair_concentrated_N256_p21,pair_concentrated,256,21,"[3,1,2,0]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p22,pair_concentrated,256,22,"[3,2,0,1]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p23,pair_concentrated,256,23,"[3,2,1,0]",0.5,1.0,8192,2048,3.0,0.25
destination_hotspot_N256_p00,destination_hotspot,256,0,"[0,1,2,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p01,destination_hotspot,256,1,"[0,1,3,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p02,destination_hotspot,256,2,"[0,2,1,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p03,destination_hotspot,256,3,"[0,2,3,1]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p04,destination_hotspot,256,4,"[0,3,1,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p05,destination_hotspot,256,5,"[0,3,2,1]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p06,destination_hotspot,256,6,"[1,0,2,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p07,destination_hotspot,256,7,"[1,0,3,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p08,destination_hotspot,256,8,"[1,2,0,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p09,destination_hotspot,256,9,"[1,2,3,0]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p10,destination_hotspot,256,10,"[1,3,0,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p11,destination_hotspot,256,11,"[1,3,2,0]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p12,destination_hotspot,256,12,"[2,0,1,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p13,destination_hotspot,256,13,"[2,0,3,1]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p14,destination_hotspot,256,14,"[2,1,0,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p15,destination_hotspot,256,15,"[2,1,3,0]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p16,destination_hotspot,256,16,"[2,3,0,1]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p17,destination_hotspot,256,17,"[2,3,1,0]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p18,destination_hotspot,256,18,"[3,0,1,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p19,destination_hotspot,256,19,"[3,0,2,1]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p20,destination_hotspot,256,20,"[3,1,0,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p21,destination_hotspot,256,21,"[3,1,2,0]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p22,destination_hotspot,256,22,"[3,2,0,1]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p23,destination_hotspot,256,23,"[3,2,1,0]",0.5,1.5,8192,2048,3.0,0.375
balanced_spread_N1024_p00,balanced_spread,1024,0,"[0,1,2,3]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p01,balanced_spread,1024,1,"[0,1,3,2]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p02,balanced_spread,1024,2,"[0,2,1,3]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p03,balanced_spread,1024,3,"[0,2,3,1]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p04,balanced_spread,1024,4,"[0,3,1,2]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p05,balanced_spread,1024,5,"[0,3,2,1]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p06,balanced_spread,1024,6,"[1,0,2,3]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p07,balanced_spread,1024,7,"[1,0,3,2]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p08,balanced_spread,1024,8,"[1,2,0,3]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p09,balanced_spread,1024,9,"[1,2,3,0]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p10,balanced_spread,1024,10,"[1,3,0,2]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p11,balanced_spread,1024,11,"[1,3,2,0]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p12,balanced_spread,1024,12,"[2,0,1,3]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p13,balanced_spread,1024,13,"[2,0,3,1]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p14,balanced_spread,1024,14,"[2,1,0,3]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p15,balanced_spread,1024,15,"[2,1,3,0]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p16,balanced_spread,1024,16,"[2,3,0,1]",0.5,1.0,32768,8192,3.584962156699829,0.25
