case_id,family,N,perm_index,metric,median_ms,p5_ms,p95_ms,cv,n_iterations,S,I,traffic_entropy,max_peer_fraction
balanced_spread_N256_p07,balanced_spread,256,7,dispatch_only_ms,0.08420800045132637,0.07983520105481148,0.09502240009605883,0.2586846681527033,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p07,balanced_spread,256,7,combine_ms,0.04438399896025658,0.04171199928969145,0.05183840114623308,0.08403603470071774,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p07,balanced_spread,256,7,full_path_ms,0.1637120023369789,0.1581696055829525,0.1814191997051239,0.15559853557198314,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p07,balanced_spread,256,7,host_ms,0.18020550000000002,0.17362195,0.19724614999999998,0.14442297868590978,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p08,balanced_spread,256,8,layout_ms,0.025968000292778015,0.02421119911596179,0.02798879975453019,0.1173920971066508,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p08,balanced_spread,256,8,dispatch_only_ms,0.08331200107932091,0.079918397590518,0.10013599842786788,3.896224900830383,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p08,balanced_spread,256,8,combine_ms,0.04360000044107437,0.04164800047874451,0.05035360101610422,0.07817616128189245,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p08,balanced_spread,256,8,full_path_ms,0.16279999911785126,0.15772000551223755,0.18226720467209814,2.7533255501366782,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p08,balanced_spread,256,8,host_ms,0.1794095,0.17335245,0.19798254999999998,2.5997036337904067,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p09,balanced_spread,256,9,layout_ms,0.025615999475121498,0.02389760045334697,0.028599999845027924,0.06981471083138567,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p09,balanced_spread,256,9,dispatch_only_ms,0.08224000036716461,0.07870719991624356,0.08971359692513942,0.040632258427331154,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p09,balanced_spread,256,9,combine_ms,0.043455999344587326,0.04088480081409216,0.053550399281084536,0.07992456546476846,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p09,balanced_spread,256,9,full_path_ms,0.16129600256681442,0.15556159988045692,0.17323039546608923,0.0341155249699707,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p09,balanced_spread,256,9,host_ms,0.177579,0.17104585,0.18864175,0.031662784811127116,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p10,balanced_spread,256,10,layout_ms,0.02590399980545044,0.023984000273048877,0.03358400035649538,0.10592392705868295,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p10,balanced_spread,256,10,dispatch_only_ms,0.08336000144481659,0.07920479960739613,0.10262399949133394,0.08401793109790558,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p10,balanced_spread,256,10,combine_ms,0.043535999953746796,0.04065439905971289,0.051913599669933315,0.12642352322970815,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p10,balanced_spread,256,10,full_path_ms,0.16179200261831284,0.15701600015163422,0.19300000444054602,0.0668625987867103,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p10,balanced_spread,256,10,host_ms,0.178066,0.1729224,0.2083024,0.06216681149242586,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p11,balanced_spread,256,11,layout_ms,0.025919999927282333,0.02425600029528141,0.032683199178427436,0.10763381888934766,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p11,balanced_spread,256,11,dispatch_only_ms,0.08390399813652039,0.08008320294320584,0.0929568026214838,0.050244056634935065,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p11,balanced_spread,256,11,combine_ms,0.044064000248909,0.04249599948525429,0.05259359907358884,0.06985911487466807,50,0.5,1.0,3.5849569936828383,0.25
