N,perm_index,metric,balanced_ms,concentrated_ms,hotspot_ms,family_a_relative,hotspot_relative
256,0,layout_ms,0.040912000462412834,0.02580800000578165,0.025520000606775284,-0.3691826428900174,-0.37622212753391693
256,0,dispatch_only_ms,0.14270400255918503,0.0896959975361824,0.08846399933099747,-0.37145422743849177,-0.38008746955567746
256,0,combine_ms,0.06971199810504913,0.04086400009691715,0.04569600149989128,-0.4138168291297702,-0.34450305912861806
256,0,full_path_ms,0.2505120038986206,0.1650560051202774,0.16713600605726242,-0.3411253650460849,-0.3328223659697342
256,1,layout_ms,0.027103999629616737,0.025776000693440437,0.025087999179959297,-0.04899641950722232,-0.07438018289575764
256,1,dispatch_only_ms,0.08728000149130821,0.0891680009663105,0.08777599781751633,0.021631524321070336,0.00568281757256281
256,1,combine_ms,0.04612799920141697,0.04126400128006935,0.04940799996256828,-0.10544567303058323,0.07110650403086545
256,1,full_path_ms,0.1698400005698204,0.1658399999141693,0.1671840026974678,-0.023551581737110933,-0.01563823518276975
256,2,layout_ms,0.033584000542759895,0.025919999927282333,0.02556800004094839,-0.2282039212606487,-0.2386850992217367
256,2,dispatch_only_ms,0.10147200152277946,0.09084799885749817,0.08799999952316284,-0.10469885787062466,-0.13276570677077154
256,2,combine_ms,0.06035199947655201,0.041311999782919884,0.04540799930691719,-0.3154825003110221,-0.2476140028374846
256,2,full_path_ms,0.20449599623680115,0.16574399918317795,0.16644799709320068,-0.1895000281998156,-0.186057428232198
256,3,layout_ms,0.027535999193787575,0.02571200020611286,0.025647999718785286,-0.06624052299094443,-0.06856477085560934
256,3,dispatch_only_ms,0.08574400097131729,0.08987199887633324,0.08856000006198883,0.04814328534070652,0.03284193714745752
256,3,combine_ms,0.046800000593066216,0.04076800122857094,0.04886399954557419,-0.1288888736764026,0.044102541161372764
256,3,full_path_ms,0.1704000011086464,0.1653599962592125,0.1676959991455078,-0.029577493055416185,-0.015868556018462224
256,4,layout_ms,0.025647999718785286,0.02574400044977665,0.02558399923145771,0.003743010450871535,-0.0024953403005810236
256,4,dispatch_only_ms,0.08276799693703651,0.08833600208163261,0.08852799981832504,0.06727244044376,0.06959215028086632
256,4,combine_ms,0.044144000858068466,0.04068800061941147,0.04942400008440018,-0.07828923911470348,0.11960853397289324
256,4,full_path_ms,0.16312000155448914,0.16275200247764587,0.16873600333929062,-0.002256002166112867,0.0344286521044784
256,5,layout_ms,0.02604799997061491,0.025407999753952026,0.025728000327944756,-0.024570032915574185,-0.012284998580741337
256,5,dispatch_only_ms,0.08356799930334091,0.08840000256896019,0.0891840010881424,0.05782121512900815,0.06720277895389276
256,5,combine_ms,0.04339199885725975,0.0414079986512661,0.0493599995970726,-0.045722719815699774,0.1375368938279359
256,5,full_path_ms,0.16300799697637558,0.16414400190114975,0.16865599900484085,0.006969013458516448,0.0346486192900329
256,6,layout_ms,0.025488000363111496,0.025472000241279602,0.02571200020611286,-0.0006277511614858073,0.008788443181504273
256,6,dispatch_only_ms,0.08263999968767166,0.08808000013232231,0.08751999959349632,0.06582769197979796,0.05905130595677707
256,6,combine_ms,0.04444799944758415,0.041391998529434204,0.04569600149989128,-0.06875452115125619,0.028077800301875244
256,6,full_path_ms,0.16315200179815292,0.16382399946451187,0.16520000249147415,0.004118844138917305,0.012552715693031808
256,7,layout_ms,0.02598400041460991,0.025824000127613544,0.02556800004094839,-0.006157646414845419,-0.016009866341736026
256,7,dispatch_only_ms,0.08420800045132637,0.08787199854850769,0.08824000135064125,0.04351128250930471,0.04788144686614954
256,7,combine_ms,0.04438399896025658,0.040832001715898514,0.04887999966740608,-0.08002877900972105,0.10129778326588883
256,7,full_path_ms,0.1637120023369789,0.16355199366807938,0.16647999733686447,-0.0009773789741461963,0.01690770963871065
256,8,layout_ms,0.025968000292778015,0.02571200020611286,0.025599999353289604,-0.009858290348847151,-0.0141713237576771
256,8,dispatch_only_ms,0.08331200107932091,0.08761599659919739,0.08694399893283844,0.05166117082914224,0.04359513403188488
256,8,combine_ms,0.04360000044107437,0.040591999888420105,0.0456480011343956,-0.06899083766569211,0.04697249249089141
256,8,full_path_ms,0.16279999911785126,0.16313599795103073,0.16604799777269363,0.002063874907863136,0.019950851796326753
256,9,layout_ms,0.025615999475121498,0.02550400048494339,0.025455999188125134,-0.004372228000975823,-0.006246107521658813
256,9,dispatch_only_ms,0.08224000036716461,0.08816000074148178,0.08769599720835686,0.07198444002780922,0.06634237374554564
256,9,combine_ms,0.043455999344587326,0.040991999208927155,0.04864000156521797,-0.056701034904794466,0.11929313095583753
256,9,full_path_ms,0.16129600256681442,0.16340800374746323,0.16662400215864182,0.01309394620473585,0.033032434201959525
256,10,layout_ms,0.02590399980545044,0.025728000327944756,0.025248000398278236,-0.006794297360543216,-0.025324251547985836
256,10,dispatch_only_ms,0.08336000144481659,0.08959999680519104,0.08751999959349632,0.07485598911014006,0.04990400763648747
256,10,combine_ms,0.043535999953746796,0.04116800054907799,0.04918400011956692,-0.05439175411578007,0.12973172022741247
256,10,full_path_ms,0.16179200261831284,0.16462399810552597,0.16792000085115433,0.017503927520411248,0.037875779603879375
256,11,layout_ms,0.025919999927282333,0.025599999353289604,0.025647999718785286,-0.012345701191762338,-0.01049383523380149
256,11,dispatch_only_ms,0.08390399813652039,0.0883680023252964,0.08835200220346451,0.05320371243230418,0.05301301684940883
256,11,combine_ms,0.044064000248909,0.04100799933075905,0.04912000149488449,-0.06935368783785384,0.11474222080190458
256,11,full_path_ms,0.16384000331163406,0.16385599970817566,0.16811200231313705,9.763425426188072e-05,0.026074212128630016
256,12,layout_ms,0.02603200078010559,0.025551999919116497,0.025456000119447708,-0.018438877020775304,-0.022126638114504018
256,12,dispatch_only_ms,0.08336000144481659,0.08833600208163261,0.08940799906849861,0.059692904877287976,0.07255275334520873
256,12,combine_ms,0.04328000172972679,0.041200000792741776,0.045712001621723175,-0.048059169451381306,0.05619223185765191
256,12,full_path_ms,0.1623840034008026,0.16420800238847733,0.1680160015821457,0.01123262728763157,0.034683208095577976
256,13,layout_ms,0.02566399984061718,0.025615999475121498,0.025551999919116497,-0.0018703384427128109,-0.004364086743930926
256,13,dispatch_only_ms,0.08268800005316734,0.08808000013232231,0.08913600072264671,0.06520897924351757,0.077979884207302
256,13,combine_ms,0.04310400038957596,0.04076800122857094,0.04843199998140335,-0.054194486356072546,0.12360800723071373
256,13,full_path_ms,0.16070400178432465,0.164000004529953,0.16820800304412842,0.02050977392617646,0.046694551327194925
256,14,layout_ms,0.026064000092446804,0.025743999518454075,0.025536000728607178,-0.012277492819893885,-0.02025780240818206
256,14,dispatch_only_ms,0.08348800241947174,0.08849600329995155,0.08801599964499474,0.059984677263182504,0.05423530440664776
256,14,combine_ms,0.04288000054657459,0.041120000183582306,0.04604800045490265,-0.04104478406152637,0.0738805939353265
256,14,full_path_ms,0.16091199964284897,0.16409600526094437,0.16649599373340607,0.01978724784455127,0.03470216082673145
