case_id,case_index,iteration,rank,physical_gpu,N,received_tokens,layout_ms,dispatch_only_ms,combine_ms,full_path_ms,host_ms
balanced_spread_N256_p00,0,0,0,1,256,512,0.024480000138282776,0.20604799687862396,0.08742400258779526,0.33027198910713196,0.34657
balanced_spread_N256_p00,0,1,0,1,256,512,0.02454400062561035,0.17577600479125977,0.10998400300741196,0.3229120075702667,0.340312
balanced_spread_N256_p00,0,2,0,1,256,512,0.02783999964594841,0.22041599452495575,0.11612799763679504,0.37830400466918945,0.396574
balanced_spread_N256_p00,0,3,0,1,256,512,0.028384000062942505,0.1974720060825348,0.08950400352478027,0.32844799757003784,0.34678
balanced_spread_N256_p00,0,4,0,1,256,512,0.023615999147295952,0.16655999422073364,0.08128000050783157,0.28464001417160034,0.301456
balanced_spread_N256_p00,0,5,0,1,256,512,0.02454400062561035,0.17295999825000763,0.08195199817419052,0.2918719947338104,0.30941
balanced_spread_N256_p00,0,6,0,1,256,512,0.023455999791622162,0.16767999529838562,0.08416000008583069,0.2879360020160675,0.304448
balanced_spread_N256_p00,0,7,0,1,256,512,0.027807999402284622,0.15996800363063812,0.07353600114583969,0.27379199862480164,0.291148
balanced_spread_N256_p00,0,8,0,1,256,512,0.024447999894618988,0.14975999295711517,0.09059199690818787,0.27721598744392395,0.294186
balanced_spread_N256_p00,0,9,0,1,256,512,0.02876799926161766,0.15494400262832642,0.09814400225877762,0.29494398832321167,0.313173
balanced_spread_N256_p00,0,10,0,1,256,512,0.02659199945628643,0.14895999431610107,0.08931200206279755,0.27744001150131226,0.295399
balanced_spread_N256_p00,0,11,0,1,256,512,0.025119999423623085,0.14982399344444275,0.07760000228881836,0.2650560140609741,0.281482
balanced_spread_N256_p00,0,12,0,1,256,512,0.024159999564290047,0.1488959938287735,0.09043200314044952,0.2759999930858612,0.291828
balanced_spread_N256_p00,0,13,0,1,256,512,0.025919999927282333,0.1558080017566681,0.07145600020885468,0.26556798815727234,0.282102
balanced_spread_N256_p00,0,14,0,1,256,512,0.02579200081527233,0.1621440052986145,0.09136000275611877,0.2919040024280548,0.309018
balanced_spread_N256_p00,0,15,0,1,256,512,0.024992000311613083,0.14716799557209015,0.07740800082683563,0.2616960108280182,0.2788
balanced_spread_N256_p00,0,16,0,1,256,512,0.025760000571608543,0.15033599734306335,0.09647999703884125,0.2852799892425537,0.30239
balanced_spread_N256_p00,0,17,0,1,256,512,0.02550400048494339,0.14323200285434723,0.06972800195217133,0.2508479952812195,0.268936
balanced_spread_N256_p00,0,18,0,1,256,512,0.025407999753952026,0.14195199310779572,0.08396799862384796,0.2635839879512787,0.281733
balanced_spread_N256_p00,0,19,0,1,256,512,0.02550400048494339,0.14316800236701965,0.07472000271081924,0.25593599677085876,0.27401
balanced_spread_N256_p00,0,20,0,1,256,512,0.025536000728607178,0.1417279988527298,0.08243200182914734,0.2622080147266388,0.278833
balanced_spread_N256_p00,0,21,0,1,256,512,0.02502400055527687,0.1408960074186325,0.0703359991312027,0.24854399263858795,0.266039
balanced_spread_N256_p00,0,22,0,1,256,512,0.02457600086927414,0.1279039978981018,0.0631679967045784,0.2280000001192093,0.243915
balanced_spread_N256_p00,0,23,0,1,256,512,0.02582399919629097,0.13916799426078796,0.06598400324583054,0.24409599602222443,0.260176
balanced_spread_N256_p00,0,24,0,1,256,512,0.023520000278949738,0.13052800297737122,0.06665600091218948,0.23324799537658691,0.248815
balanced_spread_N256_p00,0,25,0,1,256,512,0.027904000133275986,0.14044800400733948,0.06726399809122086,0.24876800179481506,0.266105
balanced_spread_N256_p00,0,26,0,1,256,512,0.022911999374628067,0.16060799360275269,0.06403200328350067,0.2598400115966797,0.275374
