N,family,perm_index,source,dest,incidence,assignment_volume,row_sum,column_sum,S,I
256,balanced_spread,0,0,0,0,0,512,512,0.5,1.0
256,balanced_spread,0,0,1,171,684,512,512,0.5,1.0
256,balanced_spread,0,0,2,171,684,512,512,0.5,1.0
256,balanced_spread,0,0,3,170,680,512,512,0.5,1.0
256,balanced_spread,0,1,0,170,680,512,512,0.5,1.0
256,balanced_spread,0,1,1,0,0,512,512,0.5,1.0
256,balanced_spread,0,1,2,171,684,512,512,0.5,1.0
256,balanced_spread,0,1,3,171,684,512,512,0.5,1.0
256,balanced_spread,0,2,0,171,684,512,512,0.5,1.0
256,balanced_spread,0,2,1,170,680,512,512,0.5,1.0
256,balanced_spread,0,2,2,0,0,512,512,0.5,1.0
256,balanced_spread,0,2,3,171,684,512,512,0.5,1.0
256,balanced_spread,0,3,0,171,684,512,512,0.5,1.0
256,balanced_spread,0,3,1,171,684,512,512,0.5,1.0
256,balanced_spread,0,3,2,170,680,512,512,0.5,1.0
256,balanced_spread,0,3,3,0,0,512,512,0.5,1.0
256,balanced_spread,1,0,0,0,0,512,512,0.5,1.0
256,balanced_spread,1,0,1,171,684,512,512,0.5,1.0
256,balanced_spread,1,0,2,170,680,512,512,0.5,1.0
256,balanced_spread,1,0,3,171,684,512,512,0.5,1.0
256,balanced_spread,1,1,0,170,680,512,512,0.5,1.0
256,balanced_spread,1,1,1,0,0,512,512,0.5,1.0
256,balanced_spread,1,1,2,171,684,512,512,0.5,1.0
256,balanced_spread,1,1,3,171,684,512,512,0.5,1.0
256,balanced_spread,1,2,0,171,684,512,512,0.5,1.0
256,balanced_spread,1,2,1,171,684,512,512,0.5,1.0
256,balanced_spread,1,2,2,0,0,512,512,0.5,1.0
256,balanced_spread,1,2,3,170,680,512,512,0.5,1.0
256,balanced_spread,1,3,0,171,684,512,512,0.5,1.0
256,balanced_spread,1,3,1,170,680,512,512,0.5,1.0
256,balanced_spread,1,3,2,171,684,512,512,0.5,1.0
256,balanced_spread,1,3,3,0,0,512,512,0.5,1.0
256,balanced_spread,2,0,0,0,0,512,512,0.5,1.0
256,balanced_spread,2,0,1,171,684,512,512,0.5,1.0
256,balanced_spread,2,0,2,171,684,512,512,0.5,1.0
256,balanced_spread,2,0,3,170,680,512,512,0.5,1.0
256,balanced_spread,2,1,0,171,684,512,512,0.5,1.0
256,balanced_spread,2,1,1,0,0,512,512,0.5,1.0
256,balanced_spread,2,1,2,170,680,512,512,0.5,1.0
256,balanced_spread,2,1,3,171,684,512,512,0.5,1.0
256,balanced_spread,2,2,0,170,680,512,512,0.5,1.0
256,balanced_spread,2,2,1,171,684,512,512,0.5,1.0
256,balanced_spread,2,2,2,0,0,512,512,0.5,1.0
256,balanced_spread,2,2,3,171,684,512,512,0.5,1.0
256,balanced_spread,2,3,0,171,684,512,512,0.5,1.0
256,balanced_spread,2,3,1,170,680,512,512,0.5,1.0
256,balanced_spread,2,3,2,171,684,512,512,0.5,1.0
256,balanced_spread,2,3,3,0,0,512,512,0.5,1.0
256,balanced_spread,3,0,0,0,0,512,512,0.5,1.0
256,balanced_spread,3,0,1,170,680,512,512,0.5,1.0
256,balanced_spread,3,0,2,171,684,512,512,0.5,1.0
256,balanced_spread,3,0,3,171,684,512,512,0.5,1.0
256,balanced_spread,3,1,0,171,684,512,512,0.5,1.0
256,balanced_spread,3,1,1,0,0,512,512,0.5,1.0
256,balanced_spread,3,1,2,171,684,512,512,0.5,1.0
256,balanced_spread,3,1,3,170,680,512,512,0.5,1.0
256,balanced_spread,3,2,0,170,680,512,512,0.5,1.0
256,balanced_spread,3,2,1,171,684,512,512,0.5,1.0
256,balanced_spread,3,2,2,0,0,512,512,0.5,1.0
256,balanced_spread,3,2,3,171,684,512,512,0.5,1.0
256,balanced_spread,3,3,0,171,684,512,512,0.5,1.0
256,balanced_spread,3,3,1,171,684,512,512,0.5,1.0
256,balanced_spread,3,3,2,170,680,512,512,0.5,1.0
256,balanced_spread,3,3,3,0,0,512,512,0.5,1.0
256,balanced_spread,4,0,0,0,0,512,512,0.5,1.0
256,balanced_spread,4,0,1,171,684,512,512,0.5,1.0
256,balanced_spread,4,0,2,170,680,512,512,0.5,1.0
256,balanced_spread,4,0,3,171,684,512,512,0.5,1.0
256,balanced_spread,4,1,0,171,684,512,512,0.5,1.0
256,balanced_spread,4,1,1,0,0,512,512,0.5,1.0
256,balanced_spread,4,1,2,171,684,512,512,0.5,1.0
256,balanced_spread,4,1,3,170,680,512,512,0.5,1.0
256,balanced_spread,4,2,0,171,684,512,512,0.5,1.0
256,balanced_spread,4,2,1,170,680,512,512,0.5,1.0
256,balanced_spread,4,2,2,0,0,512,512,0.5,1.0
