run,wave,batch_id,condition,modality,concurrency,request_ids,phase,instrument,measured,iteration,source_dp_rank,driver_dp_rank,wall_ms,output_count,output_tokens,prompt_metadata,decode_requests,prefill_requests,output_token_counts
ep4_serving_straggler_regime_20260901_1340,1,text_only_c1_i1,text_only,text,1,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",short,True,True,0,0,0,3017.508077,1,[[785]],"[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,2,text_only_c1_i2,text_only,text,1,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",short,True,True,1,0,0,3054.075465,1,[[785]],"[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,4,vision_single_c1_i1,vision_single,vision,1,"['coins', 'coffee', 'histology', 'coffee_rocket']",short,True,True,0,0,0,3119.863115,1,[[1986]],"[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}]",,,
ep4_serving_straggler_regime_20260901_1340,5,vision_single_c1_i2,vision_single,vision,1,"['coins', 'coffee', 'histology', 'coffee_rocket']",short,True,True,1,0,0,3060.748414,1,[[1986]],"[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}]",,,
ep4_serving_straggler_regime_20260901_1340,7,vision_heavy_c1_i1,vision_heavy,vision,1,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,0,0,0,3082.053749,1,[[1986]],"[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}]",,,
ep4_serving_straggler_regime_20260901_1340,8,vision_heavy_c1_i2,vision_heavy,vision,1,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,1,0,0,3381.49923,1,[[1986]],"[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}]",,,
ep4_serving_straggler_regime_20260901_1340,10,text_control_c1_i1,text_control,text,1,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,0,0,0,3692.233794,1,[[785]],"[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,11,text_control_c1_i2,text_control,text,1,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,1,0,0,3084.201425,1,[[785]],"[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,13,vision_heavy_c2_i1,vision_heavy,vision,2,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,0,0,0,3093.966008,2,"[[1986], [2124]]","[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}]",,,
ep4_serving_straggler_regime_20260901_1340,14,vision_heavy_c2_i2,vision_heavy,vision,2,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,1,0,0,3212.62575,2,"[[1986], [2124]]","[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}]",,,
