dataset,evidence_class,output_budget,ignore_eos,restart,run,label,source_request_id,family,prompt_tokens,ttft_s,e2e_s,processor_s
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,single_025,single_real_image,283,1.5061778430826962,1.5061778430826962,0.012274663429707289
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_000,two_real_images,434,1.4938868507742882,1.4938868507742882,0.025271181017160416
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_012,two_real_images,443,1.4685982749797404,1.4685982749797404,0.02793787233531475
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_004,two_real_images,459,2.3734913980588317,2.3734913980588317,0.027834818698465824
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_008,two_real_images,475,2.3456382350996137,2.3456382350996137,0.03287117090076208
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_010,two_real_images,495,2.3127476749941707,2.3127476749941707,0.035400946624577045
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_002,two_real_images,508,2.2773278462700546,2.2773278462700546,0.03539792727679014
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_005,two_real_images,514,2.2419116250239313,2.2419116250239313,0.03225202765315771
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_016,two_real_images,514,2.2096410701051354,2.2096410701051354,0.024337504990398884
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_022,two_real_images,514,2.1852862373925745,2.1852862373925745,0.023360214196145535
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_014,two_real_images,521,2.161906551104039,2.161906551104039,0.034300246741622686
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_018,two_real_images,521,2.127587315160781,2.127587315160781,0.024642418138682842
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_020,two_real_images,521,2.1029228600673378,2.1029228600673378,0.024246870074421167
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_024,two_real_images,521,2.0786573230288923,2.0786573230288923,0.02375195175409317
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_026,two_real_images,521,2.054887535981834,2.054887535981834,0.023467035964131355
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_028,two_real_images,521,2.0314023601822555,2.0314023601822555,0.023775843903422356
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,multi_030,two_real_images,521,2.0076081571169198,2.0076081571169198,0.02925171796232462
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_013,long_text_plus_image,591,1.978338518179953,1.978338518179953,0.013337808195501566
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_008,long_text_plus_image,606,2.1738295890390873,2.1738295890390873,0.014038243796676397
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_010,long_text_plus_image,652,2.1597617669031024,2.1597617669031024,0.01889290986582637
