record_type,batch,repeat,topology,n,wall_seconds,mean_ms_per_forward,generated_tokens_per_second,ep_wall_gain_percent,ep_forward_gain_percent
aggregate,1,,tp4,3,17.660896062850952,60.07107504371072,29.77195632659629,,
aggregate,1,,ep4,3,22.947707176208496,79.40383105954497,22.90139789960152,,
pair,1,1,ep4_vs_tp4,1,,,,-8.035590438892338,-9.904718301156901
pair,1,2,ep4_vs_tp4,1,,,,-40.035858085346014,-42.45862379616515
pair,1,3,ep4_vs_tp4,1,,,,-29.935123872214827,-32.18313639595557
paired_median,1,,ep4_vs_tp4,3,,,,-29.935123872214827,-32.18313639595557
aggregate,2,,tp4,3,13.20473837852478,62.87970656440372,47.06042978329796,,
aggregate,2,,ep4,3,22.831777334213257,110.83387055443329,27.211972394189445,,
pair,2,1,ep4_vs_tp4,1,,,,-17.501982953741134,-19.78357485575552
pair,2,2,ep4_vs_tp4,1,,,,-11.379695975210947,-13.542408518418924
pair,2,3,ep4_vs_tp4,1,,,,-85.43551216602525,-89.03620172264708
paired_median,2,,ep4_vs_tp4,3,,,,-17.501982953741134,-19.78357485575552
aggregate,4,,tp4,3,9.720325708389282,62.711778763801824,77.11464223571397,,
aggregate,4,,ep4,3,11.477075338363647,74.52646323612758,65.30338937065544,,
pair,4,1,ep4_vs_tp4,1,,,,-61.67308417963607,-62.72290940158177
pair,4,2,ep4_vs_tp4,1,,,,-10.379614658336653,-11.096365402871307
pair,4,3,ep4_vs_tp4,1,,,,24.316677843730886,23.825227699859003
paired_median,4,,ep4_vs_tp4,3,,,,-10.379614658336653,-11.096365402871307
aggregate,8,,tp4,3,13.055824995040894,87.03883330027263,86.82752209506893,,
aggregate,8,,ep4,3,11.057604789733887,72.74739993245979,102.51306822297649,,
pair,8,1,ep4_vs_tp4,1,,,,16.336491648782445,17.43732728498268
pair,8,2,ep4_vs_tp4,1,,,,1.8143486125420143,3.106265078166463
pair,8,3,ep4_vs_tp4,1,,,,-2.6850031641995624,-1.3338847015127389
paired_median,8,,ep4_vs_tp4,3,,,,1.8143486125420143,3.106265078166463
aggregate,16,,tp4,3,13.72164797782898,69.30125241327768,119.92307686692264,,
aggregate,16,,ep4,3,13.14258599281311,67.39787688622108,125.20880286127253,,
pair,16,1,ep4_vs_tp4,1,,,,33.36863983075509,32.343541981997475
pair,16,2,ep4_vs_tp4,1,,,,3.388909408224241,1.9025849375815391
pair,16,3,ep4_vs_tp4,1,,,,-6.402585294391713,-8.039548145074669
paired_median,16,,ep4_vs_tp4,3,,,,3.388909408224241,1.9025849375815391
aggregate,32,,tp4,3,25.650389671325684,90.95882862172228,103.87587163271564,,
aggregate,32,,ep4,3,20.289822101593018,69.96490379859661,131.37436592895682,,
pair,32,1,ep4_vs_tp4,1,,,,21.36821148033176,23.537364267081223
pair,32,2,ep4_vs_tp4,1,,,,20.74685943540152,22.933152968218042
pair,32,3,ep4_vs_tp4,1,,,,-25.905366337206996,-22.432114852042663
paired_median,32,,ep4_vs_tp4,3,,,,20.74685943540152,22.933152968218042
