run_id,topology,dense_tp,moe_tp,ep,dp,backend,batch,quality_valid,hbm_max_gib,latency_s,throughput_req_s,tokens_s,nfe,notes
gsm8k32_gen128_median,tp4,4,4,1,1,TP collectives,4,True,56.9990234375,34.395528078079224,0.9303535019831276,110.97075681900208,519,bounded GSM8K score identical 5/32
gsm8k32_gen128_median,ep4,4,1,4,1,DeepEP normal + BF16 Triton,4,True,56.8623046875,38.39609885215759,0.8334180022614934,99.40560935334386,504,bounded GSM8K score identical 5/32
