topology,mode,batch,repeat,request_count,batch_waves,total_nfe,total_generated_tokens,wall_seconds,forward_per_second,generated_tokens_per_second,request_throughput_per_second,wave_latency_p50_seconds,wave_latency_p95_seconds,mean_ms_per_forward,nfe_min,nfe_max,source_log
ep4,dynamic16,16,1,32,2,81,1645,10.083389043807983,8.03679254459688,163.21634241804776,3.173536185202592,5.039300000000001,5.957660000000001,124.48628449145659,26,55,logs/clean_ep4_dynamic16_b16_r1.log
ep4,dynamic16,16,2,32,2,81,1645,6.584203004837036,12.310914651685657,250.0179580496655,4.8601174624311305,3.2898,3.87921,81.28645684983995,26,55,logs/clean_ep4_dynamic16_b16_r2.log
ep4,dynamic16,16,3,32,2,81,1645,8.040002822875977,10.080692869888212,204.7251823576063,3.980098105059288,4.01755,4.6984449999999995,99.25929410957995,26,55,logs/clean_ep4_dynamic16_b16_r3.log
ep4,dynamic1,16,1,32,2,785,1645,83.60814094543457,9.38958029614185,19.676254251150755,0.38273784870882677,41.801649999999995,55.464864999999996,106.50718591775104,249,536,logs/clean_ep4_dynamic1_b16_r1.log
ep4,dynamic2,16,1,32,2,385,1645,26.60393738746643,14.474124057581593,61.843984609666805,1.2028294734701843,13.299600000000002,17.48019,69.10113607134137,125,260,logs/clean_ep4_dynamic2_b16_r1.log
ep4,dynamic4,16,1,32,2,195,1645,13.115255355834961,14.873261024951509,125.4693045438217,2.439906744611209,6.555400000000001,8.647,67.25771977351262,63,132,logs/clean_ep4_dynamic4_b16_r1.log
ep4,dynamic4,16,2,32,2,195,1645,13.256633758544922,14.714856296723182,124.13301850312634,2.413885801089853,6.62595,8.751075,67.9827372233073,63,132,logs/clean_ep4_dynamic4_b16_r2.log
ep4,dynamic4,16,3,32,2,195,1645,12.964274168014526,15.046682950313672,126.93227411931277,2.468321757569,6.479850000000001,8.535765,66.48345727186937,63,132,logs/clean_ep4_dynamic4_b16_r3.log
ep4,dynamic4,1,1,32,32,289,525,19.531573057174683,14.816611973375874,26.91599060907382,1.6383729004482408,0.59495,1.03568,67.58329777569094,2,20,logs/clean_ep4_dynamic4_b1_r1.log
ep4,dynamic4,1,2,32,32,289,525,24.238168001174927,11.93676225499754,21.684429701985152,1.3202317930319165,0.7505,1.274505,83.86909342967103,2,20,logs/clean_ep4_dynamic4_b1_r2.log
ep4,dynamic4,1,3,32,32,289,525,22.947707176208496,12.606674272352075,22.90139789960152,1.3944748272357534,0.6961999999999999,1.224205,79.40383105954497,2,20,logs/clean_ep4_dynamic4_b1_r3.log
ep4,dynamic4,2,1,32,16,206,621,14.80481243133545,13.923330866046875,41.972759552500534,2.161459332795713,0.8978999999999999,1.6156,71.86802151133713,5,23,logs/clean_ep4_dynamic4_b2_r1.log
ep4,dynamic4,2,2,32,16,206,621,22.831777334213257,9.026837863450927,27.211972394189445,1.4015553643319842,1.3193000000000001,2.468925,110.83387055443329,5,23,logs/clean_ep4_dynamic4_b2_r2.log
ep4,dynamic4,2,3,32,16,206,621,24.486274242401123,8.41803606469759,25.37670095231652,1.3068545946687102,1.3388,2.836325,118.86540894369477,5,23,logs/clean_ep4_dynamic4_b2_r3.log
ep4,dynamic4,32,1,32,1,290,2665,20.169360160827637,14.381346206471562,132.15961255257488,1.5865649552011818,20.165,20.165,69.54951779595737,290,290,logs/clean_ep4_dynamic4_b32_r1.log
ep4,dynamic4,32,2,32,1,290,2665,20.423120498657227,14.203532070592834,130.52556195906863,1.566851647479822,20.4175,20.4175,70.4245534436456,290,290,logs/clean_ep4_dynamic4_b32_r2.log
ep4,dynamic4,32,3,32,1,290,2665,20.289822101593018,14.295897230543144,131.37436592895682,1.5771454199929915,20.2855,20.2855,69.96490379859661,290,290,logs/clean_ep4_dynamic4_b32_r3.log
ep4,dynamic4,4,1,32,8,154,749,14.199025392532349,10.85159291691367,52.77820191408013,2.253675806286653,1.32055,3.7260899999999992,92.2014635878724,10,52,logs/clean_ep4_dynamic4_b4_r1.log
ep4,dynamic4,4,2,32,8,154,749,10.729258060455322,14.362944547339296,69.85613938933203,2.982498866155709,1.0702500000000001,2.801104999999999,69.67050688607353,10,52,logs/clean_ep4_dynamic4_b4_r2.log
ep4,dynamic4,4,3,32,8,154,749,11.477075338363647,13.426865104246913,65.30338937065544,2.78816676344676,1.1519,2.946064999999999,74.52646323612758,10,52,logs/clean_ep4_dynamic4_b4_r3.log
ep4,dynamic4,8,1,32,4,152,1133,10.922961235046387,13.922878598008378,103.78040428647034,2.929608492734352,2.4795499999999997,4.297495,71.8615870726736,21,66,logs/clean_ep4_dynamic4_b8_r1.log
ep4,dynamic4,8,2,32,4,152,1133,16.09553813934326,9.44675660978172,70.41562657159665,1.9881286181901887,3.4381500000000003,6.560584999999999,105.89169828515304,21,66,logs/clean_ep4_dynamic4_b8_r2.log
ep4,dynamic4,8,3,32,4,152,1133,11.057604789733887,13.752856460628795,102.51306822297649,2.8939359480191835,2.61565,4.288155,72.74739993245979,21,66,logs/clean_ep4_dynamic4_b8_r3.log
ep4,dynamic8,16,1,32,2,98,1645,6.904222726821899,14.203430847537595,238.41473208366676,4.634844683628855,3.4499000000000004,4.6082,70.45125231450918,31,67,logs/clean_ep4_dynamic8_b16_r1.log
ep4,dynamic8,16,2,32,2,98,1645,7.358524322509766,13.326083038603423,223.68782243370032,4.348697999422496,3.677,4.95032,75.08698288275271,31,67,logs/clean_ep4_dynamic8_b16_r2.log
ep4,dynamic8,16,3,32,2,98,1645,6.713309288024902,14.607529270014794,245.1978127466769,4.7666506378726075,3.35445,4.503254999999999,68.50315600025411,31,67,logs/clean_ep4_dynamic8_b16_r3.log
tp4,dynamic16,16,1,32,2,81,1645,5.640796422958374,14.371077495082368,291.85706764704315,5.672957788328987,2.81815,3.9478750000000002,69.63946201183178,26,55,logs/clean_tp4_dynamic16_b16_r1.log
tp4,dynamic16,16,2,32,2,81,1645,6.672900438308716,12.14727560468642,246.6946712309773,4.795515877367201,3.33405,4.669065,82.3814868927002,26,55,logs/clean_tp4_dynamic16_b16_r2.log
tp4,dynamic16,16,3,32,2,81,1645,5.590612888336182,14.500973486467034,294.4950788301021,5.723880483079467,2.79295,3.8824449999999997,69.01991220168125,26,55,logs/clean_tp4_dynamic16_b16_r3.log
tp4,dynamic1,16,1,32,2,802,1645,48.18386101722717,16.64629475975261,34.14358463814594,0.6641227856057248,24.08945,31.598824999999998,60.079627203525156,254,548,logs/clean_tp4_dynamic1_b16_r1.log
tp4,dynamic2,16,1,32,2,391,1645,21.96307396888733,17.80629816798716,74.91396543820684,1.4569909496881392,10.97925,14.687294999999999,56.1715446774612,123,268,logs/clean_tp4_dynamic2_b16_r1.log
tp4,dynamic4,16,1,32,2,198,1645,12.232791185379028,16.19217726116363,134.525917144516,2.615919745139383,6.1141,7.75732,61.781773663530444,63,135,logs/clean_tp4_dynamic4_b16_r1.log
tp4,dynamic4,16,2,32,2,198,1645,13.72164797782898,14.434510163921388,119.92307686692264,2.3320813980729302,6.858550000000001,9.067465,69.30125241327768,63,135,logs/clean_tp4_dynamic4_b16_r2.log
tp4,dynamic4,16,3,32,2,198,1645,12.1841721534729,16.25677966625916,135.06263914644606,2.626358163437384,6.0897499999999996,8.041625,61.53622299733788,63,135,logs/clean_tp4_dynamic4_b16_r3.log
tp4,dynamic4,1,1,32,32,294,525,18.078832149505615,16.28609151633599,29.08230627917141,1.7700258365900627,0.57135,0.8680049999999999,61.49262635886264,2,20,logs/clean_tp4_dynamic4_b1_r1.log
tp4,dynamic4,1,2,32,32,294,525,17.308543920516968,17.01294528667437,30.380259440489947,1.848797920087794,0.52165,0.84853,58.87259836910533,2,20,logs/clean_tp4_dynamic4_b1_r2.log
tp4,dynamic4,1,3,32,32,294,525,17.660896062850952,16.67229554289392,29.77195632659629,1.8119125941356298,0.5393,0.861315,60.07107504371072,2,20,logs/clean_tp4_dynamic4_b1_r3.log
tp4,dynamic4,2,1,32,16,210,621,12.59962773323059,16.680552989736523,49.32677812679229,2.5397575767736655,0.7803,1.292875,59.998227301098055,5,23,logs/clean_tp4_dynamic4_b2_r1.log
tp4,dynamic4,2,2,32,16,210,621,20.499047994613647,10.251629263455422,30.315532250503892,1.5610481037172241,1.2295,2.2313,97.614514260065,5,23,logs/clean_tp4_dynamic4_b2_r2.log
tp4,dynamic4,2,3,32,16,210,621,13.20473837852478,15.914154999182886,47.06042978329796,2.423372510889156,0.8400000000000001,1.411725,62.87970656440372,5,23,logs/clean_tp4_dynamic4_b2_r3.log
tp4,dynamic4,32,1,32,1,282,2664,25.650389671325684,10.995869294454133,103.87587163271564,1.2475444003009624,25.646,25.646,90.95882862172228,282,282,logs/clean_tp4_dynamic4_b32_r1.log
tp4,dynamic4,32,2,32,1,282,2664,25.76947784423828,10.946022284823988,103.40497647791172,1.2417791386159103,25.7628,25.7628,91.38112710722795,282,282,logs/clean_tp4_dynamic4_b32_r2.log
tp4,dynamic4,32,3,32,1,282,2664,16.115136861801147,17.503986743545507,165.35681093902565,1.9857107187126577,16.1106,16.1106,57.14587539645797,282,282,logs/clean_tp4_dynamic4_b32_r3.log
tp4,dynamic4,4,1,32,8,155,749,8.782553672790527,17.663847707462214,85.35627053476902,3.643587183433912,0.8396,2.3358149999999993,56.66163659864856,10,51,logs/clean_tp4_dynamic4_b4_r1.log
tp4,dynamic4,4,2,32,8,155,749,9.720325708389282,15.958303800448151,77.11464223571397,3.2920707556519315,0.9111,2.468819999999999,62.711778763801824,10,51,logs/clean_tp4_dynamic4_b4_r2.log
tp4,dynamic4,4,3,32,8,155,749,15.164602994918823,10.226549625962903,49.41732690223365,2.1101772338334333,1.4165999999999999,3.8636499999999985,97.83614835431499,10,51,logs/clean_tp4_dynamic4_b4_r3.log
tp4,dynamic4,8,1,32,4,150,1133,13.055824995040894,11.495258882842313,86.82752209506893,2.451013245976783,3.5012499999999998,4.537135,87.03883330027263,21,66,logs/clean_tp4_dynamic4_b8_r1.log
tp4,dynamic4,8,2,32,4,150,1133,16.392963647842407,9.154860417996257,69.14971235726506,1.9520570341905044,4.1953,5.8102849999999995,109.28642431894939,21,66,logs/clean_tp4_dynamic4_b8_r2.log
tp4,dynamic4,8,3,32,4,150,1133,10.768471002578735,13.938466628565193,105.28188460109575,2.971638219793407,2.606,4.0816099999999995,71.78980668385823,21,66,logs/clean_tp4_dynamic4_b8_r3.log
tp4,dynamic8,16,1,32,2,103,1645,8.50731897354126,12.113551399327235,193.46400050381848,3.7614670496690765,4.25145,5.462355,82.5953298402064,32,71,logs/clean_tp4_dynamic8_b16_r1.log
tp4,dynamic8,16,2,32,2,103,1645,6.89272403717041,14.953268046792319,238.8167566696443,4.642576697896727,3.44405,4.662515,66.91965084631467,32,71,logs/clean_tp4_dynamic8_b16_r2.log
tp4,dynamic8,16,3,32,2,103,1645,7.6100921630859375,13.54255577832861,216.28644908107344,4.204942504536477,3.8028,5.5441199999999995,73.88438993287318,32,71,logs/clean_tp4_dynamic8_b16_r3.log
