dR0,dR1,dR2,dR3,delta_l2,direction,layer,request_id
1.0,-2.0,1.0,0.0,2.449489742783178,VT,38,clock_motion
0.0,-3.0,2.0,1.0,3.7416573867739413,TV,39,clock_motion
1.0,0.0,-1.0,0.0,1.4142135623730951,VT,39,clock_motion
-1.0,1.0,0.0,0.0,1.4142135623730951,TV,40,clock_motion
-1.0,-1.0,2.0,0.0,2.449489742783178,VT,40,clock_motion
1.0,1.0,-2.0,0.0,2.449489742783178,TV,41,clock_motion
-1.0,1.0,1.0,-1.0,2.0,VT,41,clock_motion
2.0,-2.0,1.0,-1.0,3.1622776601683795,TV,42,clock_motion
0.0,-1.0,1.0,0.0,1.4142135623730951,VT,42,clock_motion
1.0,1.0,-1.0,-1.0,2.0,TV,43,clock_motion
0.0,0.0,1.0,-1.0,1.4142135623730951,VT,43,clock_motion
1.0,1.0,-1.0,-1.0,2.0,TV,44,clock_motion
-2.0,-1.0,4.0,-1.0,4.69041575982343,VT,44,clock_motion
-1.0,-1.0,1.0,1.0,2.0,TV,45,clock_motion
1.0,0.0,0.0,-1.0,1.4142135623730951,VT,45,clock_motion
-1.0,0.0,2.0,-1.0,2.449489742783178,TV,46,clock_motion
-2.0,1.0,-2.0,3.0,4.242640687119285,VT,46,clock_motion
0.0,1.0,-1.0,0.0,1.4142135623730951,TV,47,clock_motion
-2.0,-1.0,2.0,1.0,3.1622776601683795,VT,47,clock_motion
5.0,-3.0,-3.0,1.0,6.6332495807108,TV,0,cat
0.0,-1.0,0.0,1.0,1.4142135623730951,VT,0,cat
0.0,1.0,1.0,-2.0,2.449489742783178,TV,1,cat
-1.0,1.0,1.0,-1.0,2.0,VT,1,cat
1.0,-1.0,0.0,0.0,1.4142135623730951,TV,2,cat
1.0,-2.0,-1.0,2.0,3.1622776601683795,VT,2,cat
1.0,0.0,-4.0,3.0,5.0990195135927845,TV,3,cat
0.0,0.0,1.0,-1.0,1.4142135623730951,VT,3,cat
1.0,-1.0,0.0,0.0,1.4142135623730951,TV,4,cat
-1.0,-2.0,-1.0,4.0,4.69041575982343,VT,4,cat
1.0,-1.0,0.0,0.0,1.4142135623730951,TV,5,cat
0.0,-1.0,2.0,-1.0,2.449489742783178,VT,5,cat
2.0,0.0,-2.0,0.0,2.8284271247461903,TV,6,cat
-1.0,0.0,2.0,-1.0,2.449489742783178,VT,6,cat
-1.0,-2.0,3.0,0.0,3.7416573867739413,TV,7,cat
-2.0,1.0,-2.0,3.0,4.242640687119285,VT,7,cat
2.0,-2.0,0.0,0.0,2.8284271247461903,TV,8,cat
0.0,0.0,0.0,0.0,0.0,VT,8,cat
3.0,-1.0,-1.0,-1.0,3.4641016151377544,TV,9,cat
0.0,1.0,-2.0,1.0,2.449489742783178,VT,9,cat
-1.0,0.0,2.0,-1.0,2.449489742783178,TV,10,cat
0.0,2.0,1.0,-3.0,3.7416573867739413,VT,10,cat
-4.0,1.0,4.0,-1.0,5.830951894845301,TV,11,cat
4.0,0.0,-3.0,-1.0,5.0990195135927845,VT,11,cat
0.0,1.0,-1.0,0.0,1.4142135623730951,TV,12,cat
0.0,0.0,1.0,-1.0,1.4142135623730951,VT,12,cat
0.0,0.0,1.0,-1.0,1.4142135623730951,TV,13,cat
3.0,0.0,-2.0,-1.0,3.7416573867739413,VT,13,cat
-2.0,2.0,2.0,-2.0,4.0,TV,14,cat
2.0,0.0,0.0,-2.0,2.8284271247461903,VT,14,cat
-2.0,2.0,-1.0,1.0,3.1622776601683795,TV,15,cat
0.0,0.0,0.0,0.0,0.0,VT,15,cat
1.0,0.0,-1.0,0.0,1.4142135623730951,TV,16,cat
-2.0,-1.0,3.0,0.0,3.7416573867739413,VT,16,cat
0.0,-4.0,1.0,3.0,5.0990195135927845,TV,17,cat
-1.0,4.0,-2.0,-1.0,4.69041575982343,VT,17,cat
2.0,0.0,-2.0,0.0,2.8284271247461903,TV,18,cat
1.0,1.0,3.0,-5.0,6.0,VT,18,cat
-1.0,-2.0,2.0,1.0,3.1622776601683795,TV,19,cat
-1.0,0.0,-1.0,2.0,2.449489742783178,VT,19,cat
1.0,-1.0,0.0,0.0,1.4142135623730951,TV,20,cat
0.0,0.0,0.0,0.0,0.0,VT,20,cat
1.0,1.0,0.0,-2.0,2.449489742783178,TV,21,cat
0.0,1.0,-3.0,2.0,3.7416573867739413,VT,21,cat
-2.0,-1.0,1.0,2.0,3.1622776601683795,TV,22,cat
1.0,2.0,1.0,-4.0,4.69041575982343,VT,22,cat
-4.0,4.0,1.0,-1.0,5.830951894845301,TV,23,cat
2.0,0.0,0.0,-2.0,2.8284271247461903,VT,23,cat
-1.0,-1.0,0.0,2.0,2.449489742783178,TV,24,cat
1.0,1.0,-1.0,-1.0,2.0,VT,24,cat
-1.0,0.0,2.0,-1.0,2.449489742783178,TV,25,cat
-1.0,0.0,-1.0,2.0,2.449489742783178,VT,25,cat
-3.0,3.0,1.0,-1.0,4.47213595499958,TV,26,cat
1.0,-1.0,3.0,-3.0,4.47213595499958,VT,26,cat
-2.0,0.0,1.0,1.0,2.449489742783178,TV,27,cat
-2.0,1.0,0.0,1.0,2.449489742783178,VT,27,cat
0.0,-1.0,1.0,0.0,1.4142135623730951,TV,28,cat
-2.0,0.0,2.0,0.0,2.8284271247461903,VT,28,cat
2.0,-3.0,3.0,-2.0,5.0990195135927845,TV,29,cat
0.0,3.0,-1.0,-2.0,3.7416573867739413,VT,29,cat
-2.0,1.0,-2.0,3.0,4.242640687119285,TV,30,cat
0.0,3.0,0.0,-3.0,4.242640687119285,VT,30,cat
-1.0,-3.0,1.0,3.0,4.47213595499958,TV,31,cat
1.0,-1.0,-3.0,3.0,4.47213595499958,VT,31,cat
