dest_jaccard,dest_top1_same,entropy_delta,expert_jaccard,expert_top1_same,layer,modality,request_id
0.828125,0.234375,0.0,0.030986721611721613,0.015625,0,vision,coins
0.875,0.359375,0.0,0.03601190476190476,0.015625,1,vision,coins
0.83984375,0.234375,0.0,0.023214285714285715,0.0,2,vision,coins
0.8671875,0.1875,0.0,0.03474130036630036,0.0,3,vision,coins
0.8671875,0.328125,0.0,0.028273809523809524,0.015625,4,vision,coins
0.8671875,0.3125,0.0,0.02872023809523809,0.0,5,vision,coins
0.8046875,0.28125,0.0,0.01175595238095238,0.0,6,vision,coins
0.85546875,0.28125,0.0,0.015773809523809523,0.0,7,vision,coins
0.8671875,0.15625,0.0,0.042742673992673993,0.03125,8,vision,coins
0.8671875,0.171875,0.0,0.06557921245421244,0.046875,9,vision,coins
0.8736979166666666,0.203125,0.0,0.03214285714285714,0.015625,10,vision,coins
0.8125,0.109375,0.0,0.03303571428571428,0.0,11,vision,coins
0.86328125,0.265625,0.0,0.01681547619047619,0.0,12,vision,coins
0.8203125,0.296875,0.0,0.0390224358974359,0.015625,13,vision,coins
0.828125,0.125,0.0,0.030803571428571427,0.0,14,vision,coins
0.8072916666666667,0.390625,0.0,0.045089285714285714,0.0,15,vision,coins
0.80859375,0.125,0.0,0.046130952380952384,0.0,16,vision,coins
0.859375,0.40625,0.0,0.05423534798534799,0.0,17,vision,coins
0.87109375,0.25,0.0,0.02142857142857143,0.0,18,vision,coins
0.8541666666666666,0.203125,0.0,0.026671245421245424,0.0,19,vision,coins
0.8463541666666667,0.234375,0.0,0.029761904761904764,0.0,20,vision,coins
0.859375,0.296875,0.0,0.07603021978021977,0.046875,21,vision,coins
0.85546875,0.203125,0.0,0.04423076923076923,0.0,22,vision,coins
0.8033854166666666,0.234375,0.0,0.037351190476190475,0.0,23,vision,coins
0.7838541666666666,0.1875,0.0,0.027529761904761904,0.015625,24,vision,coins
0.80078125,0.3125,0.0,0.045684523809523814,0.0,25,vision,coins
0.8828125,0.109375,0.0,0.034111721611721615,0.0,26,vision,coins
0.8125,0.203125,0.0,0.02619047619047619,0.015625,27,vision,coins
0.8515625,0.171875,0.0,0.04266254578754579,0.0,28,vision,coins
0.89453125,0.265625,0.0,0.04717261904761905,0.0,29,vision,coins
0.84765625,0.265625,0.0,0.02057005494505494,0.0,30,vision,coins
0.83984375,0.25,0.0,0.03574862637362637,0.0,31,vision,coins
0.8671875,0.234375,0.0,0.020238095238095236,0.0,32,vision,coins
0.83203125,0.359375,0.0,0.04775641025641025,0.015625,33,vision,coins
0.8033854166666666,0.421875,0.0,0.06233974358974359,0.21875,34,vision,coins
0.7734375,0.109375,0.0,0.029910714285714284,0.0,35,vision,coins
0.83984375,0.140625,0.0,0.040624999999999994,0.0,36,vision,coins
0.87109375,0.234375,0.0,0.02782738095238095,0.0,37,vision,coins
0.85546875,0.328125,0.0,0.030505952380952384,0.0,38,vision,coins
0.87109375,0.21875,0.0,0.04697802197802197,0.015625,39,vision,coins
0.8671875,0.234375,0.0,0.03024267399267399,0.015625,40,vision,coins
0.828125,0.25,0.0,0.038907967032967034,0.046875,41,vision,coins
0.828125,0.25,0.0,0.04110576923076923,0.0,42,vision,coins
0.875,0.265625,0.0,0.03824404761904762,0.0,43,vision,coins
0.8463541666666666,0.25,0.0,0.022023809523809525,0.0,44,vision,coins
0.83984375,0.1875,0.0,0.030505952380952384,0.0,45,vision,coins
0.84375,0.25,0.0,0.03199404761904762,0.015625,46,vision,coins
0.8528645833333334,0.21875,0.0,0.020089285714285716,0.0,0,text,coins
0.8671875,0.3125,0.0,0.04136904761904762,0.0,1,text,coins
0.8203125,0.234375,0.0,0.036973443223443224,0.0,2,text,coins
0.84375,0.296875,0.0,0.02336309523809524,0.015625,3,text,coins
0.8828125,0.234375,0.0,0.03578296703296703,0.0,4,text,coins
0.83203125,0.28125,0.0,0.019196428571428573,0.0,5,text,coins
0.84765625,0.15625,0.0,0.024107142857142855,0.0,6,text,coins
0.84375,0.21875,0.0,0.04519230769230769,0.015625,7,text,coins
0.765625,0.25,0.0,0.04140338827838828,0.0,8,text,coins
0.80078125,0.3125,0.0,0.028869047619047617,0.0,9,text,coins
0.8385416666666666,0.296875,0.0,0.05167124542124542,0.046875,10,text,coins
0.83203125,0.265625,0.0,0.011458333333333334,0.0,11,text,coins
0.8059895833333333,0.359375,0.0,0.02767857142857143,0.0,12,text,coins
0.8190104166666667,0.3125,0.0,0.03857600732600733,0.015625,13,text,coins
0.75,0.21875,0.0,0.019940476190476192,0.0,14,text,coins
