boundary_type,dest_jsd,expert_distance,layer,offset,request_id
TV,0.1431558784658321,1.0,0,-3,coins
TV,0.09436093777043358,1.0,0,-2,coins
TV,0.3687584081181329,1.0,0,-1,coins
TV,0.39678222159979815,0.9333333333333333,0,0,coins
TV,0.07157793923291605,0.6666666666666667,0,1,coins
TV,0.11875840811813282,0.7692307692307692,0,2,coins
TV,0.0778195311147832,0.7692307692307692,0,3,coins
TV,0.2473847512520989,0.7692307692307692,0,4,coins
TV,0.09436093777043358,0.7692307692307692,0,5,coins
TV,0.19657793923291608,0.8571428571428572,0,6,coins
TV,0.2806390622295664,0.8571428571428572,0,7,coins
TV,0.25,0.9333333333333333,0,8,coins
TV,0.125,0.7692307692307692,0,9,coins
TV,0.18003653257726565,0.9333333333333333,0,10,coins
TV,0.0487949406953985,0.9333333333333333,0,11,coins
TV,0.19657793923291608,1.0,0,12,coins
TV,0.1084585933443496,0.7692307692307692,0,13,coins
TV,0.14939747034769923,0.6666666666666667,0,14,coins
TV,0.25,0.8571428571428572,0,15,coins
TV,0.34336016083271426,0.8571428571428572,0,16,coins
VT,0.32781953111478324,0.7692307692307692,0,-16,coins
VT,0.32781953111478324,0.9333333333333333,0,-15,coins
VT,0.47097540958061535,0.9333333333333333,0,-14,coins
VT,0.06751971634100003,0.9333333333333333,0,-13,coins
VT,0.14778299853751753,0.7692307692307692,0,-12,coins
VT,0.04718046888521678,0.8571428571428572,0,-11,coins
VT,0.09436093777043357,0.8571428571428572,0,-10,coins
VT,0.24114315937023173,0.8571428571428572,0,-9,coins
VT,0.021782221599798153,0.6666666666666667,0,-8,coins
VT,0.31896269048501497,0.7692307692307692,0,-7,coins
VT,0.19657793923291605,0.7692307692307692,0,-6,coins
VT,0.140540629717931,0.8571428571428572,0,-5,coins
VT,0.030639062229566402,0.9333333333333333,0,-4,coins
VT,0.0487949406953985,0.9333333333333333,0,-3,coins
VT,0.1223847512520989,0.8571428571428572,0,-2,coins
VT,0.1223847512520989,0.9333333333333333,0,-1,coins
VT,0.09436093777043358,1.0,0,0,coins
VT,0.06896269048501495,1.0,0,1,coins
VT,0.4834585933443496,1.0,0,2,coins
VT,0.14939747034769923,1.0,0,3,coins
VT,0.11875840811813282,0.8571428571428572,0,4,coins
VT,0.02439747034769925,1.0,0,5,coins
VT,0.0,1.0,0,6,coins
VT,0.21936093777043358,1.0,0,7,coins
VT,0.1328560636920489,0.6666666666666667,0,8,coins
VT,0.2681558784658321,0.7692307692307692,0,9,coins
VT,0.08973381769874814,1.0,0,10,coins
VT,0.0,1.0,0,11,coins
VT,0.19033634735104887,1.0,0,12,coins
VT,0.08973381769874814,1.0,0,13,coins
VT,0.015540629717931,0.8571428571428572,0,14,coins
VT,0.22097540958061532,1.0,0,15,coins
TV,0.11875840811813282,0.5454545454545454,1,-3,coins
TV,0.1721804688852168,0.9333333333333333,1,-2,coins
TV,0.04718046888521678,0.6666666666666667,1,-1,coins
TV,0.2002042823668821,0.9333333333333333,1,0,coins
TV,0.15563906222956642,0.8571428571428572,1,1,coins
TV,0.2578560636920489,0.7692307692307692,1,2,coins
TV,0.061278124459132804,0.8571428571428572,1,3,coins
