case_id,M,fanout_ranks,total_assignments,active_experts,rank_assignments,route_sha256
balanced_fanout_F1_M128,128,1,1024,32,"[256, 256, 256, 256]",ab2859fc8986b3283a8eac2fbbeb809d5a9c7a90585d29fa08e2d2d6cb9d3058
balanced_fanout_F2_M128,128,2,1024,64,"[256, 256, 256, 256]",4c5c81dacce087750f483764af22a753b063828ce0cb8a530bf3fa147a8e9e43
balanced_fanout_F4_M128,128,4,1024,128,"[256, 256, 256, 256]",df484251b397d669782b864b2edaa010d1eed1ed87c87ca1e8aa2eb1370ec03e
balanced_fanout_F1_M512,512,1,4096,32,"[1024, 1024, 1024, 1024]",c21fe2c4aed0a91122a136df24d8547244addc0b45ddfbd88348c5c2bcb741e7
balanced_fanout_F2_M512,512,2,4096,64,"[1024, 1024, 1024, 1024]",3e7c2f02fb44e421d3739c72cf1131ae3a91a9a79df319c638c4f58e5d0b17a2
balanced_fanout_F4_M512,512,4,4096,128,"[1024, 1024, 1024, 1024]",1952501c7f40a1dbe97e3ccbda621bd6ef9233e415d5aed11f9e35fa7960a003
