request_id,category,pair_id,token_bucket,prompt_tokens,vision_tokens,prefix_tokens,tail_tokens,layer,component,duration_ms,dispatch_ms,expert_ms,combine_ms,fastest_rank_ms
bit_allocate,chart_document,15,medium,671,648,653,18,0,language_tail,1.37391996383667,0.21577599551528692,0.43859201669692993,0.5181759595870972,1.323807954788208
bit_allocate,chart_document,15,medium,671,648,653,18,0,vision_prefix,1.7616000175476074,0.25043199956417084,0.8243840336799622,0.8397440314292908,1.739359974861145
bit_allocate,chart_document,15,medium,671,648,653,18,1,language_tail,1.3384000062942505,0.21635200548917055,0.4307519793510437,0.3136000633239746,1.2992960214614868
bit_allocate,chart_document,15,medium,671,648,653,18,1,vision_prefix,1.7864960432052612,0.2487999964505434,0.8043839931488037,0.8554559946060181,1.7539520263671875
bit_allocate,chart_document,15,medium,671,648,653,18,2,language_tail,2.104288101196289,0.5228160228580236,0.7105919718742371,0.9776321649551392,1.840224027633667
bit_allocate,chart_document,15,medium,671,648,653,18,2,vision_prefix,1.542240023612976,0.26566398702561855,0.7366079688072205,0.6378240585327148,1.5177600383758545
bit_allocate,chart_document,15,medium,671,648,653,18,3,language_tail,1.2393280267715454,0.19958399515599012,0.4368000030517578,0.42771196365356445,1.1888959407806396
bit_allocate,chart_document,15,medium,671,648,653,18,3,vision_prefix,1.7884800434112549,0.23257599771022797,0.8517119884490967,0.8807999491691589,1.7584320306777954
bit_allocate,chart_document,15,medium,671,648,653,18,4,language_tail,0.8722559809684753,0.1767679937183857,0.4163520336151123,0.09462398290634155,0.8438720107078552
bit_allocate,chart_document,15,medium,671,648,653,18,4,vision_prefix,5.772607803344727,0.2621759995818138,3.216992139816284,4.801984190940857,5.690368175506592
bit_allocate,chart_document,15,medium,671,648,653,18,5,language_tail,0.925599992275238,0.2085120053961873,0.4456319808959961,0.15171200037002563,0.8706560134887695
bit_allocate,chart_document,15,medium,671,648,653,18,5,vision_prefix,1.3784960508346558,0.2491200091317296,0.8112000524997711,0.3721599578857422,1.365056037902832
bit_allocate,chart_document,15,medium,671,648,653,18,6,language_tail,1.212607979774475,0.18220800627022982,0.43279993534088135,0.4515199661254883,1.1843839883804321
bit_allocate,chart_document,15,medium,671,648,653,18,6,vision_prefix,1.5388799905776978,0.24128000624477863,0.7047679424285889,0.6434560418128967,1.5096640586853027
bit_allocate,chart_document,15,medium,671,648,653,18,7,language_tail,1.1124800443649292,0.18969599436968565,0.4263039827346802,0.3138880133628845,1.1022720336914062
bit_allocate,chart_document,15,medium,671,648,653,18,7,vision_prefix,2.1161599159240723,0.24611201230436563,0.8351999521255493,0.9793280363082886,1.850559949874878
bit_allocate,chart_document,15,medium,671,648,653,18,8,language_tail,1.3135039806365967,0.20175999496132135,0.42665594816207886,0.4004799723625183,1.2923519611358643
bit_allocate,chart_document,15,medium,671,648,653,18,8,vision_prefix,1.757599949836731,0.2451199982315302,0.7928640246391296,0.8432639241218567,1.739840030670166
bit_allocate,chart_document,15,medium,671,648,653,18,9,language_tail,0.8907840251922607,0.1831039972603321,0.42150402069091797,0.13411200046539307,0.8706560134887695
bit_allocate,chart_document,15,medium,671,648,653,18,9,vision_prefix,1.5620160102844238,0.25638399831950665,0.7337920069694519,0.6304320096969604,1.5270400047302246
bit_allocate,chart_document,15,medium,671,648,653,18,10,language_tail,0.8985919952392578,0.2076480071991682,0.41894400119781494,0.11372798681259155,0.8449919819831848
bit_allocate,chart_document,15,medium,671,648,653,18,10,vision_prefix,1.2124799489974976,0.24604799039661884,0.7356799840927124,0.32150399684906006,1.1924159526824951
bit_allocate,chart_document,15,medium,671,648,653,18,11,language_tail,0.8782399892807007,0.20342400297522545,0.4131840169429779,0.10233598947525024,0.8361600041389465
bit_allocate,chart_document,15,medium,671,648,653,18,11,vision_prefix,1.3975679874420166,0.2762239882722497,0.8519359529018402,0.1693120002746582,1.3565759658813477
bit_allocate,chart_document,15,medium,671,648,653,18,12,language_tail,0.8646399974822998,0.19104000087827444,0.41308799386024475,0.1040000319480896,0.8364480137825012
bit_allocate,chart_document,15,medium,671,648,653,18,12,vision_prefix,1.5719679594039917,0.25151999946683645,0.9271679520606995,0.6643519997596741,1.5276479721069336
bit_allocate,chart_document,15,medium,671,648,653,18,13,language_tail,0.8595200181007385,0.17852799594402313,0.40380799770355225,0.12195199728012085,0.8416320085525513
bit_allocate,chart_document,15,medium,671,648,653,18,13,vision_prefix,1.0478719472885132,0.2610559929162264,0.5755839943885803,0.11846399307250977,0.9927039742469788
bit_allocate,chart_document,15,medium,671,648,653,18,14,language_tail,0.9424960017204285,0.20236800704151392,0.42931196093559265,0.12774395942687988,0.883840024471283
