source,budget,strategy,observations,expert_median_ms,wall_median_ms,dispatch_median_ms,combine_median_ms,median_chunks,median_min_chunk,median_max_chunk,median_chunk_cv,correctness_all,route_identity_all,expert_reduction_median,expert_reduction_p25,expert_reduction_p75,expert_positive_fraction,wall_reduction_median,wall_reduction_p25,wall_reduction_p75,wall_positive_fraction,dispatch_reduction_median,dispatch_reduction_p25,dispatch_reduction_p75,dispatch_positive_fraction,combine_reduction_median,combine_reduction_p25,combine_reduction_p75,combine_positive_fraction
short,128,fixed,40,1.883688047528267,4.2536879777908325,0.9175757775083184,1.2562239468097687,3.5,49.0,128.0,0.15198928116035149,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short,128,balanced,40,2.1567520946264267,4.86955201625824,0.9096641535870731,1.0408480167388916,3.5,123.0,123.5,0.00169476595652532,True,True,0.00027760192941578277,-0.0019100730676350208,0.003608353765923583,0.55,-0.0010873278371745787,-0.004367259662755363,0.003500261318215042,0.425,0.0008532053808098516,-0.005815950977793027,0.014663500947579844,0.575,-0.0020752481693088187,-0.012477747529057559,0.014629545858911519,0.475
short,128,same_count,40,2.037768065929413,4.611720085144043,0.9228241012897342,1.010712057352066,3.5,50.0,128.0,0.15010667869084793,True,True,-0.0007619872195454569,-0.005428916535635042,0.002331158074511175,0.45,-0.000830377349600675,-0.0037024371830175484,0.002741784674470532,0.425,0.0034533393014768987,-0.005002307054152388,0.01183780677480159,0.6,0.0045790034993041795,-0.003848819439834228,0.020067016532896248,0.6
short,128,strict,40,2.5152400135993958,5.544656038284302,1.1492556512821466,1.5315278768539429,4.5,10.0,128.0,0.5020187139590518,True,True,-0.24828230970168175,-0.3388819289675225,-0.09054148411187218,0.025,-0.23622081193641964,-0.30588047905244325,-0.09532039317264485,0.05,-0.19783765046578095,-0.2677792557558304,-0.09322662231777962,0.05,-0.25364396335734807,-0.3843242184374017,-0.1013875124192325,0.125
short,128,relaxed,40,1.4399039968848228,3.009176015853882,0.867904000217095,0.9911360442638397,3.0,108.0,160.0,0.14224754866029934,True,True,0.13413804796024992,-0.001303603289541655,0.2402690552554209,0.7,0.15789121851998023,-0.0006171509250623708,0.23070767201735934,0.725,0.15180549352659284,0.00909554077555691,0.19652986439771394,0.825,0.1793694733194207,0.015685856113339308,0.29064588974827643,0.875
short,256,fixed,40,1.0783759951591492,2.3175279796123505,0.6190400028135628,0.47415998578071594,2.0,137.0,256.0,0.06249185357786066,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short,256,balanced,40,1.1761439964175224,2.5309360027313232,0.6223680055700243,0.4751119911670685,2.0,218.5,219.5,0.0019481256537811956,True,True,-0.0016201966831175252,-0.006401168271816526,0.0004793194536210077,0.275,-0.0019974317985317347,-0.006274569215178105,0.0023001577315095445,0.375,-0.0030433531628555333,-0.017210391405907854,0.004226285774721117,0.425,-0.009655230266164438,-0.04447448392791281,0.011602108220044122,0.3
short,256,same_count,40,1.0775520578026772,2.319552004337311,0.6179599869064987,0.47624000906944275,2.0,137.0,256.0,0.05941829712440702,True,True,0.000770475924177616,-0.002868054025538469,0.004348395183182169,0.525,0.0005362866614020967,-0.004855460503210396,0.004494738502861584,0.525,0.0005522891416477882,-0.008744661646210128,0.008764715589172578,0.5,-0.00010988645269149888,-0.012493630460489402,0.019133907609788725,0.475
short,256,strict,40,1.5637279003858566,3.292304039001465,0.7152239780407399,0.48912815749645233,3.0,18.0,256.0,0.38367038267513964,True,True,-0.09943546009216131,-0.3891123614013089,-0.0010519263407895996,0.2,-0.10720138052273509,-0.4349029944567344,-0.0035765493825475336,0.175,-0.08550651695955691,-0.31018797150108035,-0.005367360502211038,0.2,-0.10826660498428842,-0.5020053220088654,-0.0140904306447448,0.15
short,256,relaxed,40,0.8873999863862991,1.685128003358841,0.6136000042315573,0.47229599952697754,1.5,217.0,279.0,0.04598825831702544,True,True,0.060418717231239594,0.0009081579934662187,0.19803180916770438,0.75,0.059686565119723034,-0.00028756584304473476,0.1983554944200635,0.725,0.0763017895932418,-0.00010981648242427977,0.1736193385494667,0.75,0.04607103913225269,-0.008567859832683822,0.19969810554958412,0.65
short,512,fixed,40,0.6397119984030724,1.67466402053833,0.6138000092469156,0.4654959440231323,1.0,287.0,395.0,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short,512,balanced,40,0.6393839940428734,1.6697280406951904,0.611776003614068,0.4663439989089966,1.0,341.0,341.5,0.0,True,True,2.5075790466622117e-05,-0.0063452964058770545,0.00286143657174201,0.5,0.001182305773754333,-0.005539801888791884,0.004949637022197834,0.525,0.005846943591288012,-0.0015839434000010644,0.01847983267546144,0.725,-0.005182891107903376,-0.04429451221131575,0.01194290621660074,0.45
