request_id,source,category,budget,layer,rank,strategy,total_tokens,vision_tokens,chunks,boundaries,chunk_sizes,wall_median_ms,wall_p25_ms,wall_p75_ms,wall_cv,expert_median_ms,expert_p25_ms,expert_p75_ms,expert_cv,dispatch_median_ms,dispatch_p25_ms,dispatch_p75_ms,dispatch_cv,combine_median_ms,combine_p25_ms,combine_p75_ms,combine_cv,correctness_passed,route_identity,token_partition_identity,min_chunk,max_chunk,chunk_size_cv
coins,short,natural,128,0,0,fixed,128,108,1,"[0, 128]",[128],0.8435840010643005,0.8253440111875534,0.8525679856538773,0.02602025896634313,0.41228801012039185,0.4066239967942238,0.419888012111187,0.03070774378871109,0.1637280029244721,0.15553600364364684,0.17613599635660648,0.07088118790282895,0.07331201434135437,0.06827200949192047,0.08347201347351074,0.15589072474117224,True,True,True,128.0,128.0,0.0
coins,short,natural,128,0,0,balanced,128,108,1,"[0, 128]",[128],0.8442400097846985,0.8220560252666473,0.8568319976329803,0.04515557297148057,0.41447998583316803,0.400023989379406,0.43055200576782227,0.09044319191071501,0.15963200107216835,0.15579199302010238,0.16527999634854496,0.054964026148570495,0.07393601536750793,0.06899198889732361,0.08607202768325806,0.17877941793475996,True,True,True,128.0,128.0,0.0
coins,short,natural,128,0,0,same_count,128,108,1,"[0, 128]",[128],0.8433600068092346,0.8298720121383667,0.8545520156621933,0.03040993437072196,0.4161759912967682,0.4060639962553978,0.4249439686536789,0.046095218573860335,0.16164799593389034,0.15892800479196012,0.16937600378878415,0.06689040009201565,0.07288002967834473,0.07063202559947968,0.08072000741958618,0.12537797245640858,True,True,True,128.0,128.0,0.0
coins,short,natural,128,0,0,strict,128,108,1,"[0, 128]",[128],0.8394559919834137,0.8209919780492783,0.85521599650383,0.5324721547401972,0.41683198511600494,0.40801601856946945,0.42214400321245193,0.02545579748521046,0.15825599944218993,0.15526399412192404,0.176032004179433,1.7987235616136859,0.06974402070045471,0.06770399212837219,0.07988797128200531,0.16490159348558361,True,True,True,128.0,128.0,0.0
coins,short,natural,128,0,0,relaxed,128,108,1,"[0, 128]",[128],0.8528160154819489,0.8377039879560471,0.8755680173635483,0.365030308647822,0.4155679941177368,0.40731199085712433,0.43007998168468475,0.37902827884847845,0.16646399581804872,0.16085600247606635,0.18421599618159235,0.08794018844779698,0.07729598879814148,0.06988002359867096,0.08781598508358002,0.16521568470097273,True,True,True,128.0,128.0,0.0
coins,short,natural,128,12,0,fixed,128,108,1,"[0, 128]",[128],0.8422240018844604,0.8277280181646347,0.8613999933004379,0.37352140052667065,0.4127519875764847,0.40225598216056824,0.42986399680376053,0.3571474255553896,0.16035200003534555,0.15672000055201352,0.17416000296361744,0.10197075449088312,0.08337602019309998,0.0703199952840805,0.09149602055549622,0.2553838666278649,True,True,True,128.0,128.0,0.0
coins,short,natural,128,12,0,balanced,128,108,1,"[0, 128]",[128],0.8372800052165985,0.8294960111379623,0.8483280092477798,0.02219191577288252,0.41068801283836365,0.4065359905362129,0.4315520077943802,0.03652968436484841,0.15788800176233053,0.15452000545337796,0.16915199672803283,0.05252722847776245,0.07142400741577148,0.07042400538921356,0.07467198371887207,0.16905327939762255,True,True,True,128.0,128.0,0.0
coins,short,natural,128,12,0,same_count,128,108,1,"[0, 128]",[128],0.8386400043964386,0.8293519914150238,0.8506399840116501,0.02414104182289171,0.41473598778247833,0.4028080180287361,0.4204000011086464,0.02758812175062985,0.16054399777203798,0.15645600482821465,0.17013599793426692,0.04975291068386547,0.07707199454307556,0.07028001546859741,0.0923520028591156,0.1708261333028426,True,True,True,128.0,128.0,0.0
coins,short,natural,128,12,0,strict,128,108,1,"[0, 128]",[128],0.8376159965991974,0.8242560029029846,0.844056025147438,0.02207891324235476,0.41067200899124146,0.3997280225157738,0.42663201689720154,0.0439166556334437,0.16022400232031941,0.1558320017065853,0.1671039992943406,0.05574268714795167,0.07548800110816956,0.06891195476055145,0.0944959968328476,0.1617063195180989,True,True,True,128.0,128.0,0.0
coins,short,natural,128,12,0,relaxed,128,108,1,"[0, 128]",[128],0.8497280180454254,0.8239519894123077,0.8571440279483795,0.02497764366416286,0.42128001153469086,0.4049759805202484,0.4307039827108383,0.036345449778357554,0.16472000582143664,0.15684799663722515,0.17063200217671692,0.08024684951361608,0.07091200351715088,0.06951199471950531,0.08291198313236237,0.14357776249002546,True,True,True,128.0,128.0,0.0
