layer,expert,category,modality,tokens,images,pairwise_cosine,normalized_dispersion,centered_participation_rank,nearest_neighbor_relative_l2
24,119,chart_document,visual,12,6,0.07105616463141444,0.9339523531321717,9.434035170790098,1.2355017295330883
24,119,chart_document,text,12,6,0.3938446822172831,0.7565537392244567,2.58080912568386,0.3918403487629425
24,119,fine_grained,visual,14,5,0.1368288054428103,0.9123338637109341,9.879732803277948,1.1702989254877494
24,119,fine_grained,text,14,8,0.29046446154214,0.8253932669814388,4.58150868577202,0.6378610843837783
24,126,chart_document,visual,11,2,0.19186046529474016,0.8743435431969282,7.7509651573521055,1.1338253331130665
24,126,chart_document,text,11,6,0.46741823726907583,0.7098800590209612,3.4804608347119723,0.2717219163566852
36,8,chart_document,visual,11,6,0.10597175023391459,0.9987276168974059,3.082726100643199,0.9783008133712395
36,8,chart_document,text,11,7,0.40673090075161106,0.7719514329376495,3.685783329307318,0.4124429430453056
36,8,fine_grained,visual,14,7,0.12788250109925273,0.9678065239287049,2.491952171750337,0.9652005236855752
36,8,fine_grained,text,14,7,0.2541310143084966,0.85055334646464,4.4859310347127686,0.36933070777322624
36,8,natural,visual,9,5,0.09582146292271163,1.050115209436125,3.3534505896185265,1.1178565927903314
36,8,natural,text,9,5,0.3842951951041919,0.746187330749715,3.348761042315871,0.4732499020374967
36,56,fine_grained,visual,10,7,0.11191239408000148,0.9288070428210444,6.075374392068694,1.1047048184866348
36,56,fine_grained,text,10,6,0.35350758198170357,0.8161561193866481,3.408849464947623,0.6313987458691519
36,56,natural,visual,10,5,0.20136468023358,0.858400912075964,7.2390814823138525,1.093746408939893
36,56,natural,text,10,5,0.4642513060027013,0.7446433269572114,3.1235574568481814,0.46610531450110615
36,65,chart_document,visual,15,8,0.17152013274667002,1.029099873200431,3.160948280668366,0.6080186532404058
36,65,chart_document,text,15,7,0.34968580401502164,0.8285174683698946,4.245963030370059,0.3682571788728757
36,65,fine_grained,visual,16,7,0.22696842350949847,0.9735254216947518,2.2728273028946635,0.7123108218151416
36,65,fine_grained,text,16,8,0.30431926788738245,0.8455815082625849,4.173709431439267,0.29865773354358793
36,65,natural,visual,11,7,0.1513908662838595,1.0733868951033814,3.0143192013572473,1.0362234650921511
36,65,natural,text,11,5,0.31282750536684667,0.8197108585683014,3.9500614985100317,0.5888158130836575
36,85,chart_document,visual,12,6,0.12866316757625845,0.9010920738327325,9.220509482527948,1.1826887888067847
36,85,chart_document,text,12,7,0.2519865795379908,0.8789621136571237,5.212598591373304,0.6257520946877874
36,85,fine_grained,visual,10,4,0.12053422415998537,0.9093095224042458,6.574088210478748,1.143059507193098
36,85,fine_grained,text,10,7,0.1774237120621234,0.8991298105698238,3.287305077054958,0.4394551938355661
36,85,natural,visual,8,4,0.12791725994277803,0.9294283047754398,2.891827569664318,0.9762596220794262
36,85,natural,text,8,5,0.3886898404194287,0.7744750818819601,3.166186514905167,0.5976885235366624
36,96,chart_document,visual,10,4,0.24729353220964098,0.9736807861204012,3.22479206504404,1.0145949332218787
36,96,chart_document,text,10,6,0.49609472625605233,0.705908141794799,2.1124868421829275,0.2574172474188234
36,96,fine_grained,visual,11,5,0.40730912763343635,0.7450405207763086,7.553628769578341,0.913365444180517
36,96,fine_grained,text,11,6,0.3626991924298441,0.7863176723195551,3.6840418967099766,0.4464243433250143
36,96,natural,visual,9,5,0.27020775860474605,0.8310794531851787,4.945815463507797,1.0032378699419437
36,96,natural,text,9,5,0.44871775221825555,0.6928360278237573,3.103832053692,0.33955120939177963
36,105,fine_grained,visual,8,5,0.18768210143091016,1.0161468340565782,2.6820354233942343,1.1176235255129985
36,105,fine_grained,text,8,7,0.29336053241229054,0.8125651780632739,2.4316129175305816,0.34204262839041744
36,116,chart_document,visual,8,5,0.15531613188194937,0.8740035809087324,5.393957940601114,0.8852898789543242
36,116,chart_document,text,8,6,0.416158184559972,0.7482042634835077,2.361651826797947,0.3801375307319197
44,25,chart_document,visual,8,5,0.12325594922213635,0.8888831479080221,6.321250583112318,1.2556774252028582
44,25,chart_document,text,8,6,0.4286510799566537,0.722988384704541,2.273126471800758,0.17338260680484582
44,31,chart_document,visual,11,7,0.22122329672209845,1.0128057214263329,3.4468043873045486,1.0410175770084371
44,31,chart_document,text,11,7,0.4646438308873284,0.7516311924284007,3.616784905976391,0.2330349731944631
44,31,fine_grained,visual,9,5,0.24905890323290794,0.9203836032018516,3.9159058873704433,1.038387648269178
44,31,fine_grained,text,9,4,0.3785588919790486,0.7741797025951456,2.6703311713101776,0.7049373091420169
44,31,natural,visual,16,7,0.3129959107578928,0.8506333245752847,6.568041606953922,0.8639881036625898
44,31,natural,text,16,7,0.4480105697071348,0.7293137356582812,4.10095464689101,0.41201057870472557
44,32,natural,visual,8,5,0.23317118510045096,0.8287875655360502,5.928474848385788,1.1059933883762818
44,32,natural,text,8,7,0.33727706973226773,0.7770650279261607,3.060896789496389,0.5520215132262147
44,51,chart_document,visual,10,7,0.10667226146975133,0.9829641386764657,2.8641332032010425,0.8238597455289058
44,51,chart_document,text,10,6,0.4178707971738775,0.7470615193336376,2.949138159344181,0.16529594341110337
44,51,natural,visual,14,6,0.02799684846898506,1.022000202451594,7.445337561134659,1.3206914172210016
44,51,natural,text,14,6,0.3860267418103689,0.7711689450031599,3.325815687775853,0.4902110841973995
44,53,natural,visual,8,5,0.382155645877273,0.7545757724243312,5.139236201592652,0.9749094426421807
44,53,natural,text,8,7,0.5829328052809372,0.6733189443493498,2.0136876432972644,0.47088061089939054
44,70,natural,visual,9,6,0.30797243505520444,0.8253088737810343,5.976745782542038,1.0655019148766314
44,70,natural,text,9,6,0.31321343694800563,0.7824560522214782,3.475215065463739,0.6889900503931692
44,90,chart_document,visual,13,7,0.23901471098439162,0.9341167037015115,5.921926522083504,1.0944596561330966
44,90,chart_document,text,13,7,0.3597211497161818,0.8104895654139849,5.001597898715855,0.3214826001835452
44,90,fine_grained,visual,8,4,0.3368213900368768,0.9437755379914748,2.5815821826401226,0.9320975490991098
44,90,fine_grained,text,8,4,0.3328041299921462,0.7933766400769034,2.938847515433032,0.6509071368211027
44,90,natural,visual,16,7,0.2895643352435628,0.8690148430585577,8.522109157300044,1.020579257584833
44,90,natural,text,16,7,0.35982872675611227,0.8085359498928527,5.118634655474797,0.4377523449740919
44,94,chart_document,visual,15,5,0.37308966022152557,0.9980725035233439,2.513630663736327,0.996170141132359
44,94,chart_document,text,15,8,0.3190825286954411,0.8257572472077157,3.744060181697853,0.22875159897444408
44,94,natural,visual,10,6,0.36741927146745135,0.8101073608843283,4.791101212382135,0.9051892957413956
44,94,natural,text,10,7,0.5000290114866832,0.7148642766101558,2.5525825481600157,0.3305398736593832
44,102,chart_document,visual,8,6,0.3654110315547415,0.7715950459427152,1.6787487235112055,0.45312936724154695
44,102,chart_document,text,8,5,0.38909723712531014,0.7410760717698329,2.087541820927142,0.16076504702543037
44,102,natural,visual,10,6,0.175411382126189,0.9656744779345846,3.1471370525145064,0.9314104779263124
44,102,natural,text,10,6,0.4463450890923595,0.7094523803404099,3.086460483610509,0.551286958311619
44,121,chart_document,visual,8,5,0.1972538181299716,1.0195907514477753,2.8367597982475368,0.760831649813079
44,121,chart_document,text,8,6,0.3959433376262632,0.7336363505990254,3.2043029531831335,0.5446071156794482
44,121,natural,visual,8,5,0.11541493290448515,1.0356197795271953,2.4754019872216633,1.2176098818542869
44,121,natural,text,8,6,0.32813173821238173,0.7988343252208495,3.493600037599679,0.5786304433732299
47,20,chart_document,visual,8,4,0.7255508121786592,0.5965106261924353,2.405083703306631,0.5671323957564243
47,20,chart_document,text,8,5,0.7338690009322875,0.5145509267508611,2.342374651060217,0.22468104630258728
47,20,natural,visual,9,7,0.6804474615234611,0.6022534853059837,3.782020798595489,0.593935409708256
47,20,natural,text,9,6,0.7027402992002431,0.5224526671619399,2.633326565569315,0.3251392090949741
47,44,chart_document,visual,8,4,0.9077014488225844,0.30661885141894224,2.051574317872945,0.2776320376477572
47,44,chart_document,text,8,7,0.6292508246310631,0.6188751306462377,2.1934966665498585,0.36753039821156425
47,57,chart_document,visual,11,4,0.7325602412538901,0.5252443589870281,4.646040963872347,0.5376225670287155
47,57,chart_document,text,11,6,0.7621591676641374,0.47793387395709336,4.7731196214098786,0.3052512284086434
47,57,natural,visual,11,7,0.6446469005172586,0.5728067517204056,6.101247882470069,0.6215821319438035
47,57,natural,text,11,8,0.7246467923375718,0.5346747067320057,3.769601263573621,0.341055788027418
47,77,chart_document,visual,8,8,0.43676329095776234,0.7507815728566759,2.4239077485395195,0.5967908753985066
47,77,chart_document,text,8,4,0.4961163235906101,0.7037734939731201,2.537753529005804,0.36919180964754905
47,77,natural,visual,9,6,0.6924358866056791,0.5561983348528993,3.596993743501477,0.4554460053073396
47,77,natural,text,9,6,0.5809813391590231,0.6511257134230618,2.2605209628504963,0.32718614843619476
47,105,chart_document,visual,9,5,0.6927123069425156,0.6295428970457723,2.2375420640416412,0.5562260904543845
47,105,chart_document,text,9,6,0.2597937839826987,0.8371463147784312,1.5087870205071046,0.36517738212883866
47,105,natural,visual,8,7,0.4862422895546315,0.9190046956596276,2.15431268849427,0.6678265544902608
47,105,natural,text,8,5,0.3507547460608646,0.895678132646173,1.7662829109477372,0.6779423873253807
47,126,chart_document,visual,8,3,0.8633519822732653,0.3757736012831922,4.993669107943087,0.45196660711818626
47,126,chart_document,text,8,5,0.8526447037444366,0.385192544938187,3.0266063436311206,0.23082860735751698
