layer,expert,category,modality,tokens,images,pairwise_cosine,normalized_dispersion,centered_participation_rank,nearest_neighbor_relative_l2
4,34,chart_document,visual,9,4,0.19648674851481557,0.8734556505110849,6.037185086393584,1.0983868742702516
4,34,chart_document,text,9,6,0.3593552240200798,0.8557777218804498,1.608610807145173,0.30315483393814446
4,34,fine_grained,visual,14,6,0.365004756875982,0.7759899417262577,8.75533715086963,0.9182959845808234
4,34,fine_grained,text,14,6,0.31943855464001475,0.8926279177918461,1.8432717127107814,0.4841970693400604
4,34,natural,visual,11,6,0.28468216623291104,0.8205654933101483,7.026445886531643,0.9731431320590961
4,34,natural,text,11,7,0.30702300395345833,0.8713476376911713,1.6575952189110017,0.5329285632592249
4,73,chart_document,visual,12,6,0.15592414866461318,0.8970447173336357,7.526418992154228,0.9206026057486979
4,73,chart_document,text,12,7,0.22208832627169775,0.8721747334555128,4.91049806775065,0.5091624449404255
4,81,chart_document,visual,14,6,0.25938876647591086,0.8346530016096901,8.485456408799926,0.7600095322554267
4,81,chart_document,text,14,7,0.29546179949734325,0.8076735706217958,4.153289266515375,0.2786933679369139
4,81,fine_grained,visual,15,8,0.3484743782957569,0.7992321298427815,9.753598066453154,0.9026266766360718
4,81,fine_grained,text,15,7,0.27791137953756057,0.8251719244324006,5.175305886869108,0.30924911519959947
4,81,natural,visual,10,6,0.25954183898349265,0.8306154681536354,6.97241278446312,0.9978878785298704
4,81,natural,text,10,6,0.20521030181655384,0.8469940855278585,4.818718185107813,0.6651043105327796
4,85,chart_document,visual,10,7,0.3261083963487405,0.7957356380959756,4.7690034518091124,0.6124860870864728
4,85,chart_document,text,10,7,0.3701376225348303,0.7578567999928674,1.9204348705715069,0.1333738537116163
4,115,chart_document,visual,10,3,0.5579564183336472,0.6356793029527645,4.560606008148804,0.46893840506124906
4,115,chart_document,text,10,7,0.3977197900333162,0.7344257781753092,2.020873925806505,0.1192639784716896
4,115,fine_grained,visual,10,6,0.4405949688177829,0.715159831556958,7.788444643117241,0.952605772993784
4,115,fine_grained,text,10,5,0.3092819401108431,0.7997063499755632,2.896143438956424,0.28048472304505406
12,8,natural,visual,11,7,0.16654665902090554,0.8859491432963347,8.316938828247983,1.1653339738421902
12,8,natural,text,11,7,0.2775433675959706,0.8250275892188588,3.4011749448544792,0.47044790824542626
12,116,chart_document,visual,10,7,0.24136522919223988,0.8344157220422183,5.305976720843842,0.857766041701346
12,116,chart_document,text,10,7,0.4152100364081447,0.7366336103908641,2.8458588757618997,0.2573792120099262
12,116,fine_grained,visual,8,5,0.23429517249267437,0.8288565765534813,6.124263138308097,1.1231229016117747
12,116,fine_grained,text,8,6,0.2756076460452848,0.8137790405400309,3.542953723875587,0.7425410303299891
12,119,fine_grained,visual,9,4,0.20902836807440134,0.866524099088547,5.774762302621635,1.100690803640856
12,119,fine_grained,text,9,6,0.4564160524384143,0.6996085769028171,3.131467300543803,0.5760582128380488
24,65,chart_document,visual,16,8,0.2281132704368849,0.8576468182810927,7.961084829555391,0.7867347972152736
24,65,chart_document,text,16,8,0.2992092256393814,0.8136453461028608,5.081540339377699,0.4667001917657527
24,65,fine_grained,visual,16,7,0.24528886109100081,0.857583345169619,4.759642167561107,0.8434627585487611
24,65,fine_grained,text,16,8,0.3256173562319333,0.7962300010261395,3.807410207112296,0.48874082823493625
24,65,natural,visual,15,6,0.27919852059785516,0.8314357864722884,10.624118338340073,1.0160162420578238
24,65,natural,text,15,8,0.24992018248577955,0.8435832431406884,6.395824986427921,0.6286319102948794
24,85,chart_document,visual,11,6,0.07346991936924066,0.928459588937411,5.600586222971277,0.836183600581791
24,85,chart_document,text,11,6,0.41271455305351007,0.7581322427523278,4.405121716368911,0.5937607604151179
24,85,fine_grained,visual,11,4,0.08108455071523786,0.9304077950986555,8.523223417143106,1.2758781579732228
24,85,fine_grained,text,11,7,0.39748213463050847,0.7722067598494741,3.545196413492283,0.6844091534453912
24,116,chart_document,visual,10,4,0.1996527921361916,0.9103182394163718,4.95740968280724,1.0812260148638841
24,116,chart_document,text,10,6,0.33062036726061766,0.7959286434692336,2.2987312661673553,0.5152321375510646
24,116,fine_grained,visual,10,5,0.23641795601474336,0.8551242880629404,3.9719800355803185,0.9664039377434197
24,116,fine_grained,text,10,7,0.42554047299120545,0.7779483339621501,2.1313045861553177,0.43565757853839654
