layer,region,expert,modality,method,ratio,tokens,representatives,evaluated_nonrepresentatives,median_cosine,mean_cosine,median_relative_l2,mean_relative_l2,pass_fraction,all_token_pass_fraction
4,early,11,visual,oracle,0.25,8,2,6,0.17474934458732605,0.1700393706560135,1.2054442167282104,1.2386800050735474,0.0,0.25
4,early,11,visual,oracle,0.5,8,4,4,0.21331529319286346,0.20739682018756866,1.1421842575073242,1.1380934715270996,0.0,0.5
4,early,11,visual,oracle,0.75,8,6,2,0.24004428088665009,0.24004428088665009,1.1150004863739014,1.1150004863739014,0.0,0.75
4,early,11,visual,oracle,1.0,8,8,0,1.0,1.0,0.0,0.0,1.0,1.0
4,early,11,visual,practical,0.25,8,2,6,0.16615211963653564,0.15551766753196716,1.1797311305999756,1.2131985425949097,0.0,0.25
4,early,11,visual,practical,0.5,8,4,4,0.17428386211395264,0.18097186088562012,1.3375837802886963,1.3277848958969116,0.0,0.5
4,early,11,visual,practical,0.75,8,6,2,0.16906261444091797,0.16906261444091797,1.3894274234771729,1.3894274234771729,0.0,0.75
4,early,11,visual,practical,1.0,8,8,0,1.0,1.0,0.0,0.0,1.0,1.0
4,early,11,text,oracle,0.25,8,2,6,0.5281028747558594,0.5382515788078308,1.1082637310028076,1.105681300163269,0.0,0.25
4,early,11,text,oracle,0.5,8,4,4,0.8967876434326172,0.7465125322341919,0.45271366834640503,0.806768000125885,0.0,0.5
4,early,11,text,oracle,0.75,8,6,2,0.9649221897125244,0.9649221897125244,0.26832789182662964,0.26832789182662964,0.0,0.75
4,early,11,text,oracle,1.0,8,8,0,1.0,1.0,0.0,0.0,1.0,1.0
4,early,11,text,practical,0.25,8,2,6,0.5175160765647888,0.5114563703536987,1.0300993919372559,1.0294246673583984,0.0,0.25
4,early,11,text,practical,0.5,8,4,4,0.8853154182434082,0.7334417104721069,0.4826955199241638,0.7404962182044983,0.0,0.5
4,early,11,text,practical,0.75,8,6,2,0.9493674039840698,0.9493674039840698,0.31243348121643066,0.31243348121643066,0.0,0.75
4,early,11,text,practical,1.0,8,8,0,1.0,1.0,0.0,0.0,1.0,1.0
4,early,27,visual,oracle,0.25,11,3,8,0.31683066487312317,0.4503253102302551,1.1453865766525269,1.036002278327942,0.0,0.2727272727272727
4,early,27,visual,oracle,0.5,11,6,5,0.584807276725769,0.5633630752563477,0.9713667035102844,0.9627698659896851,0.0,0.5454545454545454
4,early,27,visual,oracle,0.75,11,9,2,0.7524244785308838,0.7524244785308838,0.7091165781021118,0.7091165781021118,0.0,0.8181818181818182
4,early,27,visual,oracle,1.0,11,11,0,1.0,1.0,0.0,0.0,1.0,1.0
4,early,27,visual,practical,0.25,11,3,8,0.3339773416519165,0.4361773729324341,1.1108160018920898,1.0306813716888428,0.0,0.2727272727272727
4,early,27,visual,practical,0.5,11,6,5,0.584807276725769,0.5515221357345581,0.9713667035102844,0.9335422515869141,0.0,0.5454545454545454
4,early,27,visual,practical,0.75,11,9,2,0.7524244785308838,0.7524244785308838,0.700143575668335,0.700143575668335,0.0,0.8181818181818182
4,early,27,visual,practical,1.0,11,11,0,1.0,1.0,0.0,0.0,1.0,1.0
4,early,27,text,oracle,0.25,11,3,8,0.9724297523498535,0.9741252660751343,0.24853457510471344,0.22273150086402893,0.125,0.36363636363636365
4,early,27,text,oracle,0.5,11,6,5,0.9794140458106995,0.9824884533882141,0.21248970925807953,0.1746835708618164,0.2,0.6363636363636364
4,early,27,text,oracle,0.75,11,9,2,0.9912993907928467,0.9912993907928467,0.09707928448915482,0.09707928448915482,0.5,0.9090909090909091
4,early,27,text,oracle,1.0,11,11,0,1.0,1.0,0.0,0.0,1.0,1.0
4,early,27,text,practical,0.25,11,3,8,0.9643223881721497,0.9668960571289062,0.27039679884910583,0.2462218701839447,0.125,0.36363636363636365
4,early,27,text,practical,0.5,11,6,5,0.9765419363975525,0.9797404408454895,0.22871986031532288,0.1881774365901947,0.2,0.6363636363636364
4,early,27,text,practical,0.75,11,9,2,0.9912993907928467,0.9912993907928467,0.10483172535896301,0.10483172535896301,0.5,0.9090909090909091
4,early,27,text,practical,1.0,11,11,0,1.0,1.0,0.0,0.0,1.0,1.0
4,early,32,visual,oracle,0.25,13,4,9,0.3655332326889038,0.4099900424480438,1.0847011804580688,1.0732768774032593,0.0,0.3076923076923077
4,early,32,visual,oracle,0.5,13,7,6,0.41306811571121216,0.46796560287475586,1.0721544027328491,1.000652551651001,0.0,0.5384615384615384
