sample_id,layer,modality,cosine,relative_l2
astronaut,4,visual,0.9999960660934448,0.002792846644297242
astronaut,4,visual,0.9999959468841553,0.002847171388566494
astronaut,4,visual,0.9999960660934448,0.0028178768698126078
astronaut,4,visual,0.9999963641166687,0.0027630338445305824
astronaut,4,visual,0.9999963641166687,0.002730567706748843
astronaut,4,visual,0.9999961853027344,0.0027630061376839876
astronaut,4,visual,0.9999963641166687,0.002726015169173479
astronaut,4,visual,0.9999968409538269,0.002582093933597207
astronaut,4,visual,0.9999966621398926,0.0025810622610151768
astronaut,4,visual,0.9999960064888,0.0028381957672536373
astronaut,4,visual,0.9999964237213135,0.002705145161598921
astronaut,4,visual,0.9999963641166687,0.002681171055883169
astronaut,4,visual,0.9999966621398926,0.0026142396964132786
astronaut,4,visual,0.9999967217445374,0.0026245093904435635
astronaut,4,visual,0.9999963045120239,0.002695908537134528
astronaut,4,visual,0.9999961853027344,0.0027875551022589207
astronaut,4,visual,0.999995768070221,0.0029607685282826424
astronaut,4,visual,0.9999964237213135,0.0026716759894043207
astronaut,4,visual,0.9999966025352478,0.0025999806821346283
astronaut,4,visual,0.9999960064888,0.0028145709075033665
astronaut,4,visual,0.9999956488609314,0.002916315570473671
astronaut,4,visual,0.9999963641166687,0.0027060064021497965
astronaut,4,visual,0.9999962449073792,0.0027068108320236206
astronaut,4,visual,0.9999964833259583,0.002687632106244564
astronaut,4,visual,0.9999969601631165,0.0025150030851364136
astronaut,4,visual,0.999997079372406,0.0024308410938829184
astronaut,4,visual,0.9999964237213135,0.0027002114802598953
astronaut,4,visual,0.9999964833259583,0.0026331753470003605
astronaut,4,visual,0.9999961256980896,0.0027764318510890007
astronaut,4,visual,0.9999969005584717,0.002506799064576626
astronaut,4,visual,0.9999969005584717,0.0025110719725489616
astronaut,4,visual,0.9999962449073792,0.002749353414401412
astronaut,4,visual,0.9999962449073792,0.0027305877301841974
astronaut,4,visual,0.9999966025352478,0.0026065693236887455
astronaut,4,visual,0.9999963641166687,0.002689954126253724
astronaut,4,visual,0.9999963641166687,0.0027276885230094194
astronaut,4,visual,0.9999961256980896,0.0027771135792136192
astronaut,4,visual,0.9999966025352478,0.002658209763467312
astronaut,4,visual,0.9999967813491821,0.00254866317845881
astronaut,4,visual,0.9999960660934448,0.002787066623568535
astronaut,4,visual,0.9999959468841553,0.002885903464630246
astronaut,4,visual,0.9999961256980896,0.002764821285381913
astronaut,4,visual,0.9999961853027344,0.0027490316424518824
astronaut,4,visual,0.9999961256980896,0.0028225048445165157
astronaut,4,visual,0.9999960064888,0.0028358502313494682
astronaut,4,visual,0.9999964237213135,0.0026778774335980415
astronaut,4,visual,0.9999958872795105,0.002857024548575282
astronaut,4,visual,0.9999964237213135,0.0026972549967467785
astronaut,4,visual,0.9999959468841553,0.002865792019292712
astronaut,4,visual,0.9999964833259583,0.0026784888468682766
astronaut,4,visual,0.9999959468841553,0.0028422055765986443
astronaut,4,visual,0.9999966621398926,0.002558693289756775
astronaut,4,visual,0.9999960064888,0.002828334691002965
astronaut,4,visual,0.9999963045120239,0.0027248512487858534
astronaut,4,visual,0.9999959468841553,0.002862381748855114
astronaut,4,visual,0.9999964237213135,0.002710705855861306
astronaut,4,visual,0.9999961256980896,0.0027982613537460566
astronaut,4,visual,0.9999959468841553,0.002833961509168148
astronaut,4,visual,0.9999963045120239,0.0026823992375284433
astronaut,4,visual,0.9999963045120239,0.002702470635995269
astronaut,4,visual,0.9999961853027344,0.002718235831707716
astronaut,4,visual,0.9999964833259583,0.0026109640020877123
astronaut,4,text,0.9999974370002747,0.002281404798850417
astronaut,12,visual,0.9999963641166687,0.00274289189837873
astronaut,12,visual,0.9999960660934448,0.0028256101068109274
astronaut,12,visual,0.9999961853027344,0.002793725114315748
astronaut,12,visual,0.9999963641166687,0.0026852504815906286
astronaut,12,visual,0.9999962449073792,0.0027642350178211927
astronaut,12,visual,0.9999967813491821,0.0025691017508506775
astronaut,12,visual,0.9999958276748657,0.0028811602387577295
astronaut,12,visual,0.9999960064888,0.0028407054487615824
astronaut,12,visual,0.9999959468841553,0.002825648756697774
astronaut,12,visual,0.9999961256980896,0.002791533013805747
astronaut,12,visual,0.9999961853027344,0.0028024425264447927
astronaut,12,visual,0.9999964237213135,0.002733393106609583
astronaut,12,visual,0.9999959468841553,0.0028195178601890802
astronaut,12,visual,0.9999963641166687,0.0026941364631056786
astronaut,12,visual,0.9999958872795105,0.002863034140318632
astronaut,12,visual,0.9999964237213135,0.00265746982768178
astronaut,12,visual,0.9999962449073792,0.002728850580751896
astronaut,12,visual,0.9999961853027344,0.002789221005514264
astronaut,12,visual,0.999996542930603,0.0026610386557877064
astronaut,12,visual,0.9999968409538269,0.0025712866336107254
astronaut,12,visual,0.9999961256980896,0.0028221062384545803
astronaut,12,visual,0.999995768070221,0.0029132161289453506
astronaut,12,visual,0.999997079372406,0.002470447914674878
astronaut,12,visual,0.9999961256980896,0.0027812011539936066
astronaut,12,visual,0.9999961256980896,0.0027600277680903673
astronaut,12,visual,0.9999961256980896,0.002769355894997716
astronaut,12,visual,0.9999964833259583,0.0026524364948272705
astronaut,12,visual,0.9999960660934448,0.002754196058958769
astronaut,12,visual,0.9999962449073792,0.0027720779180526733
astronaut,12,visual,0.9999964833259583,0.0026768329553306103
astronaut,12,visual,0.999995768070221,0.00293145258910954
astronaut,12,visual,0.9999966025352478,0.0026387411635369062
astronaut,12,visual,0.9999964237213135,0.0026967355515807867
astronaut,12,visual,0.9999961256980896,0.00277757178992033
astronaut,12,visual,0.9999962449073792,0.0027661481872200966
astronaut,12,visual,0.999995768070221,0.0029431856237351894
astronaut,12,visual,0.999995768070221,0.0028923170175403357
astronaut,12,visual,0.9999963641166687,0.002697120886296034
astronaut,12,visual,0.9999958276748657,0.002867607632651925
astronaut,12,visual,0.9999969005584717,0.0025179351214319468
astronaut,12,visual,0.9999960660934448,0.0028313063085079193
astronaut,12,visual,0.9999960064888,0.0028087454847991467
astronaut,12,visual,0.9999959468841553,0.002861366141587496
astronaut,12,visual,0.9999963641166687,0.002690899884328246
astronaut,12,visual,0.9999959468841553,0.0028500515036284924
astronaut,12,visual,0.9999958872795105,0.0028381028678268194
astronaut,12,visual,0.9999958276748657,0.002873389283195138
astronaut,12,visual,0.9999961256980896,0.0027644785586744547
astronaut,12,text,0.9999972581863403,0.0023661444429308176
astronaut,12,text,0.9999963045120239,0.002729140454903245
astronaut,12,text,0.999997079372406,0.002475653775036335
astronaut,12,text,0.9999967217445374,0.002591733355075121
astronaut,12,text,0.9999966025352478,0.0026437020860612392
astronaut,24,visual,0.9999969005584717,0.002507113851606846
astronaut,24,visual,0.9999960660934448,0.00280224671587348
astronaut,24,visual,0.9999962449073792,0.002766146557405591
astronaut,24,visual,0.9999963641166687,0.0027331546880304813
astronaut,24,visual,0.9999964237213135,0.0026687635108828545
astronaut,24,visual,0.9999961256980896,0.0027925819158554077
astronaut,24,visual,0.999996542930603,0.0026795552112162113
astronaut,24,visual,0.9999962449073792,0.002762910909950733
astronaut,24,visual,0.9999961853027344,0.002803817158564925
astronaut,24,visual,0.9999958872795105,0.002916632452979684
astronaut,24,visual,0.9999957084655762,0.0028994197491556406
astronaut,24,visual,0.9999961853027344,0.002800560090690851
astronaut,24,visual,0.9999959468841553,0.0028870676178485155
astronaut,24,visual,0.999995768070221,0.002869458869099617
astronaut,24,visual,0.9999957084655762,0.002951728878542781
astronaut,24,visual,0.9999964237213135,0.00269015459343791
astronaut,24,visual,0.9999961853027344,0.0027885062154382467
astronaut,24,visual,0.9999958872795105,0.00287011731415987
astronaut,24,visual,0.9999966025352478,0.0026379632763564587
astronaut,24,visual,0.9999958276748657,0.002912752330303192
astronaut,24,visual,0.9999961853027344,0.00280382065102458
astronaut,24,visual,0.9999961853027344,0.0027378976810723543
astronaut,24,visual,0.9999968409538269,0.0025602381210774183
astronaut,24,visual,0.9999958276748657,0.0028968206606805325
astronaut,24,visual,0.9999959468841553,0.0028495651204138994
astronaut,24,visual,0.9999960660934448,0.00279898545704782
astronaut,24,visual,0.9999961256980896,0.002769976621493697
astronaut,24,visual,0.9999967217445374,0.0025835074484348297
astronaut,24,visual,0.9999966621398926,0.002566870767623186
astronaut,24,visual,0.9999963641166687,0.0027179725002497435
astronaut,24,visual,0.9999963045120239,0.002674694638699293
astronaut,24,visual,0.9999958872795105,0.0028412379324436188
astronaut,24,visual,0.9999964833259583,0.002665929961949587
astronaut,24,visual,0.9999961853027344,0.00277341203764081
astronaut,24,visual,0.9999963045120239,0.002739605726674199
astronaut,24,visual,0.9999963045120239,0.0027303770184516907
astronaut,24,visual,0.9999961853027344,0.0027523385360836983
astronaut,24,visual,0.999997079372406,0.0024700963404029608
astronaut,24,visual,0.9999967813491821,0.0025824231561273336
astronaut,24,visual,0.9999966025352478,0.002602457767352462
astronaut,24,visual,0.9999961853027344,0.0027676071040332317
astronaut,24,visual,0.9999967217445374,0.002515702275559306
astronaut,24,visual,0.999995768070221,0.0029479465447366238
astronaut,24,visual,0.9999967217445374,0.002599091734737158
astronaut,24,visual,0.9999966025352478,0.002617001300677657
astronaut,24,visual,0.9999962449073792,0.0027825527358800173
astronaut,24,visual,0.9999960064888,0.002823006361722946
astronaut,24,visual,0.9999961853027344,0.002775968052446842
astronaut,24,visual,0.9999962449073792,0.002744095167145133
astronaut,24,visual,0.9999961853027344,0.00276290369220078
astronaut,24,visual,0.9999967813491821,0.0025536022149026394
astronaut,24,visual,0.9999957084655762,0.0029204655438661575
astronaut,24,text,0.999996542930603,0.0026517605874687433
astronaut,24,text,0.999996542930603,0.0026406727265566587
astronaut,36,visual,0.9999967813491821,0.0025531193241477013
astronaut,36,visual,0.9999963045120239,0.002712435321882367
astronaut,36,visual,0.9999958276748657,0.002897764090448618
astronaut,36,visual,0.9999963641166687,0.002713666297495365
astronaut,36,visual,0.9999966025352478,0.002606079215183854
astronaut,36,visual,0.9999958276748657,0.002861913526430726
astronaut,36,visual,0.9999954104423523,0.0030002042185515165
astronaut,36,visual,0.9999960660934448,0.0028537893667817116
astronaut,36,visual,0.9999960064888,0.0028387755155563354
astronaut,36,visual,0.9999964833259583,0.0026487361174076796
astronaut,36,visual,0.9999974966049194,0.002260455396026373
astronaut,36,visual,0.9999960660934448,0.0027685929089784622
astronaut,36,visual,0.9999963045120239,0.002716980641707778
astronaut,36,visual,0.9999962449073792,0.0027090611401945353
astronaut,36,visual,0.9999959468841553,0.002831261372193694
astronaut,36,visual,0.9999962449073792,0.002762197982519865
astronaut,36,visual,0.9999961853027344,0.0027906664181500673
astronaut,36,visual,0.9999962449073792,0.002774306107312441
astronaut,36,visual,0.9999958872795105,0.0028635861817747355
astronaut,36,visual,0.9999964237213135,0.002696273848414421
astronaut,36,visual,0.9999961256980896,0.0027696527540683746
astronaut,36,visual,0.9999956488609314,0.00292117428034544
astronaut,36,visual,0.9999966621398926,0.002634796779602766
astronaut,36,visual,0.9999961256980896,0.0027655973099172115
astronaut,36,visual,0.9999960660934448,0.002808770863339305
astronaut,36,visual,0.9999961256980896,0.002801717258989811
astronaut,36,visual,0.9999964237213135,0.0026763491332530975
astronaut,36,visual,0.999995768070221,0.0029485542327165604
astronaut,36,visual,0.9999962449073792,0.002742510987445712
astronaut,36,visual,0.9999955892562866,0.0029812452849000692
astronaut,36,visual,0.9999960064888,0.0028471171390265226
astronaut,36,visual,0.9999967217445374,0.002573222853243351
astronaut,36,visual,0.9999963045120239,0.00274710007943213
astronaut,36,visual,0.9999963045120239,0.00274277594871819
astronaut,36,visual,0.9999963045120239,0.0027449862100183964
astronaut,36,visual,0.9999967217445374,0.0025725257582962513
astronaut,36,visual,0.9999962449073792,0.002744845114648342
astronaut,36,visual,0.9999959468841553,0.002830211305990815
astronaut,36,visual,0.9999960660934448,0.0027743654791265726
astronaut,36,visual,0.9999960660934448,0.002812586957588792
astronaut,36,visual,0.9999966621398926,0.0025906579103320837
astronaut,36,text,0.9999971389770508,0.002381250960752368
astronaut,36,text,0.9999969005584717,0.0025049545802176
astronaut,44,visual,0.9999960064888,0.0027833643835037947
astronaut,44,visual,0.999995768070221,0.002930230228230357
astronaut,44,visual,0.9999963641166687,0.0026848202105611563
astronaut,44,visual,0.9999966621398926,0.002562174340710044
astronaut,44,visual,0.9999960064888,0.0028760989662259817
astronaut,44,visual,0.9999966621398926,0.002587566152215004
astronaut,44,visual,0.999997079372406,0.002443717559799552
astronaut,44,visual,0.9999955892562866,0.00294585176743567
astronaut,44,visual,0.9999966025352478,0.0026339637115597725
astronaut,44,visual,0.9999964833259583,0.00265719392336905
astronaut,44,visual,0.9999961256980896,0.0028030716348439455
astronaut,44,visual,0.9999964833259583,0.002647953573614359
astronaut,44,visual,0.9999963641166687,0.002717776456847787
astronaut,44,visual,0.9999961853027344,0.0027971561066806316
astronaut,44,visual,0.9999970197677612,0.002517051761969924
astronaut,44,visual,0.9999963641166687,0.002703384729102254
astronaut,44,visual,0.9999964833259583,0.002657428150996566
astronaut,44,visual,0.9999961853027344,0.0027868496254086494
astronaut,44,visual,0.9999961256980896,0.002772280713543296
astronaut,44,visual,0.9999962449073792,0.0027358350344002247
astronaut,44,visual,0.999995768070221,0.002918747253715992
astronaut,44,visual,0.9999957084655762,0.00294853956438601
astronaut,44,visual,0.9999969601631165,0.002464753808453679
astronaut,44,visual,0.9999960064888,0.0028105638921260834
astronaut,44,visual,0.9999962449073792,0.0027324934490025043
astronaut,44,visual,0.9999962449073792,0.0027688827831298113
astronaut,44,visual,0.9999958872795105,0.0028775609098374844
astronaut,44,visual,0.9999960064888,0.0028604017570614815
astronaut,44,visual,0.9999962449073792,0.002760258736088872
astronaut,44,visual,0.9999961853027344,0.002769678831100464
astronaut,44,visual,0.9999964237213135,0.0027103303000330925
astronaut,44,visual,0.9999958276748657,0.002884061774238944
astronaut,44,visual,0.9999961256980896,0.0027880643028765917
astronaut,44,visual,0.9999964833259583,0.0027538191061466932
astronaut,44,visual,0.9999960660934448,0.002739951014518738
astronaut,44,visual,0.9999961256980896,0.0028362611774355173
astronaut,44,visual,0.9999964237213135,0.0027051225770264864
astronaut,44,visual,0.9999963045120239,0.002747452352195978
astronaut,44,visual,0.9999960064888,0.0028750854544341564
astronaut,44,visual,0.9999962449073792,0.002780296839773655
astronaut,44,visual,0.9999966025352478,0.002622701693326235
astronaut,44,visual,0.9999959468841553,0.002836814383044839
astronaut,44,visual,0.9999968409538269,0.002493936335667968
astronaut,44,visual,0.999996542930603,0.002653716830536723
astronaut,44,text,0.9999970197677612,0.002478220732882619
astronaut,44,text,0.9999963045120239,0.0027372585609555244
astronaut,44,text,0.9999962449073792,0.0027542796451598406
astronaut,47,visual,0.9999986290931702,0.001760433311574161
