layer,region,expert,modality,tokens,pairwise_cosine,normalized_dispersion,centered_participation_rank,nearest_neighbor_relative_l2
4,early,11,visual,8,0.09331395112485284,0.9070529846780884,6.186433669863858,1.2871535280037534
4,early,11,text,8,0.22747950274287626,0.8245171527050952,2.749656198232227,0.7343835571836619
4,early,27,visual,11,0.28903866166467734,0.8057746912648175,7.881231016612955,0.970355156665694
4,early,27,text,11,0.9525530435062881,0.21049372392649698,5.540918012134318,0.19298544733222772
4,early,32,visual,13,0.20622045019741464,0.8608525525126709,8.875232112033334,1.0498373691605987
4,early,32,text,13,0.42395631165215836,0.7400551432489597,3.0672536623811717,0.31576911720187134
4,early,34,visual,32,0.2470155587285066,0.8745179468236776,17.72856794543862,0.9820967644514518
4,early,34,text,32,0.31581248088094316,0.8960527589840716,1.9544023514208317,0.3085504486763077
4,early,38,visual,12,0.26011137420651104,0.8857943141285217,5.61320404304415,1.0766556699498895
4,early,38,text,12,0.7759800979345669,0.43332554898259684,2.9437183708077588,0.3712120665402394
4,early,47,visual,20,0.4590474793331275,0.7245460391975468,12.566390599060789,0.8205168451489625
4,early,47,text,20,0.45287263260738775,0.7428383335153503,3.17186654983558,0.16723442054365878
4,early,52,visual,9,0.31694220555174896,0.7842579203409026,3.9515924567013334,0.5386300349887531
4,early,52,text,9,0.24255143031890458,0.8452057824827541,4.422152579225213,0.6415729993854478
4,early,63,visual,13,0.35354931638616405,0.7751113834180845,8.488798310185341,0.8604642773564842
4,early,63,text,13,0.3744779739952292,0.7809010749103136,1.700769656624205,0.26126311165631033
4,early,73,visual,13,0.1573147069945741,0.8987803850778744,8.212684182622477,0.9405018925521662
4,early,73,text,13,0.23438942071907554,0.8931918377889204,3.6841978407517124,0.4834624815747889
4,early,75,visual,8,0.17831599277897858,0.8504604435150814,6.6492582278278,1.2313942649951544
4,early,75,text,8,0.6471634718415792,0.5594193383667332,1.1995094666963055,0.18622951503694068
