scope,key,source,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,21,vision,15414,123312,3.638575321136629,4.0,4.0,0.660243934085896,0.9783313870507331,33455,30828.0,0.06961372259009987,1.0852147398468925,0,40671.0
layer,22,vision,15414,123312,3.6071752951861944,4.0,4.0,0.6304009342156481,0.9767743609705463,35173,30828.0,0.08597428169714229,1.1409432983002465,1,40187.0
layer,23,vision,15414,123312,3.6420786298170493,4.0,4.0,0.6591410406124303,0.9829375892046192,34910,30828.0,0.08642802700408947,1.132412092902556,0,40725.0
layer,24,vision,15414,123312,3.5683145192681978,4.0,4.0,0.593486440897885,0.9749578305436616,33565,30828.0,0.11155756962557743,1.0887829246139873,3,39588.0
layer,25,vision,15414,123312,3.5968599974049567,4.0,4.0,0.6209939016478526,0.9759958479304528,33184,30828.0,0.06789466123426746,1.0764240301025043,1,40028.0
layer,26,vision,15414,123312,3.6673803036200856,4.0,4.0,0.6791877513948359,0.9881925522252498,34937,30828.0,0.07972425414432978,1.1332879200726613,0,41115.0
layer,27,vision,15414,123312,3.5903723887375114,4.0,4.0,0.6106137277799403,0.979758660957571,38874,30828.0,0.17465062613626267,1.2609964966913196,1,39928.0
layer,28,vision,15414,123312,3.5967302452316074,4.0,4.0,0.6199558842610614,0.9767743609705463,36986,30828.0,0.13424344030077667,1.199753470870637,2,40026.0
layer,29,vision,15414,123312,3.6432463993771895,4.0,4.0,0.6646555079797587,0.9785908913974309,35581,30828.0,0.11292912873774122,1.1541780199818348,2,40743.0
layer,30,vision,15414,123312,3.6393538341767226,4.0,4.0,0.6562216167120799,0.9831322174646425,34146,30828.0,0.10044588480552681,1.1076294277929155,2,40683.0
layer,31,vision,15414,123312,3.6745166731542755,4.0,4.0,0.6848319709355132,0.9896847022187621,34321,30828.0,0.09782915108913613,1.11330608537693,0,41225.0
layer,32,vision,15414,123312,3.598676527831841,4.0,4.0,0.6227455559880628,0.9759309718437784,33549,30828.0,0.09749289676399531,1.0882639159205916,0,40056.0
layer,33,vision,15414,123312,3.6557026080186845,4.0,4.0,0.6780848579213702,0.9776177500973141,32667,30828.0,0.04171298414155519,1.0596535616971585,0,40935.0
layer,34,vision,15414,123312,3.650188140651356,4.0,4.0,0.6685480731802258,0.9817698196444791,35094,30828.0,0.08069859922157661,1.1383806928766056,1,40850.0
layer,35,vision,15414,123312,3.611262488646685,4.0,4.0,0.6258596081484364,0.9854028804982483,34446,30828.0,0.06796995878897165,1.1173608407940834,0,40250.0
layer,36,vision,15414,123312,3.617620345140781,4.0,4.0,0.6349422602828597,0.9826780848579214,35531,30828.0,0.08910953978442662,1.1525561178149735,3,40348.0
layer,37,vision,15414,123312,3.5666926171013364,4.0,4.0,0.5917996626443492,0.9749578305436616,32214,30828.0,0.056233254424273973,1.0449591280653951,1,39563.0
layer,38,vision,15414,123312,3.6753600622810434,4.0,4.0,0.6862592448423511,0.989100817438692,33120,30828.0,0.04513674761756206,1.0743479953289217,3,41238.0
layer,39,vision,15414,123312,3.6102244712598934,4.0,4.0,0.6320228363825094,0.9782016348773842,38249,30828.0,0.1721817711213654,1.2407227196055535,1,40234.0
layer,40,vision,15414,123312,3.7020890099909174,4.0,4.0,0.7118852990787595,0.9902037109121578,31174,30828.0,0.007265252779421863,1.0112235629946802,1,41650.0
layer,41,vision,15414,123312,3.6660827818865966,4.0,4.0,0.6795121318282081,0.9865706500583885,34187,30828.0,0.07877598359376155,1.1089593875697419,2,41095.0
layer,42,vision,15414,123312,3.6430517711171664,4.0,4.0,0.6571947580121967,0.9859218891916439,36172,30828.0,0.11313975663005835,1.1733489035941351,1,40740.0
layer,43,vision,15414,123312,3.639548462436746,4.0,4.0,0.6544050862851952,0.9851433761515506,34792,30828.0,0.09622267830656407,1.1285844037887636,2,40686.0
layer,44,vision,15414,123312,3.6503178928247046,4.0,4.0,0.6687427014402492,0.9815751913844557,32614,30828.0,0.056188061247375465,1.0579343454002854,2,40852.0
layer,45,vision,15414,123312,3.6403918515635136,4.0,4.0,0.6630336058128974,0.9774231218372907,35874,30828.0,0.09614886386105609,1.1636823666796419,0,40699.0
layer,46,vision,15414,123312,3.638315816789931,4.0,4.0,0.6592059166991047,0.9792396522641754,35194,30828.0,0.08664597885249885,1.1416244972103282,0,40667.0
layer,47,vision,15414,123312,3.639872842870118,4.0,4.0,0.6570650058388477,0.9828078370312703,36324,30828.0,0.17936418439193028,1.1782794861813934,0,40691.0
request_layer,coins:L0,vision,108,864,3.4814814814814814,4.0,4.0,0.5370370370370371,0.9444444444444444,275,216.0,0.19314490782410326,1.2731481481481481,3,268.0
request_layer,coins:L1,vision,108,864,3.675925925925926,4.0,4.0,0.6944444444444444,0.9814814814814815,263,216.0,0.16187160867636194,1.2175925925925926,3,289.0
request_layer,coins:L2,vision,108,864,3.7314814814814814,4.0,4.0,0.7407407407407407,0.9907407407407407,301,216.0,0.22931859909362048,1.3935185185185186,0,295.0
request_layer,coins:L3,vision,108,864,3.6296296296296298,4.0,4.0,0.6388888888888888,0.9907407407407407,297,216.0,0.2259050536806639,1.375,2,284.0
request_layer,coins:L4,vision,108,864,3.759259259259259,4.0,4.0,0.7592592592592593,1.0,285,216.0,0.22941204595939535,1.3194444444444444,0,298.0
request_layer,coins:L5,vision,108,864,3.7777777777777777,4.0,4.0,0.7777777777777778,1.0,285,216.0,0.20129574261397837,1.3194444444444444,1,300.0
request_layer,coins:L6,vision,108,864,3.759259259259259,4.0,4.0,0.7685185185185185,0.9907407407407407,266,216.0,0.17882599922062933,1.2314814814814814,0,298.0
request_layer,coins:L7,vision,108,864,3.4444444444444446,3.0,4.0,0.49074074074074076,0.9537037037037037,364,216.0,0.4472207844467342,1.6851851851851851,3,264.0
request_layer,coins:L8,vision,108,864,3.787037037037037,4.0,4.0,0.7870370370370371,1.0,259,216.0,0.11934211809861335,1.1990740740740742,1,301.0
request_layer,coins:L9,vision,108,864,3.6944444444444446,4.0,4.0,0.7129629629629629,0.9814814814814815,285,216.0,0.28356245274904346,1.3194444444444444,2,291.0
request_layer,coins:L10,vision,108,864,3.759259259259259,4.0,4.0,0.7592592592592593,1.0,250,216.0,0.09504844985022133,1.1574074074074074,0,298.0
request_layer,coins:L11,vision,108,864,3.6574074074074074,4.0,4.0,0.6666666666666666,0.9907407407407407,281,216.0,0.23982643329498915,1.3009259259259258,2,287.0
request_layer,coins:L12,vision,108,864,3.6018518518518516,4.0,4.0,0.6203703703703703,0.9814814814814815,300,216.0,0.25611937936895796,1.3888888888888888,1,281.0
request_layer,coins:L13,vision,108,864,3.740740740740741,4.0,4.0,0.75,0.9907407407407407,264,216.0,0.16727640523277468,1.2222222222222223,1,296.0
request_layer,coins:L14,vision,108,864,3.4722222222222223,4.0,4.0,0.5370370370370371,0.9351851851851852,340,216.0,0.34785436284506044,1.5740740740740742,1,267.0
request_layer,coins:L15,vision,108,864,3.6018518518518516,4.0,4.0,0.6111111111111112,0.9907407407407407,300,216.0,0.2601670614486503,1.3888888888888888,1,281.0
request_layer,coins:L16,vision,108,864,3.574074074074074,4.0,4.0,0.5833333333333334,0.9907407407407407,287,216.0,0.2655688888124425,1.3287037037037037,0,278.0
request_layer,coins:L17,vision,108,864,3.685185185185185,4.0,4.0,0.6851851851851852,1.0,272,216.0,0.22528750112215626,1.2592592592592593,1,290.0
request_layer,coins:L18,vision,108,864,3.787037037037037,4.0,4.0,0.7870370370370371,1.0,296,216.0,0.23201327802455232,1.3703703703703705,3,301.0
request_layer,coins:L19,vision,108,864,3.6203703703703702,4.0,4.0,0.6481481481481481,0.9722222222222222,351,216.0,0.38631755738515555,1.625,3,283.0
request_layer,coins:L20,vision,108,864,3.7685185185185186,4.0,4.0,0.8055555555555556,0.9629629629629629,293,216.0,0.2084361886016746,1.3564814814814814,0,299.0
request_layer,coins:L21,vision,108,864,3.6203703703703702,4.0,4.0,0.6203703703703703,1.0,271,216.0,0.27414679340584136,1.2546296296296295,2,283.0
request_layer,coins:L22,vision,108,864,3.675925925925926,4.0,4.0,0.6944444444444444,0.9814814814814815,296,216.0,0.2294587551212271,1.3703703703703705,0,289.0
request_layer,coins:L23,vision,108,864,3.7222222222222223,4.0,4.0,0.7314814814814815,0.9907407407407407,280,216.0,0.17288428101701706,1.2962962962962963,1,294.0
request_layer,coins:L24,vision,108,864,3.537037037037037,4.0,4.0,0.5833333333333334,0.9537037037037037,293,216.0,0.21653109877164012,1.3564814814814814,2,274.0
request_layer,coins:L25,vision,108,864,3.4814814814814814,4.0,4.0,0.5370370370370371,0.9444444444444444,276,216.0,0.2755310373401206,1.2777777777777777,1,268.0
request_layer,coins:L26,vision,108,864,3.712962962962963,4.0,4.0,0.7129629629629629,1.0,245,216.0,0.1285920778919551,1.1342592592592593,1,293.0
request_layer,coins:L27,vision,108,864,3.5925925925925926,4.0,4.0,0.6018518518518519,0.9907407407407407,277,216.0,0.19920861086990893,1.2824074074074074,1,280.0
request_layer,coins:L28,vision,108,864,3.6481481481481484,4.0,4.0,0.6481481481481481,1.0,238,216.0,0.09282378544334918,1.1018518518518519,0,286.0
request_layer,coins:L29,vision,108,864,3.7222222222222223,4.0,4.0,0.7222222222222222,1.0,274,216.0,0.15798505121066256,1.2685185185185186,2,294.0
request_layer,coins:L30,vision,108,864,3.7222222222222223,4.0,4.0,0.7314814814814815,0.9907407407407407,252,216.0,0.11825962754115557,1.1666666666666667,3,294.0
request_layer,coins:L31,vision,108,864,3.638888888888889,4.0,4.0,0.6481481481481481,0.9907407407407407,304,216.0,0.25258013573063587,1.4074074074074074,3,285.0
request_layer,coins:L32,vision,108,864,3.6944444444444446,4.0,4.0,0.7037037037037037,0.9907407407407407,287,216.0,0.19427903016997486,1.3287037037037037,0,291.0
request_layer,coins:L33,vision,108,864,3.6481481481481484,4.0,4.0,0.6759259259259259,0.9722222222222222,292,216.0,0.3294039229342062,1.3518518518518519,0,286.0
request_layer,coins:L34,vision,108,864,3.5277777777777777,4.0,4.0,0.5555555555555556,0.9722222222222222,274,216.0,0.15631428718642718,1.2685185185185186,0,273.0
request_layer,coins:L35,vision,108,864,3.5833333333333335,4.0,4.0,0.5833333333333334,1.0,242,216.0,0.11283386673105501,1.1203703703703705,1,279.0
request_layer,coins:L36,vision,108,864,3.5277777777777777,4.0,4.0,0.5462962962962963,0.9814814814814815,252,216.0,0.19848102879838905,1.1666666666666667,2,273.0
request_layer,coins:L37,vision,108,864,3.75,4.0,4.0,0.7592592592592593,0.9907407407407407,227,216.0,0.03540985773328323,1.0509259259259258,0,297.0
request_layer,coins:L38,vision,108,864,3.685185185185185,4.0,4.0,0.6944444444444444,0.9907407407407407,231,216.0,0.07677372199896759,1.0694444444444444,1,290.0
request_layer,coins:L39,vision,108,864,3.638888888888889,4.0,4.0,0.6574074074074074,0.9814814814814815,234,216.0,0.06998248360106933,1.0833333333333333,0,285.0
request_layer,coins:L40,vision,108,864,3.6203703703703702,4.0,4.0,0.6296296296296297,0.9907407407407407,253,216.0,0.10633040812829492,1.1712962962962963,0,283.0
request_layer,coins:L41,vision,108,864,3.824074074074074,4.0,4.0,0.8240740740740741,1.0,253,216.0,0.10367683183591987,1.1712962962962963,2,305.0
request_layer,coins:L42,vision,108,864,3.4722222222222223,3.0,4.0,0.48148148148148145,0.9907407407407407,290,216.0,0.2208677859606771,1.3425925925925926,1,267.0
request_layer,coins:L43,vision,108,864,3.685185185185185,4.0,4.0,0.6851851851851852,1.0,268,216.0,0.23717534304191648,1.2407407407407407,1,290.0
request_layer,coins:L44,vision,108,864,3.7222222222222223,4.0,4.0,0.7314814814814815,0.9907407407407407,256,216.0,0.12279432601735968,1.1851851851851851,1,294.0
request_layer,coins:L45,vision,108,864,3.638888888888889,4.0,4.0,0.6666666666666666,0.9722222222222222,273,216.0,0.208024462395009,1.2638888888888888,0,285.0
request_layer,coins:L46,vision,108,864,3.6944444444444446,4.0,4.0,0.7129629629629629,0.9814814814814815,271,216.0,0.1507653656290165,1.2546296296296295,2,291.0
request_layer,coins:L47,vision,108,864,3.759259259259259,4.0,4.0,0.7685185185185185,0.9907407407407407,264,216.0,0.2041503940773087,1.2222222222222223,0,298.0
request_layer,clock_motion:L0,vision,108,864,3.638888888888889,4.0,4.0,0.6759259259259259,0.9629629629629629,259,216.0,0.20436026346614114,1.1990740740740742,1,285.0
request_layer,clock_motion:L1,vision,108,864,3.6203703703703702,4.0,4.0,0.6388888888888888,0.9814814814814815,281,216.0,0.178165568563832,1.3009259259259258,3,283.0
request_layer,clock_motion:L2,vision,108,864,3.638888888888889,4.0,4.0,0.6574074074074074,0.9814814814814815,233,216.0,0.07971840443390076,1.0787037037037037,0,285.0
request_layer,clock_motion:L3,vision,108,864,3.574074074074074,4.0,4.0,0.6111111111111112,0.9629629629629629,286,216.0,0.2585348676248095,1.3240740740740742,3,278.0
request_layer,clock_motion:L4,vision,108,864,3.740740740740741,4.0,4.0,0.7407407407407407,1.0,246,216.0,0.10336626648965791,1.1388888888888888,1,296.0
request_layer,clock_motion:L5,vision,108,864,3.75,4.0,4.0,0.75,1.0,232,216.0,0.06036298523335786,1.0740740740740742,0,297.0
request_layer,clock_motion:L6,vision,108,864,3.509259259259259,4.0,4.0,0.5740740740740741,0.9351851851851852,337,216.0,0.3236604503266103,1.5601851851851851,0,271.0
request_layer,clock_motion:L7,vision,108,864,3.5185185185185186,4.0,4.0,0.5370370370370371,0.9814814814814815,328,216.0,0.36922566157194076,1.5185185185185186,2,272.0
request_layer,clock_motion:L8,vision,108,864,3.7962962962962963,4.0,4.0,0.8148148148148148,0.9814814814814815,264,216.0,0.1646287443212458,1.2222222222222223,1,302.0
request_layer,clock_motion:L9,vision,108,864,3.7037037037037037,4.0,4.0,0.7037037037037037,1.0,318,216.0,0.28668212825563383,1.4722222222222223,0,292.0
request_layer,clock_motion:L10,vision,108,864,3.759259259259259,4.0,4.0,0.7592592592592593,1.0,251,216.0,0.1298361450220385,1.162037037037037,2,298.0
request_layer,clock_motion:L11,vision,108,864,3.7314814814814814,4.0,4.0,0.7407407407407407,0.9907407407407407,254,216.0,0.14023269658204593,1.1759259259259258,1,295.0
request_layer,clock_motion:L12,vision,108,864,3.574074074074074,4.0,4.0,0.6111111111111112,0.9629629629629629,291,216.0,0.20102937258514067,1.3472222222222223,3,278.0
request_layer,clock_motion:L13,vision,108,864,3.6481481481481484,4.0,4.0,0.7037037037037037,0.9444444444444444,247,216.0,0.12366398508512112,1.1435185185185186,3,286.0
request_layer,clock_motion:L14,vision,108,864,3.5555555555555554,4.0,4.0,0.5833333333333334,0.9722222222222222,289,216.0,0.2370171432624112,1.337962962962963,1,276.0
request_layer,clock_motion:L15,vision,108,864,3.5462962962962963,4.0,4.0,0.5555555555555556,0.9907407407407407,319,216.0,0.3285895733004257,1.4768518518518519,1,275.0
request_layer,clock_motion:L16,vision,108,864,3.7037037037037037,4.0,4.0,0.7222222222222222,0.9814814814814815,261,216.0,0.12589698741562175,1.2083333333333333,1,292.0
request_layer,clock_motion:L17,vision,108,864,3.5462962962962963,4.0,4.0,0.5925925925925926,0.9537037037037037,334,216.0,0.338200702783882,1.5462962962962963,3,275.0
request_layer,clock_motion:L18,vision,108,864,3.6944444444444446,4.0,4.0,0.6944444444444444,1.0,260,216.0,0.12196240622518048,1.2037037037037037,0,291.0
request_layer,clock_motion:L19,vision,108,864,3.5925925925925926,4.0,4.0,0.5925925925925926,1.0,304,216.0,0.29653130147962736,1.4074074074074074,2,280.0
request_layer,clock_motion:L20,vision,108,864,3.5925925925925926,4.0,4.0,0.6203703703703703,0.9722222222222222,278,216.0,0.21558868429398245,1.287037037037037,0,280.0
request_layer,clock_motion:L21,vision,108,864,3.7037037037037037,4.0,4.0,0.7037037037037037,1.0,253,216.0,0.12958828705813338,1.1712962962962963,0,292.0
request_layer,clock_motion:L22,vision,108,864,3.574074074074074,4.0,4.0,0.5833333333333334,0.9907407407407407,270,216.0,0.19861596730659847,1.25,2,278.0
request_layer,clock_motion:L23,vision,108,864,3.685185185185185,4.0,4.0,0.6851851851851852,1.0,229,216.0,0.09891602138528471,1.0601851851851851,3,290.0
request_layer,clock_motion:L24,vision,108,864,3.7037037037037037,4.0,4.0,0.7222222222222222,0.9814814814814815,263,216.0,0.15126212271022724,1.2175925925925926,3,292.0
request_layer,clock_motion:L25,vision,108,864,3.4814814814814814,4.0,4.0,0.5370370370370371,0.9444444444444444,316,216.0,0.30275441636004985,1.462962962962963,3,268.0
request_layer,clock_motion:L26,vision,108,864,3.712962962962963,4.0,4.0,0.7222222222222222,0.9907407407407407,251,216.0,0.1861663820637324,1.162037037037037,1,293.0
request_layer,clock_motion:L27,vision,108,864,3.5277777777777777,4.0,4.0,0.5370370370370371,0.9907407407407407,266,216.0,0.22588133287903603,1.2314814814814814,3,273.0
request_layer,clock_motion:L28,vision,108,864,3.7222222222222223,4.0,4.0,0.7222222222222222,1.0,263,216.0,0.1354908391357583,1.2175925925925926,1,294.0
request_layer,clock_motion:L29,vision,108,864,3.574074074074074,4.0,4.0,0.6111111111111112,0.9629629629629629,252,216.0,0.18288502051021926,1.1666666666666667,3,278.0
request_layer,clock_motion:L30,vision,108,864,3.564814814814815,4.0,4.0,0.5740740740740741,0.9907407407407407,239,216.0,0.06202667132858455,1.1064814814814814,1,277.0
request_layer,clock_motion:L31,vision,108,864,3.6018518518518516,4.0,4.0,0.6203703703703703,0.9814814814814815,269,216.0,0.17378078128818017,1.2453703703703705,2,281.0
request_layer,clock_motion:L32,vision,108,864,3.759259259259259,4.0,4.0,0.7685185185185185,0.9907407407407407,268,216.0,0.14042361933428799,1.2407407407407407,0,298.0
request_layer,clock_motion:L33,vision,108,864,3.6666666666666665,4.0,4.0,0.6759259259259259,0.9907407407407407,251,216.0,0.12218188167033933,1.162037037037037,0,288.0
request_layer,clock_motion:L34,vision,108,864,3.6203703703703702,4.0,4.0,0.6296296296296297,0.9907407407407407,245,216.0,0.1730701448381365,1.1342592592592593,3,283.0
request_layer,clock_motion:L35,vision,108,864,3.564814814814815,4.0,4.0,0.5925925925925926,0.9722222222222222,255,216.0,0.12657613994900294,1.1805555555555556,0,277.0
request_layer,clock_motion:L36,vision,108,864,3.6296296296296298,4.0,4.0,0.6296296296296297,1.0,245,216.0,0.12699876596615928,1.1342592592592593,3,284.0
request_layer,clock_motion:L37,vision,108,864,3.6203703703703702,4.0,4.0,0.6296296296296297,0.9907407407407407,255,216.0,0.13564893818503346,1.1805555555555556,0,283.0
request_layer,clock_motion:L38,vision,108,864,3.638888888888889,4.0,4.0,0.6481481481481481,0.9907407407407407,236,216.0,0.09639195747063432,1.0925925925925926,0,285.0
request_layer,clock_motion:L39,vision,108,864,3.5833333333333335,4.0,4.0,0.6018518518518519,0.9814814814814815,310,216.0,0.30627370712529156,1.4351851851851851,1,279.0
request_layer,clock_motion:L40,vision,108,864,3.675925925925926,4.0,4.0,0.6851851851851852,0.9907407407407407,241,216.0,0.10847568994314798,1.1157407407407407,3,289.0
request_layer,clock_motion:L41,vision,108,864,3.638888888888889,4.0,4.0,0.6481481481481481,0.9907407407407407,245,216.0,0.11771464939899186,1.1342592592592593,3,285.0
request_layer,clock_motion:L42,vision,108,864,3.537037037037037,4.0,4.0,0.5648148148148148,0.9722222222222222,289,216.0,0.19731674834376006,1.337962962962963,1,274.0
request_layer,clock_motion:L43,vision,108,864,3.6574074074074074,4.0,4.0,0.6574074074074074,1.0,261,216.0,0.14832888281111847,1.2083333333333333,1,287.0
request_layer,clock_motion:L44,vision,108,864,3.7314814814814814,4.0,4.0,0.7314814814814815,1.0,242,216.0,0.07400170075530454,1.1203703703703705,2,295.0
request_layer,clock_motion:L45,vision,108,864,3.6944444444444446,4.0,4.0,0.7037037037037037,0.9907407407407407,246,216.0,0.09777181519417998,1.1388888888888888,0,291.0
request_layer,clock_motion:L46,vision,108,864,3.574074074074074,4.0,4.0,0.5925925925925926,0.9814814814814815,270,216.0,0.15593675734351195,1.25,0,278.0
request_layer,clock_motion:L47,vision,108,864,3.6018518518518516,4.0,4.0,0.6296296296296297,0.9722222222222222,301,216.0,0.28071365182510744,1.3935185185185186,0,281.0
request_layer,cat:L0,vision,126,1008,3.6031746031746033,4.0,4.0,0.626984126984127,0.9761904761904762,329,252.0,0.19940229406985893,1.3055555555555556,0,328.0
request_layer,cat:L1,vision,126,1008,3.5952380952380953,4.0,4.0,0.626984126984127,0.9682539682539683,298,252.0,0.11904761904761904,1.1825396825396826,1,327.0
request_layer,cat:L2,vision,126,1008,3.6746031746031744,4.0,4.0,0.6904761904761905,0.9841269841269841,289,252.0,0.10442616957889497,1.1468253968253967,1,337.0
request_layer,cat:L3,vision,126,1008,3.6746031746031744,4.0,4.0,0.6825396825396826,0.9920634920634921,336,252.0,0.21356802212781245,1.3333333333333333,3,337.0
request_layer,cat:L4,vision,126,1008,3.753968253968254,4.0,4.0,0.7619047619047619,0.9920634920634921,286,252.0,0.10097627499999581,1.1349206349206349,3,347.0
request_layer,cat:L5,vision,126,1008,3.5238095238095237,4.0,4.0,0.5714285714285714,0.9523809523809523,288,252.0,0.12953173606309099,1.1428571428571428,1,318.0
request_layer,cat:L6,vision,126,1008,3.6825396825396823,4.0,4.0,0.6904761904761905,0.9920634920634921,313,252.0,0.23027843083260563,1.242063492063492,0,338.0
request_layer,cat:L7,vision,126,1008,3.6984126984126986,4.0,4.0,0.7063492063492064,0.9920634920634921,307,252.0,0.17070412033521778,1.2182539682539681,1,340.0
request_layer,cat:L8,vision,126,1008,3.6507936507936507,4.0,4.0,0.6746031746031746,0.9761904761904762,344,252.0,0.21238501550197877,1.3650793650793651,2,334.0
request_layer,cat:L9,vision,126,1008,3.7063492063492065,4.0,4.0,0.7142857142857143,0.9920634920634921,301,252.0,0.18320702719823498,1.1944444444444444,0,341.0
request_layer,cat:L10,vision,126,1008,3.7063492063492065,4.0,4.0,0.7222222222222222,0.9841269841269841,280,252.0,0.10972060764046422,1.1111111111111112,2,341.0
request_layer,cat:L11,vision,126,1008,3.6666666666666665,4.0,4.0,0.6746031746031746,0.9920634920634921,339,252.0,0.24282666579177734,1.3452380952380953,1,336.0
request_layer,cat:L12,vision,126,1008,3.619047619047619,4.0,4.0,0.6587301587301587,0.9603174603174603,393,252.0,0.3299979576503678,1.5595238095238095,1,330.0
request_layer,cat:L13,vision,126,1008,3.6031746031746033,4.0,4.0,0.6111111111111112,0.9920634920634921,312,252.0,0.24954291800495929,1.2380952380952381,0,328.0
request_layer,cat:L14,vision,126,1008,3.634920634920635,4.0,4.0,0.6428571428571429,0.9920634920634921,285,252.0,0.12989593097883262,1.130952380952381,2,332.0
request_layer,cat:L15,vision,126,1008,3.5634920634920637,4.0,4.0,0.5793650793650794,0.9841269841269841,344,252.0,0.36344743955657716,1.3650793650793651,3,323.0
request_layer,cat:L16,vision,126,1008,3.5952380952380953,4.0,4.0,0.6031746031746031,0.9920634920634921,290,252.0,0.11237938300401823,1.1507936507936507,1,327.0
request_layer,cat:L17,vision,126,1008,3.7063492063492065,4.0,4.0,0.7063492063492064,1.0,342,252.0,0.22145914905218209,1.3571428571428572,1,341.0
request_layer,cat:L18,vision,126,1008,3.619047619047619,4.0,4.0,0.6190476190476191,1.0,316,252.0,0.2225231805579219,1.253968253968254,1,330.0
request_layer,cat:L19,vision,126,1008,3.6587301587301586,4.0,4.0,0.6587301587301587,1.0,297,252.0,0.11339073065261547,1.1785714285714286,1,335.0
request_layer,cat:L20,vision,126,1008,3.5396825396825395,4.0,4.0,0.6031746031746031,0.9365079365079365,326,252.0,0.24111837350735418,1.2936507936507937,2,320.0
request_layer,cat:L21,vision,126,1008,3.7222222222222223,4.0,4.0,0.7222222222222222,1.0,292,252.0,0.15335645919793334,1.1587301587301588,3,343.0
request_layer,cat:L22,vision,126,1008,3.7142857142857144,4.0,4.0,0.7301587301587301,0.9841269841269841,284,252.0,0.09748506743284323,1.126984126984127,3,342.0
