scope,key,source,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
global,global,vision,739872,5918976,3.631755222524977,4.0,4.0,0.6498664633882617,0.9819130876692185,1537563,1479744.0,0.024730104743741266,1.0390736505773972,1,1947162.0
layer,0,vision,15414,123312,3.598481899571818,4.0,4.0,0.6236538212015051,0.9748280783703127,33391,30828.0,0.08265694015534442,1.08313870507331,1,40053.0
layer,1,vision,15414,123312,3.587128584403789,4.0,4.0,0.6131438951602439,0.9739846892435449,35350,30828.0,0.13410503259498008,1.1466848319709355,1,39878.0
layer,2,vision,15414,123312,3.6590112884390815,4.0,4.0,0.6728298949007396,0.9862462696250163,35508,30828.0,0.08794463855770347,1.1518100428182172,0,40986.0
layer,3,vision,15414,123312,3.6574542623588946,4.0,4.0,0.6701050992604126,0.9873491630984819,35472,30828.0,0.12879432482026335,1.150642273258077,1,40962.0
layer,4,vision,15414,123312,3.6326067211625794,4.0,4.0,0.6501232645646815,0.982483456597898,34379,30828.0,0.0951373497802861,1.1151874918904892,1,40579.0
layer,5,vision,15414,123312,3.6967691708836123,4.0,4.0,0.7094200077851304,0.9873491630984819,35618,30828.0,0.11993566579664451,1.155378227585312,0,41568.0
layer,6,vision,15414,123312,3.612170753860127,4.0,4.0,0.632541845075905,0.9796289087842222,35130,30828.0,0.15958095292099317,1.1395484624367458,2,40264.0
layer,7,vision,15414,123312,3.616841832100688,4.0,4.0,0.6316984559491371,0.9851433761515506,40141,30828.0,0.18455419149288008,1.3020954975995849,3,40336.0
layer,8,vision,15414,123312,3.6248215907616452,4.0,4.0,0.6432463993771895,0.9816400674711302,37408,30828.0,0.12407757863768602,1.2134423251589463,1,40459.0
layer,9,vision,15414,123312,3.636045153756325,4.0,4.0,0.6538860775917996,0.9822239522512002,34252,30828.0,0.08403012360131422,1.1110678603866615,1,40632.0
layer,10,vision,15414,123312,3.6486959906578433,4.0,4.0,0.6644608797197353,0.9842351109381082,33447,30828.0,0.0565802843241775,1.0849552355001946,1,40827.0
layer,11,vision,15414,123312,3.607824056052939,4.0,4.0,0.6307901907356949,0.9770987414039185,34640,30828.0,0.12016598396371045,1.123653821201505,0,40197.0
layer,12,vision,15414,123312,3.574672375762294,4.0,4.0,0.6002984299987025,0.974438821850266,35124,30828.0,0.0979111885016791,1.1393538341767224,2,39686.0
layer,13,vision,15414,123312,3.609705462566498,4.0,4.0,0.6316335798624627,0.9781367587907097,33047,30828.0,0.05390953461138701,1.0719800181653043,1,40226.0
layer,14,vision,15414,123312,3.66744517970676,4.0,4.0,0.684961723108862,0.982483456597898,35257,30828.0,0.1179522415754654,1.1436680939405734,1,41116.0
layer,15,vision,15414,123312,3.605683145192682,4.0,4.0,0.6216426625145971,0.9841053587647594,40163,30828.0,0.19545592877087958,1.3028091345530037,1,40164.0
layer,16,vision,15414,123312,3.6474633450110288,4.0,4.0,0.6612170753860127,0.9862462696250163,36881,30828.0,0.11578030837620007,1.1963474763202284,2,40808.0
layer,17,vision,15414,123312,3.6505773971714026,4.0,4.0,0.6638121188529907,0.9867652783184119,32447,30828.0,0.04646071743121644,1.0525171921629688,0,40856.0
layer,18,vision,15414,123312,3.655767484105359,4.0,4.0,0.6713377449072272,0.9844297391981316,34999,30828.0,0.11956358718581252,1.1352990787595691,2,40936.0
layer,19,vision,15414,123312,3.651745166731543,4.0,4.0,0.6608926949526405,0.9908524717789023,35596,30828.0,0.14602581226669023,1.154664590631893,3,40874.0
layer,20,vision,15414,123312,3.6133385234202673,4.0,4.0,0.6308550668223692,0.982483456597898,34889,30828.0,0.10920111313069394,1.1317308939924744,1,40282.0
