case_id,kind,pair_key,side,request_id,layer,token_count,S,I,vision_fraction,metric,median_ms,p25_ms,p75_ms,p95_ms,cv,n_iterations,rank_medians_ms
pair_similar_I_different_S_00_low,similar_I_different_S,similar_I_different_S_00,low_S,grass,35,277,0.8844765342960289,1.167870036101083,0.924187725631769,dispatch_ms,0.19817599654197693,0.1695519983768463,0.3331200033426285,0.3674400091171265,0.34318248809159524,20,"{""0"": 0.19659200310707092, ""1"": 0.16792000085115433, ""2"": 0.19817599654197693, ""3"": 0.14899200201034546}"
pair_similar_I_different_S_00_low,similar_I_different_S,similar_I_different_S_00,low_S,grass,35,277,0.8844765342960289,1.167870036101083,0.924187725631769,combine_ms,0.0838719978928566,0.06825600005686283,0.1295200027525425,0.14751839488744736,0.3256647197896557,20,"{""0"": 0.08155200257897377, ""1"": 0.0838719978928566, ""2"": 0.08158399909734726, ""3"": 0.07812799885869026}"
pair_similar_I_different_S_00_low,similar_I_different_S,similar_I_different_S_00,low_S,grass,35,277,0.8844765342960289,1.167870036101083,0.924187725631769,total_ms,0.29305599629879,0.2507840096950531,0.48104000836610794,0.5105408161878586,0.3215846120074657,20,"{""0"": 0.29227200150489807, ""1"": 0.27052800357341766, ""2"": 0.29305599629879, ""3"": 0.2507519945502281}"
pair_similar_I_different_S_00_low,similar_I_different_S,similar_I_different_S_00,low_S,grass,35,277,0.8844765342960289,1.167870036101083,0.924187725631769,host_ms,0.31015400000000004,0.270001,0.49997925,0.52989475,0.30523177343120855,20,"{""0"": 0.31015400000000004, ""1"": 0.294639, ""2"": 0.309786, ""3"": 0.279332}"
pair_similar_I_different_S_00_high,similar_I_different_S,similar_I_different_S_00,high_S,brick,39,277,0.9395306859205776,1.167870036101083,0.924187725631769,dispatch_ms,0.14398399740457535,0.13687200099229813,0.24901599809527397,0.2989871889352802,0.6877879619659754,20,"{""0"": 0.14262399822473526, ""1"": 0.13465600460767746, ""2"": 0.14390400052070618, ""3"": 0.12649599462747574}"
pair_similar_I_different_S_00_high,similar_I_different_S,similar_I_different_S_00,high_S,brick,39,277,0.9395306859205776,1.167870036101083,0.924187725631769,combine_ms,0.0655680000782013,0.05861600022763014,0.10462399758398533,0.11088160239160061,0.28811315713461716,20,"{""0"": 0.06523199751973152, ""1"": 0.06364800035953522, ""2"": 0.06441599875688553, ""3"": 0.06552000343799591}"
pair_similar_I_different_S_00_high,similar_I_different_S,similar_I_different_S_00,high_S,brick,39,277,0.9395306859205776,1.167870036101083,0.924187725631769,total_ms,0.22230400145053864,0.20789599791169167,0.3675040006637573,0.41747200787067446,0.5056497596701627,20,"{""0"": 0.2210720032453537, ""1"": 0.21367999911308289, ""2"": 0.22102399915456772, ""3"": 0.20713600516319275}"
pair_similar_I_different_S_00_high,similar_I_different_S,similar_I_different_S_00,high_S,brick,39,277,0.9395306859205776,1.167870036101083,0.924187725631769,host_ms,0.2388105,0.22517125000000002,0.3859035,0.4351385000000003,0.4786303569295946,20,"{""0"": 0.2385695, ""1"": 0.232646, ""2"": 0.2373365, ""3"": 0.227711}"
pair_similar_I_different_S_01_low,similar_I_different_S,similar_I_different_S_01,low_S,tui_log,37,1255,0.8555776892430279,1.3693227091633466,0.9816733067729083,dispatch_ms,0.21964799612760544,0.21321600303053856,0.27008800208568573,0.3295632109045982,0.18506412560516408,20,"{""0"": 0.20871999859809875, ""1"": 0.21827200055122375, ""2"": 0.21964799612760544, ""3"": 0.21193600445985794}"
pair_similar_I_different_S_01_low,similar_I_different_S,similar_I_different_S_01,low_S,tui_log,37,1255,0.8555776892430279,1.3693227091633466,0.9816733067729083,combine_ms,0.1247519999742508,0.12159200198948383,0.12584000453352928,0.1273759938776493,0.021804150860118946,20,"{""0"": 0.1247519999742508, ""1"": 0.11686399951577187, ""2"": 0.10980800166726112, ""3"": 0.11753600090742111}"
pair_similar_I_different_S_01_low,similar_I_different_S,similar_I_different_S_01,low_S,tui_log,37,1255,0.8555776892430279,1.3693227091633466,0.9816733067729083,total_ms,0.3485120087862015,0.34032800048589706,0.4022879898548126,0.4572832092642784,0.11994878970938369,20,"{""0"": 0.3461280018091202, ""1"": 0.3485120087862015, ""2"": 0.3429120033979416, ""3"": 0.34060800075531006}"
pair_similar_I_different_S_01_low,similar_I_different_S,similar_I_different_S_01,low_S,tui_log,37,1255,0.8555776892430279,1.3693227091633466,0.9816733067729083,host_ms,0.3643885,0.35805349999999997,0.42196425,0.47568535,0.1163574919158948,20,"{""0"": 0.363853, ""1"": 0.3643885, ""2"": 0.358649, ""3"": 0.35849050000000005}"
pair_similar_I_different_S_01_high,similar_I_different_S,similar_I_different_S_01,high_S,tui_main,10,1255,0.9103585657370518,1.3681274900398406,0.9816733067729083,dispatch_ms,0.2213279977440834,0.21088800206780434,0.2553679943084717,0.32675519585609436,0.18181637203756792,20,"{""0"": 0.21427199989557266, ""1"": 0.2213279977440834, ""2"": 0.21438399702310562, ""3"": 0.2115359976887703}"
pair_similar_I_different_S_01_high,similar_I_different_S,similar_I_different_S_01,high_S,tui_main,10,1255,0.9103585657370518,1.3681274900398406,0.9816733067729083,combine_ms,0.11764800176024437,0.1169119980186224,0.11975200101733208,0.12170400246977806,0.01592842969665267,20,"{""0"": 0.1170559972524643, ""1"": 0.10943999886512756, ""2"": 0.11499200016260147, ""3"": 0.11560000106692314}"
pair_similar_I_different_S_01_high,similar_I_different_S,similar_I_different_S_01,high_S,tui_main,10,1255,0.9103585657370518,1.3681274900398406,0.9816733067729083,total_ms,0.3476160019636154,0.33882400393486023,0.383727990090847,0.45443039983510974,0.1216667440373185,20,"{""0"": 0.3476160019636154, ""1"": 0.3434560000896454, ""2"": 0.3453120142221451, ""3"": 0.34385600686073303}"
pair_similar_I_different_S_01_high,similar_I_different_S,similar_I_different_S_01,high_S,tui_main,10,1255,0.9103585657370518,1.3681274900398406,0.9816733067729083,host_ms,0.36645550000000005,0.35629849999999996,0.40176425,0.47309095,0.11623783967926911,20,"{""0"": 0.36555950000000004, ""1"": 0.360386, ""2"": 0.3631945, ""3"": 0.3640685}"
pair_similar_I_different_S_02_low,similar_I_different_S,similar_I_different_S_02,low_S,tui_model_selection,12,1255,0.8621513944223107,1.350996015936255,0.9816733067729083,dispatch_ms,0.21000000089406967,0.20608000457286835,0.23710399493575096,0.33807519972324374,0.22014598636010363,20,"{""0"": 0.2083199992775917, ""1"": 0.2033120021224022, ""2"": 0.20828800648450851, ""3"": 0.20579199492931366}"
pair_similar_I_different_S_02_low,similar_I_different_S,similar_I_different_S_02,low_S,tui_model_selection,12,1255,0.8621513944223107,1.350996015936255,0.9816733067729083,combine_ms,0.12387199699878693,0.12138400226831436,0.12495999783277512,0.1277584031224251,0.027594238319291177,20,"{""0"": 0.11079999804496765, ""1"": 0.12387199699878693, ""2"": 0.11447999998927116, ""3"": 0.11376000195741653}"
pair_similar_I_different_S_02_low,similar_I_different_S,similar_I_different_S_02,low_S,tui_model_selection,12,1255,0.8621513944223107,1.350996015936255,0.9816733067729083,total_ms,0.3389120101928711,0.3365679979324341,0.36578401178121567,0.4634784087538719,0.13814663428605164,20,"{""0"": 0.3322400003671646, ""1"": 0.3389120101928711, ""2"": 0.33692799508571625, ""3"": 0.33288000524044037}"
pair_similar_I_different_S_02_low,similar_I_different_S,similar_I_different_S_02,low_S,tui_model_selection,12,1255,0.8621513944223107,1.350996015936255,0.9816733067729083,host_ms,0.35551900000000003,0.3532255,0.383286,0.4816174,0.13318020992862525,20,"{""0"": 0.350892, ""1"": 0.3551315, ""2"": 0.3543575, ""3"": 0.35111349999999997}"
pair_similar_I_different_S_02_high,similar_I_different_S,similar_I_different_S_02,high_S,tui_log,18,1255,0.9264940239043825,1.349402390438247,0.9816733067729083,dispatch_ms,0.2088960036635399,0.20549599453806877,0.21250399574637413,0.22435680255293852,0.09463211775003337,20,"{""0"": 0.2046240046620369, ""1"": 0.20865599811077118, ""2"": 0.20740799605846405, ""3"": 0.20191999524831772}"
