pair_key,kind,low_request,low_layer,high_request,high_layer,token_rel_diff,S_diff,I_diff
similar_I_different_S_00,similar_I_different_S,grass,35,brick,39,0.0,0.05505415162454874,0.0
similar_I_different_S_01,similar_I_different_S,tui_log,37,tui_main,10,0.0,0.054780876494023856,0.0011952191235060639
similar_I_different_S_02,similar_I_different_S,tui_model_selection,12,tui_log,18,0.0,0.06434262948207181,0.0015936254980080111
similar_I_different_S_03,similar_I_different_S,logo,0,moon,31,0.010752688172043012,0.050403225806451624,0.0016752376499922228
similar_S_different_I_04,similar_S_different_I,histology,35,brick,9,0.0,0.0,0.5270758122743684
similar_S_different_I_05,similar_S_different_I,phantom,38,color_wheel,6,0.0,0.0,0.42121212121212115
similar_S_different_I_06,similar_S_different_I,color_wheel,17,phantom,8,0.0,0.0,0.40909090909090917
similar_S_different_I_07,similar_S_different_I,histology,0,brick,6,0.0,0.0,0.40794223826714804
