block,policy,workload,requests,tokens_s,elapsed_s,joint_slo_fraction_ttft2_tpot02,max_arrival_lateness_ms,e2e_s_mean,e2e_s_p50,e2e_s_p90,e2e_s_p99,ttft_s_mean,ttft_s_p50,ttft_s_p90,ttft_s_p99,tpot_s_mean,tpot_s_p50,tpot_s_p90,tpot_s_p99
0,alp,short_high_concurrency,512,5227.898966078658,12.535819920245558,1,72.81737431883784,8.795988595658855,8.938884095055982,9.524437473155558,9.591029592519625,1.1623416746188013,1.2787768554408103,1.334816783387214,1.5722508032759652,0.0601070988744062,0.06151033340821292,0.06706125331441248,0.06727258894104862
0,alp,fastpp_official_azure_conv_192,192,535.3003115237905,83.39804599201307,1,92.13321164457255,10.011088415956086,7.837094931863248,19.045033401856198,21.94172889872454,0.2644723258490558,0.17804002040065825,0.5317185449879619,1.7400627984758468,0.04127420658985471,0.03986326758710504,0.046501061543058664,0.061306702183338814
0,alp,heterogeneous_steady,48,215.8557086053375,33.20736822905019,1,2.1398868411779404,6.921492178216188,6.065359537024051,11.837154192756861,12.329697826947086,0.5724000943009742,0.5688487375155091,0.960593713959679,0.9715240003634245,0.0430979373241092,0.04397015700417849,0.04501611896365235,0.045986873993857036
0,alp,heterogeneous_bursty,48,224.95059422166082,31.864774684421718,0.5,1.967675369233035,8.928580823684266,7.256560498382896,15.235063957283275,15.646621527932584,1.9240858354896773,1.9850928911473602,3.21641911272891,3.822194431270473,0.04822516465812838,0.04764915829502398,0.059070871925602356,0.06607399277839927
0,alp_rebalance,short_high_concurrency,512,5222.625061879322,12.54847882501781,1,41.447857171296846,8.762207264204335,8.89580706693232,9.484778891690075,9.56894250244368,1.205631665025976,1.3234667100477964,1.4007425420917572,1.6290048313280565,0.0595002417867721,0.06090732119559479,0.06626162760135697,0.06645232260641533
0,alp_rebalance,fastpp_official_azure_conv_192,192,535.5161605558189,83.36443097004667,1,4.088454155458443,9.769590183335822,7.649763677502051,18.532266240008177,21.87332994562108,0.2749138538832388,0.17956234118901193,0.6727424651850017,1.2376251755887644,0.04015786278558759,0.03944620665569105,0.04511923111698926,0.05414767890806045
0,alp_rebalance,heterogeneous_steady,48,217.09742172135125,33.01743495231494,1,1.9956580363214016,6.821647572573663,5.977241386426613,11.670989616634325,12.183935138420201,0.5612648074359944,0.5442772104870528,0.9407217408996076,0.9528118034126237,0.04249625706802287,0.04337102644739626,0.04440190098449439,0.04539882034691613
0,alp_rebalance,heterogeneous_bursty,48,224.24342790030704,31.96526233619079,0.6875,2.2784940898414874,8.56598672750018,7.259010573616251,14.50852621742525,15.77249371650163,1.5356469607407537,1.656696809688583,2.4340198535937816,2.704621426463127,0.048359040480828425,0.04756104499745814,0.05944624812090917,0.06679104147301543
0,pp_only,short_high_concurrency,512,5712.9065132002315,11.47156878001988,1,55.642261877655756,8.30818478412857,8.299670534906909,9.826979381544515,10.056000621896237,0.3011350532660799,0.2668389896862209,0.47092819768004124,0.5363714318489655,0.06304739896118759,0.0630048758727975,0.07614009297914862,0.07836393034411962
0,pp_only,fastpp_official_azure_conv_192,192,535.2164344892782,83.4111158088781,1,5.464682096822493,10.739418737779488,8.460192564409226,21.177040390390903,22.629527573552913,0.1575469666349818,0.16185361985117197,0.2820386446546763,0.409223122051917,0.044785280636061964,0.043616195191125015,0.05472796913588668,0.06486251205555259
