start_kst,end_kst,physical_gpus,run,status,evidence_use
2026-09-13T02:19:15+09:00,2026-09-13T02:28:59+09:00,"0;1;2;3",six clean mini32 restarts,complete,request E2E and quality
2026-09-13T02:29:11+09:00,2026-09-13T02:41:28+09:00,"0;1;2;3",initial diagnostic traces,mixed,"schema checks only; incomplete/failed runs excluded"
2026-09-13T02:43:00+09:00,2026-09-13T02:56:44+09:00,"0;1;2;3",selected corrected shape/stage/temporal traces,complete,structural and component analysis only
