dataset,layer,phase,observations,hidden_cosine_mean_median,hidden_rel_l2_mean_median,hidden_near_equal_fraction_median,hidden_live_cosine_mean_median,hidden_live_rel_l2_mean_median,moe_output_cosine_mean_median,moe_output_rel_l2_mean_median,moe_output_near_equal_fraction_median,moe_output_live_cosine_mean_median,moe_output_live_rel_l2_mean_median
gsm8k,1,early,1,0.8069270849227905,0.6264163255691528,0.0,0.9220378398895264,0.331984281539917,0.9117494821548462,0.33118173480033875,0.0,0.9770986437797546,0.1358044296503067
gsm8k,1,middle,27,0.906598687171936,0.3149285316467285,0.0,0.9287463426589966,0.3139302134513855,0.9489524364471436,0.20016679167747498,0.0,0.9787463545799255,0.1359698474407196
gsm8k,1,late,36,0.9491277039051056,0.20572584122419357,0.0,0.927789717912674,0.3204534202814102,0.962756484746933,0.1595747098326683,0.0,0.9723901450634003,0.16988231986761093
gsm8k,16,early,1,0.6279680728912354,0.8479795455932617,0.0,0.674171507358551,0.7809227705001831,0.6408389806747437,0.912760853767395,0.0,0.6717572212219238,0.8186467885971069
gsm8k,16,middle,27,0.8050518035888672,0.5155945420265198,0.0,0.7296321392059326,0.6946902871131897,0.8101691603660583,0.5523139834403992,0.0,0.7012917399406433,0.7676836848258972
gsm8k,16,late,36,0.8759937882423401,0.38803383708000183,0.0,0.8115177750587463,0.5492487251758575,0.864974856376648,0.4904857873916626,0.0,0.7974172830581665,0.6110957264900208
gsm8k,31,early,1,0.7853004932403564,0.5703241229057312,0.0,0.8624014258384705,0.4702361822128296,0.7564421892166138,0.4933570921421051,0.0,0.9380273818969727,0.30540817975997925
gsm8k,31,middle,27,0.868526041507721,0.41509291529655457,0.0,0.8755201101303101,0.4472661316394806,0.8780113458633423,0.3634389340877533,0.0,0.9451091289520264,0.29251253604888916
gsm8k,31,late,36,0.884745717048645,0.36179473996162415,0.0,0.8900217711925507,0.3945045471191406,0.8946605622768402,0.35561855137348175,0.0,0.9355832934379578,0.3022928982973099
humaneval,1,early,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
humaneval,1,middle,58,0.9229326844215393,0.2819346934556961,0.0,0.9423551559448242,0.2782502919435501,0.954058825969696,0.19190819561481476,0.0,0.9798718392848969,0.12621592730283737
humaneval,1,late,26,0.9459989666938782,0.20743831992149353,0.0,0.9190302789211273,0.36151912808418274,0.9621551930904388,0.17500772327184677,0.0,0.9670438766479492,0.18987299501895905
humaneval,16,early,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
humaneval,16,middle,58,0.7922801971435547,0.5418023765087128,0.0,0.6922707259654999,0.7445371747016907,0.7849577367305756,0.61916583776474,0.0,0.6908561289310455,0.7823003232479095
humaneval,16,late,26,0.8702530860900879,0.3844626396894455,0.0,0.7457948923110962,0.6780754923820496,0.864772766828537,0.4361543208360672,0.0,0.7357476055622101,0.7124763131141663
humaneval,31,early,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
humaneval,31,middle,58,0.8615522384643555,0.41766755282878876,0.0,0.8687764406204224,0.4740854799747467,0.88301220536232,0.3764880448579788,0.0,0.9311095476150513,0.3175886869430542
humaneval,31,late,26,0.8917397558689117,0.36097824573516846,0.0,0.865043580532074,0.47623781859874725,0.8994836211204529,0.341566801071167,0.0,0.9046505391597748,0.3574665039777756
