dataset,layer,rank,slow_wave,fast_wave,pairs_slow,pairs_fast,expert_ms_slow,expert_ms_fast,latency_ratio,active_experts_slow,active_experts_fast,rows_p50_slow,rows_p50_fast,tiny_le4_slow,tiny_le4_fast
humaneval,2,0,24,72,197,194,0.8526399731636047,0.6325119733810425,1.3480218700143896,52,45,3.0,2.0,0.6538461538461539,0.8
gsm8k,24,2,18,36,1410,1407,1.049280047416687,0.7844160199165344,1.3376575959378487,43,34,12.0,20.5,0.18604651162790697,0.14705882352941177
humaneval,28,2,47,45,1391,1393,1.2112959623336792,0.9075199961662292,1.3347319810590792,46,48,18.0,18.0,0.1956521739130435,0.2708333333333333
gsm8k,11,0,24,47,1166,1220,1.233728051185608,0.9248960018157959,1.333910027466331,51,52,13.0,12.0,0.23529411764705882,0.2692307692307692
humaneval,17,2,59,4,832,844,1.013856053352356,0.7620159983634949,1.3304918210768706,42,40,14.0,12.5,0.2619047619047619,0.225
humaneval,23,3,69,16,239,228,0.7630720138549805,0.5735359787940979,1.3304693028315262,47,27,2.0,4.0,0.6170212765957447,0.5925925925925926
humaneval,13,3,16,72,150,153,0.6139519810676575,0.4620800018310547,1.3286703138737652,32,24,2.0,3.0,0.6875,0.625
gsm8k,12,0,61,34,102,99,0.6111680269241333,0.46006399393081665,1.3284413363938221,20,19,3.0,3.0,0.65,0.5789473684210527
humaneval,13,3,16,76,150,149,0.6139519810676575,0.4622400104999542,1.3282103823154838,32,24,2.0,3.0,0.6875,0.625
humaneval,10,0,78,77,177,179,0.7395840287208557,0.5570880174636841,1.3275891879492245,32,33,4.0,4.0,0.53125,0.5454545454545454
humaneval,8,2,60,61,711,737,1.2473280429840088,0.9408640265464783,1.3257261493591512,54,56,8.0,6.0,0.42592592592592593,0.39285714285714285
humaneval,7,2,15,70,179,187,0.6843519806861877,0.516864001750946,1.3240465158491475,34,28,3.0,3.0,0.6764705882352942,0.6428571428571429
humaneval,1,1,27,26,91,90,0.6906560063362122,0.5231040120124817,1.3203034013811628,32,32,2.0,1.5,0.84375,0.875
gsm8k,14,2,24,26,642,623,1.0499839782714844,0.7953600287437439,1.320136718373834,49,44,6.0,7.0,0.3673469387755102,0.38636363636363635
