dataset,wave,layer,actual_expert_critical_ms,fragment_ideal_expert_critical_ms,fragment_removable_ms,actual_expert_critical_ms_p99_winsorized,fragment_ideal_expert_critical_ms_p99_trimmed,fragment_removable_ms_p99_trimmed,compact_predicted_expert_critical_ms,compact_ideal_expert_critical_ms,post_compaction_fragment_residual_ms,compaction_expert_work_removal_ms,compact_predicted_expert_critical_ms_p99_trimmed,compact_ideal_expert_critical_ms_p99_trimmed,post_compaction_fragment_residual_ms_p99_trimmed,compaction_expert_work_removal_ms_p99_trimmed
gsm8k,0,1,1.083583950996399,1.0335968136787415,0.04998713731765747,1.083583950996399,1.0335968136787415,0.04998713731765747,0.7207819325879039,0.9319072186946868,0.0,0.362802018408495,0.7107930626333581,0.9319072186946868,0.0,0.37279088836304086
gsm8k,0,2,1.176543951034546,1.1183040142059326,0.05823993682861328,1.176543951034546,1.1183040142059326,0.05823993682861328,0.7414346840538741,1.0293472409248352,0.0,0.43510926698067176,0.7346024975752296,1.0293472409248352,0.0,0.44194145345931635
gsm8k,0,3,1.0934079885482788,1.0734815835952758,0.01992640495300302,1.0934079885482788,1.0717567920684814,0.021651196479797408,0.740193385166802,0.9881376028060913,0.0,0.3532146033814768,0.7331477158034768,0.9881376028060913,0.0,0.360260272744802
gsm8k,0,4,1.056831955909729,1.0122624397277833,0.04456951618194571,1.056831955909729,1.0122624397277833,0.04456951618194571,0.7547096847410022,0.9122911930084229,0.0,0.3021222711687268,0.7519585086679457,0.9122911930084229,0.0,0.30487344724178334
gsm8k,0,5,1.0732799768447876,1.073257613182068,2.2363662719682154e-05,1.0732799768447876,1.073257613182068,2.2363662719682154e-05,0.7125234615853234,0.998419189453125,0.0,0.36075651525946417,0.7018616342042575,0.998419189453125,0.0,0.3714183426405301
gsm8k,0,6,1.138208031654358,1.1143680095672608,0.023840022087097124,1.138208031654358,1.1103551626205443,0.027852869033813565,0.7566317317510501,0.9673279881477356,0.0,0.38157629990330777,0.7467303226333806,0.9673279881477356,0.0,0.39147770902097734
gsm8k,0,7,1.106335997581482,1.1030624151229858,0.0032735824584961826,1.106335997581482,1.1030624151229858,0.0032735824584961826,0.786262318598274,0.8214847922325135,0.0,0.32007367898320793,0.787328978533634,0.8185183942317963,0.0,0.3190070190478479
gsm8k,0,8,1.031775951385498,1.027193546295166,0.004582405090332031,1.031775951385498,1.027193546295166,0.004582405090332031,0.8581199851961898,0.9713759958744049,0.0,0.17365596618930823,0.8569276605651053,0.9713759958744049,0.0,0.17484829082039277
gsm8k,0,9,1.0268479585647583,0.9776575803756714,0.04919037818908689,1.0129625368118287,0.9776575803756714,0.035304956436157275,0.7263992562468325,0.8455967843532562,0.0,0.30044870231792575,0.7274119411791243,0.8455967843532562,0.0,0.28555059563270435
gsm8k,0,10,1.0181440114974976,1.0189504384994508,0.0,1.0181440114974976,1.0189504384994508,0.0,0.791331784367551,0.920275193452835,0.0,0.22681222712994653,0.7879878731659044,0.920275193452835,0.0,0.2301561383315932
gsm8k,0,11,1.0306880474090576,1.0003968060016633,0.030291241407394365,1.0306880474090576,0.9852799892425537,0.04540805816650395,0.7813558375654404,0.8532223761081695,0.0,0.24933220984361726,0.7787261884815808,0.8358336091041565,0.0,0.2519618589274768
gsm8k,0,12,1.0797760486602783,0.9945344269275666,0.08524162173271177,1.0797760486602783,0.9933248281478881,0.08645122051239018,0.8307816173232399,0.8418208062648773,0.0,0.24899443133703847,0.8239457374875161,0.8418208062648773,0.0,0.2558303111727622
gsm8k,0,13,1.0534080266952515,1.0142784118652344,0.03912961483001709,1.0534080266952515,1.0142784118652344,0.03912961483001709,0.7809624099295218,0.7831008076667786,0.0,0.27244561676572965,0.7743202082572803,0.7831008076667786,0.0,0.27908781843797115
gsm8k,0,14,1.077888011932373,1.002943992614746,0.07494401931762695,1.0668902397155762,1.002943992614746,0.06394624710083008,0.801828599799621,0.8615263879299164,0.0,0.2760594121327521,0.7971927989427096,0.8615263879299164,0.0,0.2696974407728666
gsm8k,0,15,1.039072036743164,1.0397055745124817,0.0,1.039072036743164,1.0380736351013184,0.0009984016418456143,0.7760499416313601,0.7781856119632721,0.0,0.26302209511180397,0.7730042543320275,0.7781856119632721,0.0,0.2660677824111366
gsm8k,0,16,0.9815040230751038,0.9900160074234009,0.0,0.9815040230751038,0.9888320088386535,0.0,0.736637465278479,0.8097344160079956,0.0,0.2448665577966248,0.7326637843606664,0.8097344160079956,0.0,0.2488402387144374
gsm8k,0,17,1.102944016456604,1.0465791940689086,0.05636482238769536,1.0987046670913696,1.0451935887336732,0.05351107835769642,0.7791693245200046,0.8043680012226104,0.0,0.32377469193659936,0.7759577788945171,0.8043680012226104,0.0,0.3227468881968525
gsm8k,0,18,1.021407961845398,0.9468416213989258,0.07456634044647215,1.021407961845398,0.9468416213989258,0.07456634044647215,0.7436798182599005,0.8313087821006775,0.0,0.27772814358549747,0.7361673730701668,0.8313087821006775,0.0,0.2852405887752312
gsm8k,0,19,1.057536005973816,1.0257344245910645,0.031801581382751465,1.057536005973816,1.0228352308273316,0.034700775146484286,0.7868315046363265,0.8638527750968933,0.0,0.27070450133748947,0.7771991156857136,0.8638527750968933,0.0,0.28033689028810227
gsm8k,0,20,0.9972479939460754,0.9706847965717316,0.026563197374343872,0.9972479939460754,0.9706847965717316,0.026563197374343872,0.7676478445346554,0.7563424170017242,0.011305427532931178,0.22960014941142004,0.765413561519214,0.7563424170017242,0.009071144517489804,0.23183443242686141
gsm8k,0,21,0.9698240160942078,0.9305919766426086,0.03923203945159914,0.9698240160942078,0.9305919766426086,0.03923203945159914,0.7453280366530924,0.7991136014461517,0.0,0.22449597944111532,0.7388970348956487,0.7991136014461517,0.0,0.23092698119855903
gsm8k,0,22,0.9720640182495117,0.8960640072822571,0.07600001096725462,0.9720640182495117,0.8960640072822571,0.07600001096725462,0.7471127318420143,0.787904018163681,0.0,0.2249512864074974,0.7453302864596429,0.787904018163681,0.0,0.22673373178986878
