dataset,phase,observations,live_ratio_median,live_ratio_mean,full_active_experts_median,full_active_experts_mean,full_rows_p50_median,full_rows_p50_mean,full_tiny_le4_median,full_tiny_le4_mean,compact_active_experts_median,compact_active_experts_mean,compact_rows_p50_median,compact_rows_p50_mean,compact_tiny_le4_median,compact_tiny_le4_mean,router_entropy_live_mean_median,router_entropy_live_mean_mean,router_support_live_mean_median,router_support_live_mean_mean,token_confidence_live_mean_median,token_confidence_live_mean_mean,topk_mass_live_mean_median,topk_mass_live_mean_mean,rank_load_cv_median,rank_load_cv_mean,rank_fanout_mean_median,rank_fanout_mean_mean,remote_fraction_median,remote_fraction_mean,expert_critical_ms_median,expert_critical_ms_mean,dispatch_critical_ms_median,dispatch_critical_ms_mean,combine_critical_ms_median,combine_critical_ms_mean,moe_critical_ms_median,moe_critical_ms_mean
gsm8k,early,62,0.90380859375,0.90380859375,186.0,184.1451612903226,15.75,15.28225806451613,0.25464370145221205,0.2728711051573504,173.0,171.25806451612902,14.25,13.991935483870968,0.27049819927971186,0.2911784698527239,5.080309991195219,4.813693728341684,164.41955684958208,155.5919656624562,0.46556551171827043,0.46556551171827054,0.20272933409494465,0.25295843376892807,0.3444724666135375,0.3717849503361421,3.07080078125,3.058136970766129,0.751220703125,0.7500531596522177,1.027679979801178,1.0314694171951664,0.4203360080718994,0.43343277515903594,0.24982400238513947,0.2732258068938409,1.9614240024238825,2.013039999130753
gsm8k,middle,837,0.44455645161290325,0.4642855483891847,197.0,202.14814814814815,15.0,15.726403823178016,0.24083769633507854,0.23751626030206183,147.0,146.00238948626045,9.0,8.770011947431302,0.3515151515151515,0.36584081315295386,5.031484261391655,4.790519451267402,158.26763860575358,152.15417542054334,0.461144102643953,0.4682322383267102,0.21845577676933278,0.26006342953075856,0.29390184103130623,0.3172777700292084,3.0745967030525208,3.067868140151139,0.7486979166666666,0.7490528466527369,1.0364160537719727,1.040718376351656,0.3919680118560791,0.3955784184210617,0.21423999965190887,0.22597612429904254,1.9038079790771008,1.9484397056540352
gsm8k,late,1116,0.1808347902097902,0.17889591791820653,160.0,149.58870967741936,5.0,6.368727598566308,0.46211251435132034,0.49808040884102944,71.5,72.1084229390681,2.0,2.650537634408602,0.684931506849315,0.6822742847001356,4.9522691667079926,4.681002088426922,146.62180455525714,141.22092857255578,0.5806334722411195,0.605453588068215,0.24607149946192902,0.2921619113429426,0.3109199418003384,0.3237550372082121,3.0625,3.0647311977588148,0.7502790178571429,0.7506356345308772,0.7870079874992371,0.7660996404920427,0.3124319911003113,0.33609820788853056,0.1459520012140274,0.1641543227478221,1.54470397811383,1.6668312534502971
humaneval,early,31,0.783203125,0.783203125,200.0,201.3548387096774,15.0,14.629032258064516,0.2639593908629442,0.2722452465530469,166.0,161.16129032258064,13.0,13.225806451612904,0.2934131736526946,0.3160726343341665,5.083771029315387,4.853590805405067,164.60454508431832,156.6619696003004,0.5475968733346299,0.5475968733346299,0.19873361610935217,0.24510530734695593,0.3114857426621239,0.31187579614868494,3.0771484375,3.0941910282258065,0.75830078125,0.758391349546371,1.0805439949035645,1.074767489587107,0.415008008480072,0.4162539368675601,0.26982399821281433,0.2544681304885495,1.9977920204401016,2.015259878890168
humaneval,middle,1798,0.458984375,0.4564806447884831,180.0,175.5027808676307,9.0,9.666852057842046,0.3254437869822485,0.3707872555483513,122.0,117.91935483870968,5.0,5.885984427141268,0.4689655172413793,0.4835359655959099,5.041762934276981,4.8267182161954,158.0444898209617,153.49515708550814,0.4302517917111629,0.4362369979132659,0.2101899734532638,0.25088073997093974,0.3133158977563365,0.3186913082995055,3.069078952074051,3.0673108005086096,0.752507329805492,0.7524157846453492,0.9016320109367371,0.8843780201056908,0.39579200744628906,0.38552452086805633,0.18676800280809402,0.1943018643394759,1.7423199880868196,1.815175653841384
humaneval,late,806,0.171875,0.17308169261294262,116.0,128.03473945409428,3.0,4.369727047146402,0.6398529411764706,0.6104026020924083,45.0,50.27047146401985,2.0,2.073821339950372,0.7943190975020145,0.7359087817771287,4.968359126494481,4.706622622992406,145.54906973329562,142.02640811550754,0.5618615041581683,0.6008345088670447,0.23902190408923407,0.2849173015201635,0.32775516982035724,0.337046009275182,3.0625,3.059943413024505,0.7512090773809523,0.7532959801735003,0.6217600107192993,0.6781238322666207,0.31839999556541443,0.3377683377332486,0.1372319981455803,0.16342137970270648,1.5100320177152753,1.5951549794187505
