dataset,wave,layer,phase,moe_output_rel_l2_lag1,moe_output_cosine_lag1,hidden_matched_rows,hidden_cosine_mean,hidden_cosine_p50,hidden_rel_l2_mean,hidden_near_equal_fraction,hidden_live_cosine_mean,hidden_live_rel_l2_mean,moe_output_matched_rows,moe_output_cosine_mean,moe_output_cosine_p50,moe_output_rel_l2_mean,moe_output_near_equal_fraction,moe_output_live_cosine_mean,moe_output_live_rel_l2_mean
gsm8k,0,1,middle,,,704,0.19370415806770325,0.08896772563457489,1.1799442768096924,0.0,0.2684084475040436,0.941748321056366,704,0.5498769283294678,0.4385148286819458,0.8366961479187012,0.0,0.6178068518638611,0.6914952397346497
gsm8k,1,1,middle,0.2859945297241211,0.9626360535621643,992,0.9254981875419617,0.9915977716445923,0.3013748526573181,0.0,0.9128963351249695,0.38870003819465637,992,0.9680162668228149,0.9985935688018799,0.17333973944187164,0.0,0.9766804575920105,0.1438254863023758
gsm8k,2,1,middle,0.6549510359764099,0.7642925381660461,992,0.8778297305107117,0.9831175208091736,0.3962629735469818,0.0,0.8540228605270386,0.4852110743522644,992,0.9476168155670166,0.9973922967910767,0.2507578730583191,0.0,0.9655442237854004,0.19441358745098114
gsm8k,3,1,middle,0.8743129968643188,0.6324244141578674,960,0.9381036758422852,0.9963875412940979,0.24820567667484283,0.0,0.9346287846565247,0.3184100389480591,960,0.9649970531463623,0.9990113973617554,0.15985378623008728,0.0,0.979453980922699,0.1359698474407196
gsm8k,4,1,middle,0.6396239995956421,0.7874512672424316,960,0.8862945437431335,0.9930819272994995,0.33538755774497986,0.0,0.8259629011154175,0.4541841745376587,960,0.9352684617042542,0.9978283643722534,0.2282700389623642,0.0,0.9220436215400696,0.23269496858119965
gsm8k,5,1,middle,,,928,0.8900381326675415,0.9965183734893799,0.3225834369659424,0.0,0.828485906124115,0.4545128047466278,928,0.9442833065986633,0.9982731342315674,0.2129124253988266,0.0,0.9395285248756409,0.2308800369501114
gsm8k,6,1,middle,0.6503317952156067,0.779664158821106,896,0.8908587098121643,0.9954165816307068,0.3149285316467285,0.0,0.842408299446106,0.40822115540504456,896,0.9418866634368896,0.9986958503723145,0.2100522816181183,0.0,0.9432533979415894,0.20816296339035034
gsm8k,7,1,middle,0.21427243947982788,0.9770042896270752,960,0.9323405623435974,0.9966249465942383,0.25580164790153503,0.0,0.9266141653060913,0.32647258043289185,960,0.9624396562576294,0.9990897178649902,0.16232265532016754,0.0,0.9756263494491577,0.14844825863838196
gsm8k,8,1,late,0.21959049999713898,0.9761595726013184,928,0.9377509355545044,0.9953609704971313,0.24186742305755615,0.0,0.931305468082428,0.3205535113811493,928,0.9619069695472717,0.9989424347877502,0.16311189532279968,0.0,0.9795935750007629,0.13837243616580963
gsm8k,9,1,middle,0.5634111166000366,0.8330903649330139,768,0.883222222328186,0.9955350756645203,0.31663405895233154,0.0,0.8236284255981445,0.40359801054000854,768,0.9310848116874695,0.9990269541740417,0.22304610908031464,0.0,0.914544403553009,0.2286047637462616
gsm8k,10,1,middle,0.7906116843223572,0.7007696032524109,896,0.9041448831558228,0.9947154521942139,0.33910611271858215,0.0,0.9260954856872559,0.3139302134513855,896,0.9467135071754456,0.9987026453018188,0.2065621167421341,0.0,0.9768298268318176,0.13472424447536469
gsm8k,11,1,middle,,,896,0.906598687171936,0.9918397665023804,0.3322705924510956,0.0,0.9242614507675171,0.3439467251300812,896,0.9479591250419617,0.9985649585723877,0.21316637098789215,0.0,0.9791736602783203,0.1390792429447174
gsm8k,12,1,middle,0.636446475982666,0.8064439296722412,768,0.9272913932800293,0.9946630001068115,0.28290921449661255,0.0,0.9253619909286499,0.3348734676837921,768,0.95942223072052,0.9987146854400635,0.17872963845729828,0.0,0.9780009984970093,0.13612878322601318
