dataset,physical_rows,stratum,wave,layers,live_ratio_median,full_active_experts_median,full_rows_p50_median,full_tiny_le4_median,expert_critical_ms_median,moe_critical_ms_median,rank_load_cv_median,rank_fanout_mean_median
gsm8k,1024,lowest_live,38,31,0.6591796875,198.0,17.0,0.2263157894736842,1.069216012954712,1.9398079439997675,0.2868029977367796,3.07421875
gsm8k,1024,highest_live,36,31,1.0,173.0,15.0,0.2613636363636363,1.0066879987716677,1.95935994759202,0.3576222676156445,3.0791015625
gsm8k,1024,low_minus_high_percent,,31,-34.08203125,14.45086705202312,13.333333333333334,-13.409610983981679,6.211260515605543,-0.99787706777824,-19.80281327307563,-0.1585791309863622
humaneval,1024,lowest_live,32,31,0.44921875,214.0,19.0,0.2028985507246377,1.0987520217895508,1.991455998271704,0.2899369082386238,3.0810546875
humaneval,1024,highest_live,29,31,0.783203125,200.0,15.0,0.2639593908629442,1.0805439949035645,1.9977920204401016,0.3114857426621239,3.0771484375
humaneval,1024,low_minus_high_percent,,31,-42.64339152119701,7.0,26.666666666666668,-23.13266443701226,1.6850796424639187,-0.31715124014770535,-6.918080500035818,0.12694382735639478
