dataset,repeat,nfe,wall_seconds,tokens_per_second
gsm8k,1,66,6.074886083602905,438.0300900218421
gsm8k,2,66,6.715183258056641,396.2230117243085
gsm8k,3,66,5.794428586959839,459.22887741103665
humaneval,1,86,7.342817783355713,450.6442530668556
humaneval,2,86,7.721023321151733,428.56256677479786
humaneval,3,86,7.210773229598999,458.90818854160403
