dataset,wave,layer,rank,phase,physical_rows,live_ratio,full_pairs,full_active_experts,full_rows_mean,full_rows_p50,full_rows_p90,full_rows_max,full_tiny_le1,full_tiny_le2,full_tiny_le4,full_tiny_le8,compact_pairs,compact_active_experts,compact_rows_mean,compact_rows_p50,compact_rows_p90,compact_rows_max,compact_tiny_le1,compact_tiny_le2,compact_tiny_le4,compact_tiny_le8,global_rank_load_cv,global_compact_rank_load_cv,rank_fanout_mean,remote_fraction,router_ms,dispatch_ms,expert_ms,combine_ms,shared_ms,gather_ms,fragment_ideal_expert_ms,fragment_ideal_expert_ms_p99_trimmed,expert_ms_p99_winsorized,compact_predicted_expert_ms,compact_ideal_expert_ms,compact_predicted_expert_ms_p99_trimmed,compact_ideal_expert_ms_p99_trimmed
gsm8k,0,1,0,middle,992,0.4969758064516129,1840,57,32.280701754385966,12.0,89.6,256.0,0.10526315789473684,0.15789473684210525,0.2807017543859649,0.38596491228070173,502,13,38.61538461538461,26.0,110.80000000000001,123.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.25241400044563245,0.5693111618375277,2.9627014994621277,0.7443296370967742,2.5800321102142334,0.22940799593925476,1.083583950996399,0.05750399827957153,2.775360107421875,0.13555200397968292,1.0004479885101318,0.9997567892074585,1.083583950996399,0.5837581727328184,0.6861280143260956,0.5819108595901367,0.6861280143260956
gsm8k,0,1,1,middle,992,0.4969758064516129,2542,55,46.21818181818182,10.0,85.00000000000003,449.0,0.09090909090909091,0.18181818181818182,0.2909090909090909,0.45454545454545453,1600,11,145.45454545454547,41.0,426.0,444.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.25241400044563245,0.5693111618375277,2.9627014994621277,0.7443296370967742,2.532543897628784,0.34998399019241333,1.0800000429153442,0.0650240033864975,2.7289600372314453,0.18211199343204498,1.0335968136787415,1.0335968136787415,1.0800000429153442,0.7207819325879039,0.9238464057445526,0.7107930626333581,0.9238464057445526
gsm8k,0,1,2,middle,992,0.4969758064516129,2318,49,47.30612244897959,11.0,140.4000000000001,401.0,0.10204081632653061,0.1836734693877551,0.30612244897959184,0.42857142857142855,1487,14,106.21428571428571,30.0,355.2000000000001,390.0,0.0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.25241400044563245,0.5693111618375277,2.9627014994621277,0.7443296370967742,2.518656015396118,0.2690240144729614,1.0042239427566528,0.1420159935951233,2.683583974838257,0.2261119931936264,1.0316384315490723,1.0316384315490723,1.0042239427566528,0.7116797354441559,0.9319072186946868,0.7014751371684574,0.9319072186946868
gsm8k,0,1,3,middle,992,0.4969758064516129,1236,50,24.72,8.5,48.60000000000001,364.0,0.16,0.26,0.38,0.5,355,10,35.5,8.0,94.89999999999996,175.0,0.1,0.2,0.3,0.5,0.25241400044563245,0.5693111618375277,2.9627014994621277,0.7443296370967742,2.4937920570373535,0.3689599931240082,0.9613760113716125,0.18675200641155243,2.696255922317505,0.21324799954891205,0.9267679870128631,0.9267679870128631,0.9613760113716125,0.5557447770167633,0.567849600315094,0.5446684849010415,0.567849600315094
gsm8k,0,2,0,middle,992,0.4969758064516129,3141,64,49.078125,12.0,73.10000000000001,475.0,0.015625,0.046875,0.15625,0.390625,2072,16,129.5,29.5,420.5,466.0,0.125,0.1875,0.25,0.25,0.4057401760255843,0.7390148569732765,3.0806450843811035,0.7697832661290323,0.04608000069856644,0.3609920144081116,1.176543951034546,0.05862399935722351,0.03593600168824196,0.05119999870657921,1.1183040142059326,1.1183040142059326,1.176543951034546,0.7414346840538741,1.0293472409248352,0.7346024975752296,1.0293472409248352
gsm8k,0,2,1,middle,992,0.4969758064516129,868,53,16.37735849056604,8.0,37.800000000000004,102.0,0.09433962264150944,0.1320754716981132,0.2830188679245283,0.5283018867924528,102,6,17.0,10.0,40.0,45.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.4057401760255843,0.7390148569732765,3.0806450843811035,0.7697832661290323,0.15305599570274353,0.17830400168895721,0.9098880290985107,0.3336319923400879,0.03532800078392029,0.05113599821925163,0.9217887878417969,0.9217887878417969,0.9098880290985107,0.5011457763692859,0.49272319078445437,0.4912405329150712,0.49272319078445437
gsm8k,0,2,2,middle,992,0.4969758064516129,1904,58,32.827586206896555,11.5,67.10000000000002,321.0,0.034482758620689655,0.05172413793103448,0.22413793103448276,0.3620689655172414,618,12,51.5,4.5,165.80000000000004,314.0,0.0,0.25,0.5,0.6666666666666666,0.4057401760255843,0.7390148569732765,3.0806450843811035,0.7697832661290323,0.03548799827694893,0.3596479892730713,1.0691519975662231,0.1666879951953888,0.03590400144457817,0.05206400156021118,1.0453664183616638,1.0373504161834717,1.0691519975662231,0.5780800365630037,0.8505248188972473,0.5669660692677403,0.8505248188972473
gsm8k,0,2,3,middle,992,0.4969758064516129,2023,59,34.28813559322034,10.0,48.80000000000001,459.0,0.06779661016949153,0.1016949152542373,0.23728813559322035,0.423728813559322,1152,10,115.2,28.0,320.79999999999995,454.0,0.0,0.1,0.1,0.4,0.4057401760255843,0.7390148569732765,3.0806450843811035,0.7697832661290323,0.03548799827694893,0.3662720024585724,1.0618879795074463,0.17612800002098083,0.03561599925160408,0.05075199902057648,1.0744831562042236,1.0744831562042236,1.0618879795074463,0.6870798843445817,0.9603775978088379,0.6782737474146521,0.9603775978088379
gsm8k,0,3,0,middle,992,0.4969758064516129,967,58,16.67241379310345,11.5,36.0,91.0,0.034482758620689655,0.10344827586206896,0.3275862068965517,0.46551724137931033,148,10,14.8,7.5,33.89999999999999,51.0,0.3,0.4,0.4,0.6,0.36794682803443346,0.7681151506091305,3.002016067504883,0.7465977822580645,0.061344001442193985,0.35040000081062317,0.9878399968147278,0.1653759926557541,0.03452799841761589,0.05193600058555603,0.9154431939125061,0.9154431939125061,0.9878399968147278,0.4895547723708338,0.5322431802749634,0.4854094746868663,0.5322431802749634
gsm8k,0,3,1,middle,992,0.4969758064516129,1791,57,31.42105263157895,14.0,79.99999999999997,221.0,0.07017543859649122,0.10526315789473684,0.19298245614035087,0.3684210526315789,396,11,36.0,18.0,115.0,144.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.36794682803443346,0.7681151506091305,3.002016067504883,0.7465977822580645,0.1695999950170517,0.18303999304771423,1.047711968421936,0.11055999994277954,0.03510399907827377,0.05161599814891815,1.004527986049652,1.004527986049652,1.047711968421936,0.5849120697877023,0.6093152046203614,0.5716153079649193,0.6093152046203614
