topology,max_num_batched_tokens,condition,concurrency,n,scheduled_tokens_median,arrival_skew_ms_median,arrival_skew_ratio_median,ep_wait_proxy_ms_median,stall_fraction_median,rank_ratio_median,expert_ratio_median,dispatch_ratio_median,combine_ratio_median,layers
A,2048,long_balanced,2,144,2048.0,0.05563202500343323,0.05951473435811246,0.013920068740844727,0.006958628666691416,1.1455247310169956,1.0358629746020551,1.1668929669408121,1.1921378701551242,48
A,2048,long_balanced,4,288,2048.0,0.04070401191711426,0.04324479500554141,0.013904035091400146,0.006560879237639406,1.1512110563699673,1.0383032797163856,1.181790980407038,1.2041882004703373,48
A,2048,long_balanced,8,528,2048.0,0.0459040105342865,0.048498201127596716,0.007455945014953613,0.003399659688237559,1.1445826981707317,1.0396603080598064,1.174809854893654,1.2131620745028002,48
A,2048,long_heterogeneous,2,144,2048.0,0.05952000617980957,0.05943309938235871,0.018656015396118164,0.009534121872129528,1.1476246796767198,1.0435431558594837,1.1569779314745028,1.2819948883903567,48
A,2048,long_heterogeneous,4,240,2048.0,0.035231977701187134,0.03623543606747083,0.011551976203918457,0.005564377142948262,1.1510681838132022,1.039800314992556,1.1462570511907382,1.2265551684524862,48
A,2048,long_heterogeneous,8,432,2048.0,0.021472007036209106,0.022289154413776602,0.0038079023361206055,0.0017200423686821809,1.15380859375,1.0385976190032151,1.1375602735386248,1.2105993841146265,48
A,2048,text_balanced,2,48,188.0,0.016031980514526367,0.017254134399942674,0.023568034172058105,0.012407381144927317,1.2998670212765957,1.0275571060249218,1.1294369252776444,1.110455497257897,48
A,2048,text_balanced,4,96,262.5,0.018767982721328735,0.01999400290908651,0.027167975902557373,0.014333238752235983,1.2951706840829518,1.0257642192749974,1.115538258285858,1.1303673541712658,48
A,2048,text_balanced,8,144,1074.0,0.05257600545883179,0.0572240623652777,0.01740795373916626,0.009271465694346823,1.2644546951617315,1.0380899200784786,1.1606065293929517,1.1719704176259857,48
A,2048,text_balanced,16,240,2048.0,0.04572799801826477,0.04778164757622619,0.013919949531555176,0.006922982873539596,1.2672872340425532,1.0474319221493211,1.1423486107668381,1.1959022251762788,48
A,2048,text_heterogeneous,2,96,1590.0,0.04982396960258484,0.053452632112663,0.010976016521453857,0.0058282205280316465,1.2519159224261034,1.0436679803011213,1.1285280307576706,1.1903492604101586,48
A,2048,text_heterogeneous,4,144,511.0,0.029776006937026978,0.03155166587962764,0.019055962562561035,0.009865705974040948,1.25815084089295,1.0445900734903448,1.1186421265985813,1.2150930742626636,48
A,2048,text_heterogeneous,8,192,1966.0,0.02902400493621826,0.031122653793079012,0.0062239766120910645,0.003152994073506114,1.2610311387460444,1.0520673154153544,1.1349945550790825,1.2114501432016413,48
A,2048,text_heterogeneous,16,288,2048.0,0.02039995789527893,0.022362115329850885,0.004223942756652832,0.002023917248757471,1.2613973496835444,1.0574060890726527,1.1084473761442832,1.2516938898356174,48
A,2048,vision_balanced,2,48,188.0,0.02036800980567932,0.021382301677806217,0.024368107318878174,0.011459396300851563,1.158909574468085,1.027411575332539,1.1492563332534314,1.1152620931486592,48
A,2048,vision_balanced,4,96,262.5,0.013776004314422607,0.01462005354938959,0.02241593599319458,0.011792372119264963,1.1549202127659575,1.0249734534889423,1.1673235625603227,1.1534911905468928,48
A,2048,vision_balanced,8,144,1074.0,0.04686400294303894,0.0507267492868326,0.01518404483795166,0.007526274656500456,1.1650791687283524,1.0268862951755833,1.2311476504020558,1.1740050252273222,48
A,2048,vision_balanced,16,240,2048.0,0.06203201413154602,0.06362351472147118,0.013647973537445068,0.006749970406701382,1.1705322265625,1.033049152852536,1.1875214520062554,1.1660991249254538,48
A,2048,vision_heterogeneous,2,96,1589.0,0.07806402444839478,0.08250546637920383,0.023007988929748535,0.011851765688876342,1.2154088050314464,1.0351578984914562,1.1694977194446023,1.1960509334461629,48
A,2048,vision_heterogeneous,4,144,511.0,0.03537598252296448,0.034330264232002305,0.024479985237121582,0.012322636732778405,1.19384765625,1.0303164251639887,1.1349082993764814,1.2019534340443527,48
A,2048,vision_heterogeneous,8,192,1965.0,0.03462401032447815,0.03770650822917793,0.009872078895568848,0.004962847612170642,1.1848652343380448,1.0340759456287847,1.144007130094523,1.1894700577169681,48
A,2048,vision_heterogeneous,16,288,2048.0,0.025791972875595093,0.026748015636110328,0.0047359466552734375,0.0022393974218846923,1.1847263770767404,1.0394530754721008,1.144089872794199,1.217647806235004,48
A,4096,long_balanced,2,96,3203.0,0.07825601100921631,0.09516879682453673,0.01129603385925293,0.005541467930736935,1.1467105263157895,1.0324172251032109,1.1700358235801578,1.180281243396957,48
A,4096,long_balanced,4,192,3203.0,0.07908797264099121,0.08834803692141255,0.010928034782409668,0.004968277798249068,1.1467105263157895,1.0383768590758962,1.168497684001791,1.1880289606527608,48
A,4096,long_balanced,8,288,4096.0,0.06358397006988525,0.07946903409636241,0.013120055198669434,0.006195979421327853,1.141754512796816,1.044371446632407,1.1590187053341212,1.1879385932430337,48
A,4096,long_heterogeneous,2,96,3203.0,0.07814398407936096,0.10066327999576685,0.010080039501190186,0.004956414311223406,1.1467105263157895,1.046792235871344,1.173777217329636,1.2147919387222905,48
A,4096,long_heterogeneous,4,144,3203.0,0.08195197582244873,0.10014280233105224,0.00836801528930664,0.003763278836310911,1.1413674597452537,1.048629098098404,1.1796227519749265,1.2283120329876493,48
A,4096,long_heterogeneous,8,240,4096.0,0.02246403694152832,0.029948443276200498,0.005231976509094238,0.002338341598659174,1.1397089629486765,1.0455992827812393,1.0863193706321388,1.2225852713972283,48
