result,topology,tp,dp,batch_id,scheduler_iteration,layer,condition,modality,workload_kind,mode,max_num_batched_tokens,concurrency,control_iteration,scheduled_tokens_sum,scheduled_tokens_max,scheduled_tokens_median,scheduled_requests_max,scheduler_rows,pre_moe_max_ms,pre_moe_min_ms,arrival_skew_ms,arrival_skew_ratio,pre_moe_mean_ms,pre_moe_std_ms,ep_done_max_ms,ep_done_min_ms,ep_wait_proxy_ms,sync_stall_fraction,rank_load_max,rank_load_mean,rank_load_ratio,rank_load_cv,hottest_rank,expert_max_ms,expert_mean_ms,expert_ratio,dispatch_max_ms,dispatch_mean_ms,dispatch_ratio,combine_max_ms,combine_mean_ms,combine_ratio,active_experts,effective_experts,dp_pre_moe_values
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,0,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,3.2385919094085693,1.5477440357208252,1.6908478736877441,0.52209352736774,2.3931679725646973,0.8454239368438721,6.607999801635742,5.953440189361572,0.6545596122741699,0.09905563437095449,18008.0,16876.0,1.0670775065181322,0.07827883895304293,1,1.5213119983673096,1.2252240180969238,1.2416602808115724,2.9556798934936523,2.070511981844902,1.4275116103699306,1.0415359735488892,0.718351986259222,1.4498964205175096,128,114.96170681763947,"{""0"": 3.2385919094085693, ""1"": 1.5477440357208252}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,1,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,2.6238720417022705,0.6451839804649353,1.9786880612373352,0.7541099679364075,1.634528011083603,0.9893440306186676,5.595456123352051,5.022304058074951,0.5731520652770996,0.1024316968343491,19534.0,16876.0,1.1575017776724341,0.13406381481923044,1,1.3708479404449463,1.1476719677448273,1.1944597227887854,3.138400077819824,2.0745520144701004,1.5128085755041727,0.910368025302887,0.5542560145258904,1.642504549240867,128,110.92186945992184,"{""0"": 2.6238720417022705, ""1"": 0.6451839804649353}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,2,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,2.3996798992156982,1.0077439546585083,1.39193594455719,0.5800506746804541,1.7037119269371033,0.695967972278595,4.892064094543457,4.568352222442627,0.3237118721008301,0.06617081580388409,19440.0,16876.0,1.1519317373785256,0.10082109953419895,0,1.2505919933319092,1.1290799975395203,1.1076203599897143,2.5543999671936035,1.6620959490537643,1.5368546976170843,0.7136639952659607,0.40275199338793755,1.7719688716190845,128,104.99966286533265,"{""0"": 2.3996798992156982, ""1"": 1.0077439546585083}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,3,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,2.1194560527801514,1.157920002937317,0.9615360498428345,0.45367114292441213,1.6386880278587341,0.48076802492141724,4.592735767364502,4.2873921394348145,0.3053436279296875,0.06648403988303164,19034.0,16876.0,1.1278739037686656,0.1340043025740934,1,1.3063360452651978,1.1261039972305298,1.1600492036951466,2.139552116394043,1.3885920345783234,1.5408068483150743,0.7203840017318726,0.43884800374507904,1.641534188566878,128,101.47945461279626,"{""0"": 2.1194560527801514, ""1"": 1.157920002937317}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,4,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,1.9442239999771118,1.0887360572814941,0.8554879426956177,0.44001511281914474,1.516480028629303,0.42774397134780884,4.331776142120361,4.323775768280029,0.008000373840332031,0.0018469038052404821,18041.0,16876.0,1.069032946195781,0.05019871231198974,0,1.566431999206543,1.2075839936733246,1.2971619426998582,1.6656960248947144,1.0463280081748962,1.5919444111987198,0.9338880181312561,0.6048399992287159,1.5440248980261524,128,94.98146377413545,"{""0"": 1.9442239999771118, ""1"": 1.0887360572814941}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,5,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,1.801408052444458,0.9273279905319214,0.8740800619125366,0.4852204700242322,1.3643680214881897,0.4370400309562683,3.9278080463409424,3.7535040378570557,0.17430400848388672,0.044376916190256396,19183.0,16876.0,1.1367030101919886,0.12183963781443462,0,1.1832000017166138,1.078664019703865,1.0969124584701062,1.8197120428085327,1.19564800709486,1.5219462852031174,0.5964159965515137,0.32470399886369705,1.8367990497150446,128,101.3763919246841,"{""0"": 1.801408052444458, ""1"": 0.9273279905319214}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,6,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,1.6064640283584595,1.267680048942566,0.33878397941589355,0.2108879958937361,1.4370720386505127,0.16939198970794678,3.5227839946746826,3.5103681087493896,0.012415885925292969,0.003524452803254982,19033.0,16876.0,1.127814648020858,0.1499524916702067,2,1.1822400093078613,1.0844720155000687,1.0901526202708975,1.1088320016860962,0.7388240098953247,1.5008066695655893,0.47596800327301025,0.3184080012142658,1.4948368177240552,128,91.88875480902281,"{""0"": 1.6064640283584595, ""1"": 1.267680048942566}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,7,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,1.437600016593933,1.2440320253372192,0.19356799125671387,0.1346466256416227,1.3408160209655762,0.09678399562835693,3.362623929977417,3.355679988861084,0.006943941116333008,0.002065036489637913,21630.0,16876.0,1.2817018250770325,0.18575040953353178,3,1.196992039680481,1.035848006606102,1.1555672570171356,0.9859200119972229,0.6787039935588837,1.452650966185431,0.5439040064811707,0.3776480033993721,1.4402406515730435,128,93.0437576126062,"{""0"": 1.437600016593933, ""1"": 1.2440320253372192}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,8,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,1.2743359804153442,1.2654080390930176,0.00892794132232666,0.0070059556188759396,1.269872009754181,0.00446397066116333,3.179327964782715,3.144831895828247,0.03449606895446777,0.010850113400246627,20230.0,16876.0,1.1987437781464803,0.12091163290920123,1,1.1737279891967773,1.0379439890384674,1.1308201613885716,0.8125439882278442,0.6164960041642189,1.3180036573463387,0.5568000078201294,0.34330399706959724,1.6218861783518663,128,99.45275987143872,"{""0"": 1.2743359804153442, ""1"": 1.2654080390930176}"
poc_flashvep/deepep_revalidation/results/dp_ep_arrival_skew_two_topologies_20260901_1530_A,A,2,2,long_balanced_c2_i1,1571,9,long_balanced,vision,long,balanced,16384,2,0,8437.0,5234.0,4218.5,1,6,1.2804800271987915,1.18995201587677,0.09052801132202148,0.07069849540727528,1.2352160215377808,0.04526400566101074,3.157151937484741,3.1405439376831055,0.016607999801635742,0.0052604372961749515,20059.0,16876.0,1.1886110452713914,0.12849658439772987,1,1.1633919477462769,1.0529199838638306,1.1049196193209807,0.8391680121421814,0.6547360047698021,1.2816891174897638,0.45555201172828674,0.3132000081241131,1.4545083011229145,128,96.96304163341088,"{""0"": 1.18995201587677, ""1"": 1.2804800271987915}"
