deviceId,streamId,kernel_count,start_ns,end_ns,kernel_time_ms,span_ms,gap_ms,gap_fraction
0,22,7680,280203604,4453877105,312.413986,4173.673501,3861.259515,0.9251465199840988
0,19,45610,202162488,4454272208,273.678415,4252.10972,3978.4313050000005,0.9356370289052655
1,22,7680,279414029,4453868981,542.706029,4174.454952,3631.748923,0.8699935595807574
1,19,43509,201929981,4453930709,475.737074,4252.000728,3776.263654,0.888114536089515
2,22,7680,279228839,4453877046,569.514803,4174.648207,3605.133404,0.8635777735606454
2,19,44499,200812098,4454144215,375.313941,4253.332117,3878.018176,0.911760019985291
3,22,7680,279171958,4453873111,508.815166,4174.701153,3665.885987,0.8781193797226999
3,19,44191,200822223,4454396504,313.359262,4253.574281,3940.215019,0.9263303656410273
