block,workload,variant,requests,output_tokens,mean_e2e_s,mean_ttft_s,first_decode_itl_s,steady_itl_mean_s,correctness,first_decode_fraction_of_e2e_pct
0,b64_c128,plan1_graph,64,96,1.511154593899846,0.09676953684538603,0.4331916272640228,0.010438227976494014,EXCLUDE_PENDING_CORRECTNESS,28.66626809809594
0,b64_c128,graph,64,96,1.6317092049866915,0.09659369103610516,0.5442751697264612,0.010540854725788565,BASELINE_SANITY_ONLY,33.35613772742677
0,b4_c128,graph,4,96,1.1536962008103728,0.03216785006225109,0.5140983918681741,0.006462020839148379,BASELINE_SANITY_ONLY,44.56098507623272
0,b4_c128,plan2_graph,4,96,2.9900481211952865,0.04776892997324467,2.095785962883383,0.009005247109985732,EXCLUDE_PENDING_CORRECTNESS,70.09204795157552
0,b64_c128,plan2_graph,64,96,3.5884286407381296,0.09625014290213585,2.101476674899459,0.01479470024400569,EXCLUDE_PENDING_CORRECTNESS,58.56258784254913
0,b4_c128,plan1_graph,4,96,1.0531522370874882,0.03475328581407666,0.4322816631756723,0.006235290298912119,EXCLUDE_PENDING_CORRECTNESS,41.04645538912353
1,b64_c128,plan1_graph,64,96,1.5484126629307866,0.09595564426854253,0.4728257739916444,0.010421608985857443,EXCLUDE_PENDING_CORRECTNESS,30.536160373210503
1,b4_c128,graph,4,96,1.1873826109804213,0.04608879005536437,0.5348286349326372,0.006451757297791699,BASELINE_SANITY_ONLY,45.04265347890091
1,b4_c128,plan1_graph,4,96,1.0597589183598757,0.031451836228370667,0.43898963183164597,0.006269334577658075,EXCLUDE_PENDING_CORRECTNESS,41.42353739386723
1,b4_c128,plan2_graph,4,96,2.9027895843610168,0.03521701227873564,2.047187626827508,0.008727499417603967,EXCLUDE_PENDING_CORRECTNESS,70.52483713793364
1,b64_c128,graph,64,96,1.613725574221462,0.09657375095412135,0.5263364100828767,0.010540589501962383,BASELINE_SANITY_ONLY,32.616227845109684
1,b64_c128,plan2_graph,64,96,3.740572670008987,0.09607963869348168,2.213023462332785,0.01522839967002894,EXCLUDE_PENDING_CORRECTNESS,59.162691319333945
2,b64_c128,plan2_graph,64,96,3.4515949841588736,0.09921675221994519,1.9426770978607237,0.01499682057530005,EXCLUDE_PENDING_CORRECTNESS,56.28346045166533
2,b64_c128,plan1_graph,64,96,1.5420757699757814,0.09620074229314923,0.4592376700602472,0.010496142102365798,EXCLUDE_PENDING_CORRECTNESS,29.78048673104173
2,b4_c128,plan2_graph,4,96,2.9323380389250815,0.03357806894928217,2.0799017040990293,0.008711258147625214,EXCLUDE_PENDING_CORRECTNESS,70.92980674429565
2,b4_c128,graph,4,96,1.1454138550907373,0.036525888834148645,0.5017622020095587,0.006458784726032234,BASELINE_SANITY_ONLY,43.80619282537054
2,b64_c128,graph,64,96,1.5892255320213735,0.09588275710120797,0.5098191387951374,0.010463017405585405,BASELINE_SANITY_ONLY,32.079722388218016
2,b4_c128,plan1_graph,4,96,1.0566483810544014,0.04559527803212404,0.4275782648473978,0.006207179129519996,TOKEN_EXACT_DESCRIPTIVE_ONLY,40.46552027276366
