block,workload,variant,requests,mean_e2e_s,mean_ttft_s,mean_tpot_s,steady_itl_mean_s,tokens_s,scope
0,b64_c128,plan1_graph,64,1.511154593899846,0.09676953684538603,0.014888263758468,0.010438227976494014,4065.573414449792,fixed_cohort_not_continuous_batching
0,b64_c128,graph,64,1.6317092049866915,0.09659369103610516,0.016159110673164067,0.010540854725788565,3765.206505835457,fixed_cohort_not_continuous_batching
0,b4_c128,graph,4,1.1536962008103728,0.03216785006225109,0.011805561586822335,0.006462020839148379,332.83910086623035,fixed_cohort_not_continuous_batching
0,b4_c128,plan2_graph,4,2.9900481211952865,0.04776892997324467,0.03097135990760044,0.009005247109985732,128.42543071336948,fixed_cohort_not_continuous_batching
0,b64_c128,plan2_graph,64,3.5884286407381296,0.09625014290213585,0.036759773661431516,0.01479470024400569,1712.1351827723208,fixed_cohort_not_continuous_batching
0,b4_c128,plan1_graph,4,1.0531522370874882,0.03475328581407666,0.010719988960772753,0.006235290298912119,364.614915271734,fixed_cohort_not_continuous_batching
1,b64_c128,plan1_graph,64,1.5484126629307866,0.09595564426854253,0.015289021249076254,0.010421608985857443,3967.750851063633,fixed_cohort_not_continuous_batching
1,b4_c128,graph,4,1.1873826109804213,0.04608879005536437,0.012013619167632179,0.006451757297791699,323.3964705768965,fixed_cohort_not_continuous_batching
1,b4_c128,plan1_graph,4,1.0597589183598757,0.031451836228370667,0.010824285075068473,0.006269334577658075,362.3411054803378,fixed_cohort_not_continuous_batching
1,b4_c128,plan2_graph,4,2.9027895843610168,0.03521701227873564,0.03018497444297138,0.008727499417603967,132.28588012576012,fixed_cohort_not_continuous_batching
1,b64_c128,graph,64,1.613725574221462,0.09657375095412135,0.015970019192287795,0.010540589501962383,3807.1619771391256,fixed_cohort_not_continuous_batching
1,b64_c128,plan2_graph,64,3.740572670008987,0.09607963869348168,0.03836308454016322,0.01522839967002894,1642.4909183327793,fixed_cohort_not_continuous_batching
2,b64_c128,plan2_graph,64,3.4515949841588736,0.09921675221994519,0.035288191915146615,0.01499682057530005,1780.0109243908182,fixed_cohort_not_continuous_batching
2,b64_c128,plan1_graph,64,1.5420757699757814,0.09620074229314923,0.015219737133501391,0.010496142102365798,3984.046959238421,fixed_cohort_not_continuous_batching
2,b4_c128,plan2_graph,4,2.9323380389250815,0.03357806894928217,0.03051326284185052,0.008711258147625214,130.95287636295694,fixed_cohort_not_continuous_batching
2,b4_c128,graph,4,1.1454138550907373,0.036525888834148645,0.011672504907964091,0.006458784726032234,335.24636978885013,fixed_cohort_not_continuous_batching
2,b64_c128,graph,64,1.5892255320213735,0.09588275710120797,0.015719397630738586,0.010463017405585405,3865.8467132852024,fixed_cohort_not_continuous_batching
2,b4_c128,plan1_graph,4,1.0566483810544014,0.04559527803212404,0.010642664242339762,0.006207179129519996,363.4085985864948,fixed_cohort_not_continuous_batching
