workload,variant,restarts,token_exact_pairs,mean_e2e_s,first_decode_itl_s,steady_itl_mean_s,first_decode_fraction_of_e2e_pct
b4_c128,graph,3,0,1.1536962008103728,0.5140983918681741,0.006458784726032234,44.56098507623272
b4_c128,plan1_graph,3,1,1.0566483810544014,0.4322816631756723,0.006235290298912119,41.04645538912353
b4_c128,plan2_graph,3,0,2.9323380389250815,2.0799017040990293,0.008727499417603967,70.52483713793364
b64_c128,graph,3,0,1.613725574221462,0.5263364100828767,0.010540589501962383,32.616227845109684
b64_c128,plan1_graph,3,0,1.5420757699757814,0.4592376700602472,0.010438227976494014,29.78048673104173
b64_c128,plan2_graph,3,0,3.5884286407381296,2.101476674899459,0.01499682057530005,58.56258784254913
